"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"2","contig_6302",1,46,0,63,Inf,0.427272727272728,0.5875
"3","contig_11605",1,46,0,63,Inf,0.427272727272728,0.5875
"4","contig_3640",1,46,0,63,Inf,0.427272727272728,0.5875
"5","contig_4341",1,46,0,63,Inf,0.427272727272728,0.5875
"6","contig_22772",1,46,0,63,Inf,0.427272727272728,0.5875
"9","contig_14281",1,46,0,63,Inf,0.427272727272728,0.5875
"10","contig_7879",1,46,0,63,Inf,0.427272727272728,0.5875
"11","contig_9179",1,46,0,63,Inf,0.427272727272728,0.5875
"1","contig_7353",0,47,1,62,0,1,1
"7","contig_5160",0,47,1,62,0,1,1
"8","contig_3231",0,47,1,62,0,1,1
