"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",2.35177472135904,1.91160396953789,0.329242564362511,5.8060657291963,6.39578622485886e-09,3.38360341875322e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",7.60198358314829,2.18371689309849,0.38204498638057,5.71586323848054,1.09148497379136e-08,3.38360341875322e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;Adeno-associated dependoparvovirus A",2.67026653382047,-1.07253011442674,0.345900187865056,-3.1006924889129,0.0019306868077481,0.0133002868978202
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;unclassified Picornaviridae genus;unclassified Picornaviridae species",87.3870959511541,-2.98442599098123,0.540742507093179,-5.51912592746654,3.40689995922878e-08,5.28069493680461e-07
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Astrovirus VA3",3.21556163259616,1.21417032947601,0.296092743802281,4.1006419606378,4.12005595822827e-05,0.000425739115683588
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",43.9079356844051,-1.58408945452962,0.442532270389176,-3.57960212288365,0.000344117750608533,0.00266691256721613
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;unidentified adenovirus",3.70969727127359,-1.30558107922162,0.358645870324337,-3.64030701940311,0.000272313141316385,0.00241191639451656
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus ALH8",9.5045681504907,-1.10223633603961,0.394985489325135,-2.79057425102595,0.00526146305367057,0.0326210709327575
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",1.34313921124114,-0.815448219376788,0.301652686067694,-2.70326855035461,0.00686612473824606,0.0386999757973869
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Torque teno virus",141.44298074261,-2.89588864166706,0.546827739994069,-5.29579688422257,1.1849849771217e-07,1.46938137163091e-06
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;unclassified Anelloviridae species",558.761676398655,-3.29526371952539,0.586927099096683,-5.61443444100129,1.97206178116205e-08,4.0755943477349e-07
