"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",2.35177472135904,-1.23824569660491,0.258004629630664,-4.79931580443913,1.59208582079775e-06,4.45784029823371e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",2.19527986742192,-1.37522223441713,0.246286455166614,-5.58383218227241,2.35275743469777e-08,1.31754416343075e-06
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",7.60198358314829,-1.24291117275918,0.308609718845152,-4.02745311265724,5.63843068814037e-05,0.00045107445505123
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",1.23179504830225,-0.922568413020078,0.216738773275113,-4.25659146759604,2.07567139356963e-05,0.000193729330066498
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",417.73341496943,1.80676869660006,0.404516902829201,4.46648504416867,7.95152182144321e-06,0.000104379847941405
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Kobuvirus;unclassified Kobuvirus species",1.12953098721306,-0.623139216978012,0.216827267159104,-2.87389692792081,0.00405441255840571,0.0206406457518836
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;Picornavirales sp.",1.26151266989044,0.784090203519347,0.249834951357541,3.13843279036338,0.00169853882403981,0.0105686860162477
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",4.46474845877351,1.31833715375463,0.292974034336954,4.49984298689896,6.80036733659262e-06,0.000104379847941405
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Astrovirus VA3",3.21556163259616,0.8500237344661,0.290040866756583,2.93070333147047,0.00338195586527098,0.0189389528455175
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Primate astrovirus",3.08215235842311,-0.985952907361728,0.28700602786033,-3.43530383216041,0.000591889813483582,0.00414322869438507
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",2.08186313078161,1.21801918642161,0.274799935085253,4.43238527710619,9.31962928048263e-06,0.000104379847941405
