"","Row.names","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR","query_id","query_length","hit_accession","hit_description","hit_length","e_value","identity","align_length","percent_identity","coverage","query_start","query_end","subject_start","subject_end","strand"
"1","1","contig_48716",1,46,2,61,0.665428629892258,1,1,"contig_13045",1903,"PX146749","Human adenovirus 57 isolate hAdV-C57/Russia/SPE-RII-MH204036V/2024, complete genome",35759,0,1864,1886,98.83,99.11,1,1886,24056,25939,"plus"
"2","10","contig_5040",1,46,1,62,1.34410531913893,1,1,"contig_48716",6081,"PX146718","Human adenovirus 1 isolate hAdV-C1/Russia/SPE-RII-MH204065V/2024, complete genome",35905,0,6048,6083,99.42,100.03,1,6081,21866,27948,"plus"
"3","11","contig_8600",0,47,1,62,0,1,1,"contig_48956",7953,"OQ518319","Human adenovirus 5 isolate HAdV-C5/USA/5N1/2009, complete genome",35914,0,6004,6025,99.65,75.76,1860,7884,6022,1,"minus"
"4","12","contig_7385",1,46,1,62,1.34410531913893,1,1,"contig_5040",3809,"OR777172","Human adenovirus 1 isolate HAdV-C1/USA/6S8/2010, complete genome",36003,0,3794,3815,99.45,100.16,1,3809,16224,12412,"minus"
"5","13","contig_48956",1,46,2,61,0.665428629892258,1,1,"contig_7385",2735,"OQ518311","Human adenovirus 1 isolate HAdV-C1/USA/2C6/2009, complete genome",36001,0,2732,2735,99.89,100,1,2735,12128,9394,"minus"
"6","2","contig_2664",1,46,0,63,Inf,0.427272727272728,1,"contig_2450",2704,"PX146744","Human adenovirus 5 isolate hAdV-C5/Russia/SPE-RII-MH204038V/2024, complete genome",35832,0,2703,2704,99.96,100,1,2704,21350,18647,"minus"
"7","3","contig_2451",0,47,1,62,0,1,1,"contig_2451",4941,"LC791122","Human mastadenovirus C Kobe180173 DNA, complete genome",36000,0,4920,4943,99.53,100.04,1,4941,28013,32954,"plus"
"8","4","contig_2453",0,47,2,61,0,0.506088407005839,1,"contig_2452",10106,"JX173078","Human adenovirus C strain human/ARG/A15812/2000/1[P1H1F1], complete genome",35989,0,9661,10110,95.56,100.04,1,10106,26043,35979,"plus"
"9","5","contig_48715",0,47,1,62,0,1,1,"contig_2453",9589,"MK041227","Human mastadenovirus C isolate human/Shanxi-CHN/106/2010, complete genome",36023,0,9110,9609,94.81,100.21,1,9589,26538,36021,"plus"
"10","6","contig_13045",1,46,1,62,1.34410531913893,1,1,"contig_2464",19274,"ON442325","Human adenovirus 41 isolate Hannover_2021_1, complete genome",34181,0,18954,18960,99.97,98.37,195,19153,34181,15222,"minus"
"11","7","contig_2450",1,46,0,63,Inf,0.427272727272728,1,"contig_2664",14961,"OP174919","Human adenovirus 41 isolate HOUA-GOSH10, complete genome >gi|2284933056|gb|OP174920.1| Human adenovirus 41 isolate HOUA-GOSH11, complete genome",34179,0,14901,14916,99.9,99.7,18,14931,14973,58,"minus"
"12","8","contig_2464",1,46,0,63,Inf,0.427272727272728,1,"contig_33906",1171,"OR777209","Human adenovirus 31 isolate HAdV-A31/USA/13D2/2016, complete genome",33797,0,1113,1113,100,95.05,21,1133,31206,30094,"minus"
"13","9","contig_2452",1,46,1,62,1.34410531913893,1,1,"contig_48715",5470,"OR753132","Human adenovirus 1 isolate HAdV-C1/USA/9D7/2012, complete genome",35988,0,5437,5470,99.4,100,1,5470,16435,21903,"plus"
