"","Row.names","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR","query_id","query_length","hit_accession","hit_description","hit_length","e_value","identity","align_length","percent_identity","coverage","query_start","query_end","subject_start","subject_end","strand"
"1","1","contig_30686",1,46,1,62,1.34410531913893,1,1,"contig_10173",2203,"MN769956","MAG: TTV-like mini virus isolate SAfiA-573-16, complete genome",2949,0,1761,2217,79.43,100.64,10,2193,258,2431,"plus"
"2","10","contig_6488",0,47,1,62,0,1,1,"contig_11113",2092,"MN774205","MAG: TTV-like mini virus isolate SAfiA-366-14, partial genome",2842,0,2002,2094,95.61,100.1,1,2092,403,2494,"plus"
"3","11","contig_10424",0,47,1,62,0,1,1,"contig_11182",2086,"MN773693","MAG: TTV-like mini virus isolate SAfiA-116-22, partial genome",2905,0,2010,2076,96.82,99.52,1,2076,359,2434,"plus"
"4","12","contig_41802",0,47,1,62,0,1,1,"contig_11215",2081,"MN773758","MAG: TTV-like mini virus isolate SAfiA-563-11, partial genome",2767,0,1941,2072,93.68,99.57,2,2071,2551,483,"minus"
"5","13","contig_7169",0,47,1,62,0,1,1,"contig_11420",2058,"MN771776","MAG: TTV-like mini virus isolate SAfiA-485-31, partial genome",2826,0,1938,2030,95.47,98.64,29,2058,2790,761,"minus"
"6","14","contig_8612",2,45,0,63,Inf,0.180316930775647,1,"contig_11970",2003,"MN771899","MAG: TTV-like mini virus isolate SAfiA-615-753, partial genome",2846,0,1943,1968,98.73,98.25,5,1968,402,2368,"plus"
"7","15","contig_21645",0,47,1,62,0,1,1,"contig_12325",1968,"MN773893","MAG: TTV-like mini virus isolate SAfiA-615-598, partial genome",2888,0,1925,1951,98.67,99.14,18,1968,894,2844,"plus"
"8","16","contig_46055",1,46,0,63,Inf,0.427272727272728,1,"contig_12364",1965,"PV013280","Betatorquevirus homini5 isolate GE-1996-24-0236 ORF1 gene, complete cds",3002,0,1936,1938,99.9,98.63,1,1938,466,2403,"plus"
"9","17","contig_15372",0,47,1,62,0,1,1,"contig_12607",1940,"MN772264","MAG: TTV-like mini virus isolate SAfiA-124-78, partial genome",2546,0,1772,1859,95.32,95.82,72,1928,638,2496,"plus"
"10","18","contig_38908",2,45,0,63,Inf,0.180316930775647,1,"contig_12655",1936,"MN770968","MAG: TTV-like mini virus isolate SAfiA-244-13, complete genome",2875,0,1901,1924,98.8,99.38,1,1924,607,2530,"plus"
"11","19","contig_47848",0,47,2,61,0,0.506088407005839,1,"contig_13000",1905,"MN772908","MAG: TTV-like mini virus isolate SAfiA-45-10, partial genome",2286,0,1875,1903,98.53,99.9,1,1903,2235,334,"minus"
"12","2","contig_14733",0,47,1,62,0,1,1,"contig_10228",2197,"MN773080","MAG: TTV-like mini virus isolate SAfiA-566-34, partial genome",2712,0,1995,2160,92.36,98.32,36,2195,428,2587,"plus"
"13","20","contig_49946",0,47,1,62,0,1,1,"contig_13393",1283,"PV013254","Betatorquevirus sp. 'homini403' isolate GE-1998-24-0337 ORF1 gene, complete cds",2418,0,1248,1261,98.97,98.29,23,1283,1,1261,"plus"
"14","21","contig_9359",1,46,2,61,0.665428629892258,1,1,"contig_13532",1863,"MN774236","MAG: TTV-like mini virus isolate SAfiA-376-42, partial genome",2772,0,1756,1856,94.61,99.62,1,1856,734,2589,"plus"
"15","22","contig_49814",1,46,0,63,Inf,0.427272727272728,1,"contig_13635",1855,"MN772722","MAG: TTV-like mini virus isolate SAfiA-370-12, partial genome",2513,0,1775,1826,97.21,98.44,10,1833,20,1844,"plus"
"16","23","contig_20459",1,46,0,63,Inf,0.427272727272728,1,"contig_13875",1840,"MN769244","MAG: TTV-like mini virus isolate SAfiA-352-24, complete genome",2900,0,1473,1867,78.9,101.47,1,1840,2514,675,"minus"
"17","24","contig_11215",0,47,1,62,0,1,1,"contig_14012",1830,"MN768577","MAG: Torque teno mini virus isolate SAfiA-657-38, complete ORF1",2799,0,1715,1827,93.87,99.84,4,1830,2590,764,"minus"
"18","25","contig_45997",1,46,0,63,Inf,0.427272727272728,1,"contig_14022",1830,"OZ258807","Betatorquevirus sp., isolate HS13048_4, complete genome >gi|2979092864|emb|OZ259019.1| Betatorquevirus sp., isolate HS13048_4, complete genome",2940,0,1784,1815,98.29,99.18,16,1830,329,2143,"plus"
"19","26","contig_13393",1,46,0,63,Inf,0.427272727272728,1,"contig_14117",1823,"OZ258722","Betatorquevirus sp., isolate HS12029_5, partial genome >gi|2979092694|emb|OZ258934.1| Betatorquevirus sp., isolate HS12029_5, partial genome",3104,0,1794,1821,98.52,99.89,1,1821,2431,611,"minus"
"20","27","contig_8872",1,46,0,63,Inf,0.427272727272728,1,"contig_14516",1795,"MW091352","Chicken anemia virus strain 18R014B, complete genome",2298,0,1758,1778,98.88,99.05,16,1793,348,2124,"plus"
"21","28","contig_9163",0,47,1,62,0,1,1,"contig_14584",1789,"MN773486","MAG: TTV-like mini virus isolate SAfiA-849-51, partial genome",2696,0,1504,1672,89.95,93.46,23,1688,89,1754,"plus"
"22","29","contig_9685",0,47,1,62,0,1,1,"contig_14733",1779,"PV013342","Betatorquevirus homini19 isolate GE-1983-24-0227 ORF1 gene, complete cds",2814,0,1717,1760,97.56,98.93,20,1779,2169,410,"minus"
"23","3","contig_9781",0,47,1,62,0,1,1,"contig_10247",2195,"OZ258738","Betatorquevirus sp., isolate HS12062_2, partial genome >gi|2979092726|emb|OZ258950.1| Betatorquevirus sp., isolate HS12062_2, partial genome",2355,0,1733,1765,98.19,80.41,36,1800,591,2355,"plus"
"24","30","contig_9281",0,47,1,62,0,1,1,"contig_15297",1744,"MZ824884","MAG: Anelloviridae sp. isolate SPI21_C1 ORF1 (ORF1) gene, complete cds",2932,0,1419,1431,99.16,82.05,314,1744,2226,796,"minus"
"25","31","contig_11113",1,46,0,63,Inf,0.427272727272728,1,"contig_15372",1740,"MN771119","MAG: TTV-like mini virus isolate SAfiA-461-9, complete genome",2892,0,1563,1574,99.3,90.46,9,1582,2157,584,"minus"
"26","32","contig_685",0,47,1,62,0,1,1,"contig_16851",1656,"OQ064556","Torque teno midi virus 9 isolate TTMDV_SA_24 ORF1 gene, complete cds",2722,0,1639,1643,99.76,99.21,1,1643,1858,216,"minus"
"27","33","contig_26972",2,45,0,63,Inf,0.180316930775647,1,"contig_17021",1648,"PV013265","Betatorquevirus sp. 'homini616' isolate GE-1979-24-0415 ORF1 gene, complete cds",2779,0,1633,1648,99.09,100,1,1648,2428,781,"minus"
"28","34","contig_27323",1,46,1,62,1.34410531913893,1,1,"contig_17146",1641,"MN770633","MAG: TTV-like mini virus isolate SAfiA-455-7, complete genome",2887,0,1571,1600,98.19,97.5,42,1641,471,2070,"plus"
"29","35","contig_8313",1,46,1,62,1.34410531913893,1,1,"contig_17385",1628,"MN771332","MAG: TTV-like mini virus isolate SAfiA-558-7, complete genome",2959,0,1607,1624,98.95,99.75,1,1624,798,2421,"plus"
"30","36","contig_30210",1,46,0,63,Inf,0.427272727272728,1,"contig_17660",1615,"PV860285","MAG: Betatorquevirus isolate Beta_L8257_2677 genomic sequence",2705,0,1479,1626,90.96,100.68,1,1614,706,2319,"plus"
"31","37","contig_23561",0,47,1,62,0,1,1,"contig_18632",1572,"MN768796","MAG: Torque teno mini virus isolate SAfiA-8B-5, complete ORF1",2750,0,1516,1540,98.44,97.96,15,1553,751,2289,"plus"
"32","38","contig_8111",0,47,1,62,0,1,1,"contig_19233",1546,"MZ825127","MAG: Anelloviridae sp. isolate SPI29_C4, complete genome",2952,0,1509,1524,99.02,98.58,10,1532,1749,226,"minus"
"33","39","contig_16851",0,47,1,62,0,1,1,"contig_20459",1499,"MN771669","MAG: TTV-like mini virus isolate SAfiA-339-12, partial genome",2865,0,1429,1499,95.33,100,1,1499,2249,751,"minus"
"34","4","contig_7962",0,47,1,62,0,1,1,"contig_10357",2180,"MN774824","MAG: TTV-like mini virus isolate SAfiA-609-19, partial genome",2900,0,2102,2166,97.05,99.36,15,2180,2422,257,"minus"
"35","40","contig_32356",0,47,1,62,0,1,1,"contig_20764",1489,"MN772181","MAG: TTV-like mini virus isolate SAfiA-571-22, partial genome",2668,0,1296,1380,93.91,92.68,90,1469,625,2004,"plus"
"36","41","contig_14117",2,45,1,62,2.73035543807517,0.574687239366138,1,"contig_21558",1459,"MN771320","MAG: TTV-like mini virus isolate SAfiA-252-10, complete genome",2959,0,1312,1423,92.2,97.53,22,1443,1725,305,"minus"
"37","42","contig_17385",0,47,1,62,0,1,1,"contig_21645",1456,"BK069002","MAG TPA_asm: Alphatorquevirus sp. isolate DRR140164_NODE_2 genomic sequence",3763,0,1451,1456,99.66,100,1,1456,916,2371,"plus"
"38","43","contig_40927",1,46,0,63,Inf,0.427272727272728,1,"contig_22018",1444,"MN771314","MAG: TTV-like mini virus isolate SAfiA-561-7, complete genome",2812,0,1347,1419,94.93,98.27,24,1442,2437,1019,"minus"
"39","44","contig_35520",1,46,0,63,Inf,0.427272727272728,1,"contig_22197",1439,"MN773244","MAG: TTV-like mini virus isolate SAfiA-599-8, partial genome",2800,0,1379,1394,98.92,96.87,33,1426,297,1690,"plus"
"40","45","contig_17660",0,47,2,61,0,0.506088407005839,1,"contig_22898",1415,"MN780445","MAG: Torque teno midi virus isolate SAfiA-232-6 ORF1 gene, complete cds",3148,0,1399,1401,99.86,99.01,1,1401,115,1515,"plus"
"41","46","contig_46346",1,46,0,63,Inf,0.427272727272728,1,"contig_23561",1395,"PP816650","Betatorquevirus homini1 isolate GE-0867-24-003 genomic sequence",2809,0,1361,1379,98.69,98.85,12,1390,1645,267,"minus"
"42","47","contig_33693",1,46,1,62,1.34410531913893,1,1,"contig_23715",1391,"MG846494","Gyrovirus 4 strain RS/BR/15/2S, partial genome",1539,0,1374,1377,99.78,98.99,1,1377,163,1539,"plus"
"43","48","contig_8484",1,46,0,63,Inf,0.427272727272728,1,"contig_24801",1361,"MZ824839","MAG: Anelloviridae sp. isolate SPI17_C49 ORF1 (ORF1) gene, complete cds",2514,0,1289,1362,94.64,100.07,1,1361,1909,549,"minus"
"44","49","contig_8505",1,46,0,63,Inf,0.427272727272728,1,"contig_25052",1355,"PV013360","Gammatorquevirus sp. 'homidi62' isolate GE-1979-24-0444 ORF1 gene, complete cds",2654,0,1331,1336,99.63,98.6,20,1355,1106,2441,"plus"
"45","5","contig_23715",0,47,1,62,0,1,1,"contig_10424",2171,"MN771289","MAG: TTV-like mini virus isolate SAfiA-687-17, complete genome",2856,0,2161,2171,99.54,100,1,2171,2421,251,"minus"
"46","50","contig_12655",0,47,1,62,0,1,1,"contig_25612",1340,"MN775342","MAG: Torque teno midi virus isolate SAfiA-234-41 ORF1 gene, complete cds",2573,0,1187,1298,91.45,96.87,18,1314,1341,45,"minus"
"47","51","contig_30042",0,47,1,62,0,1,1,"contig_25647",1339,"MN770887","MAG: TTV-like mini virus isolate SAfiA-57-20, complete genome",2914,0,1319,1330,99.17,99.33,10,1339,1452,2781,"plus"
"48","52","contig_7798",0,47,1,62,0,1,1,"contig_25715",1337,"MN777965","MAG: Torque teno midi virus isolate SAfiA-892-12 ORF1 gene, complete cds",2912,0,1326,1335,99.33,99.85,1,1335,2362,1028,"minus"
"49","53","contig_12607",1,46,0,63,Inf,0.427272727272728,1,"contig_25919",1332,"MN771992","MAG: TTV-like mini virus isolate SAfiA-868-18, partial genome",2847,0,1297,1327,97.74,99.62,1,1327,1491,2817,"plus"
"50","54","contig_11040",1,46,1,62,1.34410531913893,1,1,"contig_26562",1315,"MN770996","MAG: TTV-like mini virus isolate SAfiA-390-9, complete genome",2883,0,1285,1294,99.3,98.4,22,1315,478,1769,"plus"
"51","55","contig_6399",0,47,1,62,0,1,1,"contig_26624",1314,"PV013274","Betatorquevirus homini13 isolate GE-1982-24-0457 ORF1 gene, complete cds",2579,0,1300,1314,98.93,100,1,1314,557,1870,"plus"
"52","56","contig_686",0,47,1,62,0,1,1,"contig_26972",1306,"MN772286","MAG: TTV-like mini virus isolate SAfiA-224-50, partial genome",2581,0,1251,1297,96.45,99.31,10,1306,1468,172,"minus"
"53","57","contig_30191",0,47,1,62,0,1,1,"contig_27323",1298,"MN767455","MAG: Torque teno virus isolate SAfiA-258A-12 ORF1 gene, complete cds",3557,0,1268,1268,100,97.69,14,1281,2890,1623,"minus"
"54","58","contig_20764",0,47,1,62,0,1,1,"contig_28092",1281,"MN772170","MAG: TTV-like mini virus isolate SAfiA-385-20, partial genome",2575,0,1224,1247,98.16,97.35,19,1265,886,2132,"plus"
"55","59","contig_10528",1,46,0,63,Inf,0.427272727272728,1,"contig_29277",1255,"MG846492","Avian gyrovirus 2 strain RS/BR/15/2S, complete genome",2383,0,1246,1255,99.28,100,1,1255,2216,962,"minus"
"56","6","contig_13000",0,47,1,62,0,1,1,"contig_10528",2160,"PV860461","MAG: Betatorquevirus isolate Beta_L3827_2375 genomic sequence",2868,0,2063,2115,97.54,97.92,1,2115,755,2868,"plus"
"57","60","contig_35806",0,47,1,62,0,1,1,"contig_30042",1241,"MZ824966","MAG: Anelloviridae sp. isolate SPI38_C4 ORF1 (ORF1) gene, complete cds",3411,0,1241,1241,100,100,1,1241,1629,389,"minus"
"58","61","contig_13875",0,47,1,62,0,1,1,"contig_30191",1238,"MN780409","MAG: Torque teno midi virus isolate SAfiA-641-1 ORF1 gene, complete cds",3093,0,1211,1224,98.94,98.87,1,1224,664,1887,"plus"
"59","62","contig_44065",0,47,1,62,0,1,1,"contig_30210",1237,"PV013253","Betatorquevirus sp. 'homini402' isolate GE-1978-24-0185 ORF1 gene, complete cds",2955,0,1231,1237,99.51,100,1,1237,455,1691,"plus"
"60","63","contig_40324",0,47,1,62,0,1,1,"contig_30674",1229,"MN776008","MAG: Torque teno midi virus isolate SAfiA-432-1 ORF1 gene, complete cds",2965,0,1084,1199,90.41,97.56,9,1205,1436,2632,"plus"
"61","64","contig_14022",0,47,1,62,0,1,1,"contig_30686",1228,"MN772728","MAG: TTV-like mini virus isolate SAfiA-373-24, partial genome",2697,0,1211,1222,99.1,99.51,1,1222,2323,1102,"minus"
"62","65","contig_7521",1,46,0,63,Inf,0.427272727272728,1,"contig_32356",1199,"MN769668","MAG: TTV-like mini virus isolate SAfiA-667-4, complete genome",2974,0,1078,1105,97.56,92.16,3,1107,1436,2539,"plus"
"63","66","contig_7219",0,47,1,62,0,1,1,"contig_32845",1190,"MN769888","MAG: TTV-like mini virus isolate SAfiA-297-86, complete genome",2983,0,1087,1137,95.6,95.55,27,1163,848,1984,"plus"
"64","67","contig_11420",0,47,1,62,0,1,1,"contig_33077",1186,"MN773714","MAG: TTV-like mini virus isolate SAfiA-340-7, partial genome",2655,0,1008,1022,98.63,86.17,31,1052,424,1445,"plus"
"65","68","contig_11066",0,47,1,62,0,1,1,"contig_33693",1175,"MN772444","MAG: TTV-like mini virus isolate SAfiA-30-11, partial genome",2752,0,1167,1175,99.32,100,1,1175,1676,502,"minus"
"66","69","contig_9099",1,46,0,63,Inf,0.427272727272728,1,"contig_33822",1172,"MN780456","MAG: Torque teno midi virus isolate SAfiA-642-41 ORF1 gene, complete cds",2802,0,1158,1166,99.31,99.49,3,1166,2692,1527,"minus"
"67","7","contig_41090",0,47,1,62,0,1,1,"contig_11020",2102,"MN768906","MAG: Torque teno mini virus isolate SAfiA-251-26, complete ORF1",2719,0,1993,2061,96.7,98.05,42,2102,243,2303,"plus"
"68","70","contig_6926",1,46,0,63,Inf,0.427272727272728,1,"contig_33967",1170,"OZ258780","Betatorquevirus sp., isolate HS12179_1, partial genome >gi|2979092810|emb|OZ258992.1| Betatorquevirus sp., isolate HS12179_1, partial genome",2558,0,1070,1168,91.61,99.83,3,1170,1770,603,"minus"
