"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus",2.83749370898881,-1.00182863091269,0.390274982822813,-2.56698142337123,0.0102588108181644,0.0498285096882268
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus",2659.20085824804,-2.21016079617309,0.82929880285248,-2.66509584792714,0.00769663826674484,0.0436142835115541
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus",2998.1521131508,-4.34608552228663,0.768060233082779,-5.65852173447732,1.52682382968719e-08,2.59560051046822e-07
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus",15786.2104240089,-2.22905385529644,0.826225904940272,-2.69787456671136,0.00697837292538945,0.0436142835115541
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus",5745.7774821986,-5.87932480493209,0.796605901830658,-7.38046854965671,1.57733435101783e-13,5.36293679346063e-12
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus",322.276610376108,2.12163482681584,0.649856764740949,3.26477301142134,0.00109551830468112,0.00931190558978953
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus",1735869.32876419,-3.49912843550716,0.877153727688145,-3.98918493424131,6.63007176648498e-05,0.000751408133534964
