"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus",2659.20085824804,-4.2021578351024,0.740489942258237,-5.67483445121115,1.38822841789471e-08,2.35998831042101e-07
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus",5745.7774821986,-2.72576736824735,0.701701424843863,-3.88451166228409,0.000102535771234221,0.00116207207398784
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus",322.276610376108,3.87770082109712,0.582757435398027,6.65405636300225,2.85123401844253e-11,9.69419566270461e-10
