"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;unclassified Picornaviridae genus",5879.71634217732,10.2455973484905,1.80968384570566,5.66153992743154,1.50020590204095e-08,5.10070006693924e-07
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus",2998.1521131508,7.3385354357847,1.66415073158571,4.40977809070942,1.03476599850455e-05,8.79551098728863e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus",15786.2104240089,-8.75456201293733,1.80826853178986,-4.84140594111423,1.28923697084886e-06,2.19170285044306e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus",322.276610376108,6.55847811229173,1.43214110798246,4.57949155689766,4.66107602532166e-06,5.28255282869788e-05
