"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus",2659.20085824804,13.8476439605207,1.61249102483127,8.58773397636106,8.87013555320061e-18,3.01584608808821e-16
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;unclassified Picornaviridae genus",5879.71634217732,-10.2562797803339,1.63600762457872,-6.26909045303196,3.63163134391481e-10,6.17377328465518e-09
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus",2998.1521131508,-5.34028485424005,1.485101480782,-3.59590568277397,0.000323264916765737,0.00366366905667835
