"","joint_model.statistics.P.betas1"
"(Intercept)",0.661111111111111
"month",0.402444444444444
"Dx.Status",0.362888888888889
"CountryUSA",0.646666666666667
"SexMale",0.664
"Delivery.ModeVaginal",0.628888888888889
"HLA.CategoryLow/No Risk",0.736222222222222
"HLA.CategoryStandard Risk",0.578888888888889
"feeding_first_yearBreastmilk_and_formula",0.967555555555556
"feeding_first_yearFormula",0.766888888888889
"Age.at.Gluten.Introduction..months.11",0.716
"Age.at.Gluten.Introduction..months.15",0.674
"Age.at.Gluten.Introduction..months.36",0.665333333333333
"Age.at.Gluten.Introduction..months.4",0.562222222222222
"Age.at.Gluten.Introduction..months.5",0.507555555555556
"Age.at.Gluten.Introduction..months.6",0.769555555555556
"Age.at.Gluten.Introduction..months.7",0.821111111111111
"Age.at.Gluten.Introduction..months.8",0.683777777777778
"Age.at.Gluten.Introduction..months.9",0.567111111111111
"Age.at.Solid.Introduction..months.4",0.880222222222222
"Age.at.Solid.Introduction..months.5",0.955777777777778
"Age.at.Solid.Introduction..months.6",0.948444444444444
"Age.at.Solid.Introduction..months.7",0.912666666666667
"Age.at.Solid.Introduction..months.8",0.445111111111111
