"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"3","contig_48995",0,96,2,95,0,0.497409326424869,0.683937823834197
"9","contig_3211",0,96,2,95,0,0.497409326424869,0.683937823834197
"11","contig_3212",0,96,2,95,0,0.497409326424869,0.683937823834197
"2","contig_3246",1,95,0,97,Inf,0.49740932642487,0.683937823834197
"4","contig_48991",1,95,0,97,Inf,0.49740932642487,0.683937823834197
"5","contig_3242",1,95,0,97,Inf,0.49740932642487,0.683937823834197
"6","contig_4341",1,95,0,97,Inf,0.49740932642487,0.683937823834197
"7","contig_3270",1,95,0,97,Inf,0.49740932642487,0.683937823834197
"1","contig_37552",0,96,1,96,0,1,1
"8","contig_9439",0,96,1,96,0,1,1
"10","contig_30594",1,95,1,96,1.01047235362807,1,1
