Contig,US,Italy,filtered
contig_7353,NO,YES,NO
contig_37552,YES,NO,NO
contig_6302,NO,YES,NO
contig_3246,YES,NO,NO
contig_48995,YES,NO,NO
contig_48991,YES,NO,NO
contig_3242,YES,NO,NO
contig_11605,NO,YES,NO
contig_3640,NO,YES,NO
contig_4341,YES,YES,NO
contig_3213,NO,NO,YES
contig_22772,NO,YES,NO
contig_5160,NO,YES,NO
contig_3210,NO,NO,YES
contig_3270,YES,NO,NO
contig_9439,YES,NO,NO
contig_3231,NO,YES,NO
contig_3211,YES,NO,NO
contig_30594,YES,NO,NO
contig_14281,NO,YES,NO
contig_7879,NO,YES,NO
contig_3212,YES,NO,NO
contig_9179,NO,YES,NO
