"","Case_onset","Case_precede_24M"
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Picornaviridae",1,22
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.unclassified.Picornavirales.family",0,2
