"","Case_onset","Case_precede_18M"
"Viruses.Peploviricota.Herviviricetes.Herpesvirales.Herpesviridae",0,6
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Caliciviridae",10,461
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Picornaviridae",4,80785
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.unclassified.Picornavirales.family",0,0
