query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_10173	2203	MN769956	MAG: TTV-like mini virus isolate SAfiA-573-16, complete genome	2949	0.0	1761	2217	79.43	100.64	10	2193	258	2431	plus	TTV-like mini virus	complete genome
contig_10228	2197	MN773080	MAG: TTV-like mini virus isolate SAfiA-566-34, partial genome	2712	0.0	1995	2160	92.36	98.32	36	2195	428	2587	plus	TTV-like mini virus	partial genome
contig_10247	2195	OZ258738	Betatorquevirus sp., isolate HS12062_2, partial genome >gi|2979092726|emb|OZ258950.1| Betatorquevirus sp., isolate HS12062_2, partial genome	2355	0.0	1733	1765	98.19	80.41	36	1800	591	2355	plus	Betatorquevirus sp.	partial genome
contig_10357	2180	MN774824	MAG: TTV-like mini virus isolate SAfiA-609-19, partial genome	2900	0.0	2102	2166	97.05	99.36	15	2180	2422	257	minus	TTV-like mini virus	partial genome
contig_10424	2171	MN771289	MAG: TTV-like mini virus isolate SAfiA-687-17, complete genome	2856	0.0	2161	2171	99.54	100.0	1	2171	2421	251	minus	TTV-like mini virus	complete genome
contig_10528	2160	PV860461	MAG: Betatorquevirus isolate Beta_L3827_2375 genomic sequence	2868	0.0	2063	2115	97.54	97.92	1	2115	755	2868	plus	Betatorquevirus	genomic sequence
contig_11020	2102	MN768906	MAG: Torque teno mini virus isolate SAfiA-251-26, complete ORF1	2719	0.0	1993	2061	96.7	98.05	42	2102	243	2303	plus	Torque teno mini virus	complete ORF
contig_11040	2041	MN771403	MAG: TTV-like mini virus isolate SAfiA-287B-14, complete genome	2832	0.0	2028	2041	99.36	100.0	1	2041	637	2677	plus	TTV-like mini virus	complete genome
contig_11066	2097	MN765221	MAG: Torque teno virus isolate SAfiA-570-5 ORF1 gene, complete cds	3370	0.0	2083	2090	99.67	99.67	6	2095	2613	526	minus	Torque teno virus	complete cds
contig_11113	2092	MN774205	MAG: TTV-like mini virus isolate SAfiA-366-14, partial genome	2842	0.0	2002	2094	95.61	100.1	1	2092	403	2494	plus	TTV-like mini virus	partial genome
contig_11182	2086	MN773693	MAG: TTV-like mini virus isolate SAfiA-116-22, partial genome	2905	0.0	2010	2076	96.82	99.52	1	2076	359	2434	plus	TTV-like mini virus	partial genome
contig_11215	2081	MN773758	MAG: TTV-like mini virus isolate SAfiA-563-11, partial genome	2767	0.0	1941	2072	93.68	99.57	2	2071	2551	483	minus	TTV-like mini virus	partial genome
contig_11420	2058	MN771776	MAG: TTV-like mini virus isolate SAfiA-485-31, partial genome	2826	0.0	1938	2030	95.47	98.64	29	2058	2790	761	minus	TTV-like mini virus	partial genome
contig_11970	2003	MN771899	MAG: TTV-like mini virus isolate SAfiA-615-753, partial genome	2846	0.0	1943	1968	98.73	98.25	5	1968	402	2368	plus	TTV-like mini virus	partial genome
contig_12325	1968	MN773893	MAG: TTV-like mini virus isolate SAfiA-615-598, partial genome	2888	0.0	1925	1951	98.67	99.14	18	1968	894	2844	plus	TTV-like mini virus	partial genome
contig_12364	1965	PV013280	Betatorquevirus homini5 isolate GE-1996-24-0236 ORF1 gene, complete cds	3002	0.0	1936	1938	99.9	98.63	1	1938	466	2403	plus	Betatorquevirus homini5	complete cds
contig_12607	1940	MN772264	MAG: TTV-like mini virus isolate SAfiA-124-78, partial genome	2546	0.0	1772	1859	95.32	95.82	72	1928	638	2496	plus	TTV-like mini virus	partial genome
contig_12655	1936	MN770968	MAG: TTV-like mini virus isolate SAfiA-244-13, complete genome	2875	0.0	1901	1924	98.8	99.38	1	1924	607	2530	plus	TTV-like mini virus	complete genome
contig_13000	1905	MN772908	MAG: TTV-like mini virus isolate SAfiA-45-10, partial genome	2286	0.0	1875	1903	98.53	99.9	1	1903	2235	334	minus	TTV-like mini virus	partial genome
contig_13393	1283	PV013254	Betatorquevirus sp. 'homini403' isolate GE-1998-24-0337 ORF1 gene, complete cds	2418	0.0	1248	1261	98.97	98.29	23	1283	1	1261	plus	Betatorquevirus sp. 'homini403'	complete cds
contig_13532	1863	MN774236	MAG: TTV-like mini virus isolate SAfiA-376-42, partial genome	2772	0.0	1756	1856	94.61	99.62	1	1856	734	2589	plus	TTV-like mini virus	partial genome
contig_13635	1855	MN772722	MAG: TTV-like mini virus isolate SAfiA-370-12, partial genome	2513	0.0	1775	1826	97.21	98.44	10	1833	20	1844	plus	TTV-like mini virus	partial genome
