contigID	evalue	pident	fident	nident	mismatch	qcov	tcov	qstart	qend	qlen	tstart	tend	tlen	alnlen	bits	target	kingdom	phylum	class	order	family	genus	species
contig_30686	2.07E-38	66.6	0.666	0	227	0.557	0.266	757	74	1228	1407	2087	2563	684	169	tid|1743410|KT027935.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Chimpanzee anellovirus
contig_14733	0.00E+00	97.2	0.972	0	49	0.989	0.604	1779	20	1779	441	2200	2915	1760	2935	tid|93678|JX134046.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	TTV-like mini virus
contig_42538	3.63E-195	75.6	0.756	0	248	0.964	0.318	13	1029	1055	62	1078	3200	1017	689	tid|432261|AB303556.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno midi virus
contig_7638	0.00E+00	93.3	0.933	0	177	0.993	0.821	19	2666	2666	499	3145	3225	2648	3954	tid|68887|KT163880.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
contig_39636	1.33E-70	70.5	0.705	0	178	0.556	0.208	484	1088	1088	1759	2366	2924	608	276	tid|68887|KP343850.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
contig_8637	4.05E-127	71.8	0.718	0	261	0.377	0.302	1506	2431	2459	1869	2797	3072	929	465	tid|68887|KF545582.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
contig_10228	6.81E-69	75.6	0.756	0	96	0.179	0.317	1596	1988	2197	29	421	1241	393	271	tid|68887|KP343831.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
contig_9781	0.00E+00	88.1	0.881	0	266	0.991	0.681	15	2249	2256	594	2831	3285	2238	2801	tid|167758|AF315076.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
contig_7962	2.04E-80	68.3	0.683	0	293	0.358	0.329	27	952	2590	219	1147	2820	929	310	tid|68887|KP343863.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
contig_23715	0.00E+00	99.7	0.997	0	4	0.99	0.895	1	1377	1391	163	1539	1539	1377	2455	tid|1214955|MG846494.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gyrovirus	Gyrovirus 4
contig_36641	5.30E-29	72.4	0.724	0	73	0.236	0.105	495	760	1127	1391	1658	2563	268	138	tid|1743410|KT027935.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Chimpanzee anellovirus
contig_13000	2.98E-110	72.1	0.721	0	212	0.399	0.271	1894	1135	1905	572	1334	2814	763	408	tid|2055263|MH649006.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Anelloviridae sp.
contig_41090	9.43E-150	71.9	0.719	0	295	0.982	0.525	1071	20	1071	155	1206	2002	1052	538	tid|2065044|EF538875.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 3
contig_25647	1.90E-83	70.3	0.703	0	221	0.556	0.682	458	1202	1339	348	1095	1096	748	319	tid|68887|KP343855.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Torque teno virus
