Contig,US,Italy,filtered
contig_3357,NO,NO,YES
contig_34440,YES,YES,NO
contig_3567,YES,YES,NO
contig_3669,NO,NO,YES
contig_43336,NO,NO,YES
contig_4647,YES,YES,NO
contig_49047,NO,NO,YES
contig_49065,YES,YES,NO
contig_8153,NO,NO,YES
