"","Contig","total_PA"
"188","virus_comp_15231_cycle_1",6
"189","virus_comp_15512_cycle_1",6
"190","virus_comp_15638_cycle_1",6
"191","virus_comp_15845_cycle_1",6
"192","virus_comp_16030_cycle_1",6
"193","virus_comp_16050_cycle_1",6
"194","virus_comp_16667_cycle_1",6
"195","virus_comp_16837_cycle_1",6
"196","virus_comp_17072_cycle_1",6
"197","virus_comp_17103_cycle_1",6
"198","virus_comp_17107_cycle_1",6
"199","virus_comp_17133_cycle_1",6
"200","virus_comp_17139_cycle_1",6
"201","virus_comp_17154_cycle_1",6
"202","virus_comp_17188_cycle_1",6
"203","virus_comp_17308_cycle_1",6
"204","virus_comp_1737_cycle_1",6
"205","virus_comp_17563_cycle_1",6
"206","virus_comp_17651_cycle_1",6
"207","virus_comp_17668_cycle_1",6
"208","virus_comp_17711_cycle_1",6
"209","virus_comp_17765_cycle_1",6
"210","virus_comp_17881_cycle_1",6
"211","virus_comp_18073_cycle_1",6
"212","virus_comp_18112_cycle_1",6
"213","virus_comp_1972_cycle_1",6
"214","virus_comp_1983_cycle_1",6
"215","virus_comp_216_cycle_1",6
"216","virus_comp_220_cycle_1",6
"217","virus_comp_233_cycle_1",6
"218","virus_comp_2497_cycle_1",6
"219","virus_comp_286_cycle_1",6
"220","virus_comp_2994_cycle_1",6
"221","virus_comp_348_cycle_1",6
"222","virus_comp_3620_cycle_1",6
"223","virus_comp_3702_cycle_1",6
"224","virus_comp_480_cycle_1",6
"225","virus_comp_5153_cycle_1",6
"226","virus_comp_5320_cycle_1",6
"227","virus_comp_5587_cycle_1",6
"228","virus_comp_5651_cycle_1",6
"229","virus_comp_767_cycle_1",6
"230","virus_comp_821_cycle_1",6
"231","virus_comp_8325_cycle_1",6
"232","virus_comp_86_cycle_1",6
"233","virus_comp_931_cycle_1",6
"234","edge_1100",6
"235","edge_1110",6
"236","edge_1118",6
"237","edge_1275",6
"238","edge_1336",6
"239","edge_1529",6
"240","edge_1548",6
"241","edge_1582",6
"242","edge_1589",6
"243","edge_1598",6
"244","edge_1609",6
"245","edge_1612",6
"246","edge_1616",6
"247","edge_1622",6
"248","edge_1643",6
"249","edge_1922",6
"250","edge_3336",6
"251","edge_3338",6
"252","edge_48362",6
"253","edge_48627",6
"254","edge_640",6
"255","virus_comp_10193_cycle_1",5
"256","virus_comp_10426_cycle_1",5
"257","virus_comp_1073_cycle_1",5
"258","virus_comp_1091_cycle_1",5
"259","virus_comp_1145_cycle_1",5
"260","virus_comp_11454_cycle_1",5
"261","virus_comp_1245_cycle_1",5
"262","virus_comp_131_cycle_1",5
"263","virus_comp_13196_cycle_1",5
"264","virus_comp_1420_cycle_1",5
"265","virus_comp_1434_cycle_1",5
"266","virus_comp_14374_cycle_1",5
"267","virus_comp_14652_cycle_1",5
"268","virus_comp_1466_cycle_1",5
"269","virus_comp_14770_cycle_1",5
"270","virus_comp_15444_cycle_1",5
"271","virus_comp_1555_cycle_1",5
"272","virus_comp_15583_cycle_1",5
"273","virus_comp_15614_cycle_1",5
"274","virus_comp_15771_cycle_1",5
"275","virus_comp_15811_cycle_1",5
"276","virus_comp_159_cycle_1",5
"277","virus_comp_15976_cycle_1",5
"278","virus_comp_15996_cycle_1",5
"279","virus_comp_16182_cycle_1",5
"280","virus_comp_16335_cycle_1",5
"281","virus_comp_1648_cycle_1",5
"282","virus_comp_16522_cycle_1",5
"283","virus_comp_16632_cycle_1",5
"284","virus_comp_1666_cycle_1",5
"285","virus_comp_16781_cycle_1",5
"286","virus_comp_16947_cycle_1",5
"287","virus_comp_1699_cycle_1",5
"288","virus_comp_17064_cycle_1",5
"289","virus_comp_17090_cycle_1",5
"290","virus_comp_17104_cycle_1",5
"291","virus_comp_17115_cycle_1",5
"292","virus_comp_17135_cycle_1",5
"293","virus_comp_17141_cycle_1",5
"294","virus_comp_17142_cycle_1",5
"295","virus_comp_17145_cycle_1",5
"296","virus_comp_17147_cycle_1",5
"297","virus_comp_17148_cycle_1",5
"298","virus_comp_17183_cycle_1",5
"299","virus_comp_17186_cycle_1",5
"300","virus_comp_17189_cycle_1",5
"301","virus_comp_17301_cycle_1",5
"302","virus_comp_17323_cycle_1",5
"303","virus_comp_17341_cycle_1",5
"304","virus_comp_17614_cycle_1",5
"305","virus_comp_17632_cycle_1",5
"306","virus_comp_17658_cycle_1",5
"307","virus_comp_17683_cycle_1",5
"308","virus_comp_17702_cycle_1",5
"309","virus_comp_17788_cycle_1",5
"310","virus_comp_17866_cycle_1",5
"311","virus_comp_17875_cycle_1",5
"312","virus_comp_17885_cycle_1",5
"313","virus_comp_17975_cycle_1",5
"314","virus_comp_17997_cycle_1",5
"315","virus_comp_18029_cycle_1",5
"316","virus_comp_18157_cycle_1",5
"317","virus_comp_1979_cycle_1",5
"318","virus_comp_2097_cycle_1",5
"319","virus_comp_224_cycle_1",5
"320","virus_comp_238_cycle_1",5
"321","virus_comp_253_cycle_3",5
"322","virus_comp_2671_cycle_1",5
"323","virus_comp_279_cycle_1",5
"324","virus_comp_2878_cycle_1",5
"325","virus_comp_305_cycle_1",5
"326","virus_comp_309_cycle_1",5
"327","virus_comp_3470_cycle_1",5
"328","virus_comp_4794_cycle_1",5
"329","virus_comp_481_cycle_1",5
"330","virus_comp_49_cycle_1",5
"331","virus_comp_5286_cycle_1",5
"332","virus_comp_6146_cycle_1",5
"333","virus_comp_64_cycle_1",5
"334","virus_comp_6738_cycle_1",5
"335","virus_comp_765_cycle_1",5
"336","virus_comp_7886_cycle_1",5
"337","virus_comp_789_cycle_1",5
"338","virus_comp_79_cycle_1",5
"339","virus_comp_823_cycle_1",5
"340","virus_comp_85_cycle_1",5
"341","virus_comp_89_cycle_1",5
"342","virus_comp_91_cycle_1",5
"343","edge_1106",5
"344","edge_1107",5
"345","edge_1270",5
"346","edge_1294",5
"347","edge_1313",5
"348","edge_1315",5
"349","edge_1317",5
"350","edge_1318",5
"351","edge_1322",5
"352","edge_1323",5
"353","edge_1329",5
"354","edge_1524",5
"355","edge_1532",5
"356","edge_1592",5
"357","edge_1600",5
"358","edge_1607",5
"359","edge_1957",5
"360","edge_1958",5
"361","edge_1959",5
"362","edge_1962",5
"363","edge_1979",5
"364","edge_2048",5
"365","edge_2085",5
"366","edge_48361",5
"367","edge_48584",5
"368","edge_48587",5
"369","edge_543",5
"370","edge_643",5
"371","edge_95",5
"372","virus_comp_1019_cycle_1",4
"373","virus_comp_1030_cycle_1",4
"374","virus_comp_10493_cycle_1",4
"375","virus_comp_1075_cycle_1",4
"376","virus_comp_10805_cycle_1",4
"377","virus_comp_11283_cycle_1",4
