"ORF","Pattern_Correlation","Variance","Group"
1,0.998098122867468,22.3267455456852,"Significant"
2,0.997548952795686,22.3147355835515,"Significant"
3,0.997766861067201,22.0059598381849,"Significant"
4,0.950452435574614,18.8072465404688,"Significant"
5,0.962089694118143,20.7405092862133,"Significant"
6,0.991821864940103,22.2338667626133,"Significant"
7,0.98204573187169,20.7413738427412,"Significant"
8,0.98599207030479,23.6697199098094,"Significant"
9,0.991266257509386,23.1157558792772,"Significant"
10,0.998688378309945,22.09807124627,"Significant"
11,0.993031683822758,19.4534109766526,"Significant"
12,0.984006181214198,18.9207045856254,"Significant"
13,0.970186666256039,17.6858641756715,"Significant"
14,0.851526054545438,15.7047411410235,"Significant"
15,0.995325167471688,21.7865042673864,"Significant"
16,0.990076036941815,19.5887881584052,"Significant"
17,0.98940852565005,23.2799590968222,"Significant"
18,0.998292182808178,22.2602952115255,"Significant"
19,0.988757175395262,20.4351170861326,"Significant"
20,0.993844377212774,26.7821084864735,"Significant"
21,0.996034847717475,26.6009611594598,"Significant"
22,0.991640728849811,23.7038022652647,"Significant"
23,0.990476921425219,19.8997018897428,"Significant"
24,0.873773852435689,17.2274480942493,"Significant"
25,0.998491491562404,20.5695858721296,"Significant"
26,0.985010806354712,18.7347148147995,"Significant"
27,0.995654545263843,22.4194117084055,"Significant"
28,0.974551257534401,19.8948906532158,"Significant"
29,0.966777896504107,20.4971535952826,"Significant"
30,0.983205203444832,17.7899787711873,"Significant"
31,0.996880730692281,20.44910103496,"Significant"
32,0.939991747351444,14.6821386634528,"Significant"
33,0.993927857466878,22.1871431950873,"Significant"
34,0.98314384413295,25.3108995813016,"Significant"
35,0.994504123719212,21.0750818622646,"Significant"
36,0.993233783661363,16.6376757648073,"Significant"
37,0.940502196700782,18.1900680910863,"Significant"
38,0.956576187720211,20.7548627594172,"Significant"
39,0.993691851113315,18.9062531056962,"Significant"
40,0.895647396626057,27.4846500004946,"Significant"
41,0.955149103460868,17.6186411771588,"Significant"
42,0.990570095017255,18.4435603129138,"Significant"
43,0.99899405868402,20.4984619748895,"Significant"
44,0.988645945855582,17.9616822183502,"Significant"
45,0.998128292241086,18.433745697532,"Significant"
46,0.994584616684328,29.4026183637899,"Significant"
47,0.978243228691475,23.4131818817092,"Significant"
48,0.999012260748615,22.2556138322777,"Significant"
49,0.907084029660978,17.1187315661708,"Significant"
50,0.989443293411987,15.6282153093787,"Significant"
51,0.995381306446754,21.0555203289371,"Significant"
52,0.994444139164535,24.9386877453212,"Significant"
53,0.990985221559434,22.6592439266825,"Significant"
54,0.99451228735524,26.2553341745805,"Significant"
55,0.997027839410986,20.5129481954368,"Significant"
56,0.998296357965016,18.7492241917045,"Significant"
57,0.998834396174196,22.167806255002,"Significant"
58,0.997786446475217,18.660111612425,"Significant"
59,0.97133698087297,20.7464947154843,"Significant"
60,0.961457880536584,15.8644752565357,"Significant"
61,0.997951599041771,22.8164048590592,"Significant"
62,0.997317769586317,23.1730635425388,"Significant"
63,0.948355407342153,15.5350278437805,"Significant"
64,0.990848500838766,23.6975444809795,"Significant"
65,0.983015666581787,17.958439237879,"Significant"
66,0.989903414959561,15.2647114525529,"Significant"
67,0.891498831363562,16.2868799047268,"Significant"
68,0.943271477182724,18.6778816167569,"Significant"
69,0.995441728872946,19.0804740558837,"Significant"
70,0.996898493265001,19.7221661543559,"Significant"
71,0.997336774388161,22.2020202889958,"Significant"
72,0.979051799265042,18.0854158696534,"Significant"
73,0.992927715402198,21.0584127357332,"Significant"
74,0.978896026127886,21.2995432884645,"Significant"
75,0.979185735794195,21.3369622574643,"Significant"
76,0.999151623887695,21.9544852714846,"Significant"
77,0.958184941072861,20.3569400631649,"Significant"
78,0.996368502839517,15.3674718600848,"Significant"
79,0.993099654645143,17.946812004177,"Significant"
80,0.973866767969179,18.6066832715704,"Significant"
81,0.986080343911881,18.7156947567155,"Significant"
82,0.996554918696608,22.1285225491609,"Significant"
83,0.996420664186505,21.9616826169569,"Significant"
84,0.997263801354742,21.279177976071,"Significant"
85,0.996164237153148,18.8749608498358,"Significant"
86,0.996210409364483,22.1551020544299,"Significant"
87,0.993726524958878,21.1455439003055,"Significant"
88,0.990167300607838,23.7035614050691,"Significant"
89,0.903332705603552,24.8270016418851,"Significant"
90,0.987393944835746,21.2069994324766,"Significant"
91,0.991231141840875,18.649004263728,"Significant"
92,0.996284883337611,21.6704528957259,"Significant"
93,0.940985777968096,19.4791699993563,"Significant"
94,0.984582157013206,20.9773648221108,"Significant"
95,0.995900461626166,22.4367988996813,"Significant"
96,0.986392811988739,22.6518204758443,"Significant"
97,0.99539615462485,23.3800603791752,"Significant"
98,0.990404510274428,17.3823262515233,"Significant"
99,0.970948270836467,19.4332686467531,"Significant"
100,0.999024235056822,22.5187403122801,"Significant"
101,0.996884405257029,22.2964671709244,"Significant"
102,0.987862025476922,21.193491950674,"Significant"
103,0.996945521771127,18.9130130873313,"Significant"
104,0.984281383327312,23.1777970373187,"Significant"
105,0.998484093966755,22.532672695436,"Significant"
106,0.907959274040862,13.2409671609078,"Significant"
107,0.928768679276954,17.0683345862364,"Significant"
108,0.984730590549286,17.7818251991659,"Significant"
109,0.980931983148681,23.696113849336,"Significant"
110,0.991429920239512,20.0436545863387,"Significant"
111,0.954099986803959,13.1383305346686,"Significant"
112,0.996342553861177,22.0487579323659,"Significant"
113,0.997206214007297,21.9134008423164,"Significant"
114,0.987293602958143,17.1050831666144,"Significant"
115,0.993697016256484,22.4149598659543,"Significant"
116,0.946449270553905,18.9327300921077,"Significant"
117,0.989248478963368,24.4318218749848,"Significant"
118,0.99847068043253,22.6965110677485,"Significant"
119,0.99641689005794,22.1797220715699,"Significant"
120,0.986602963851454,24.4668381421752,"Significant"
121,0.994733748262761,21.7071579890757,"Significant"
122,0.995726579071835,20.531223172955,"Significant"
123,0.978876718329372,20.8529179160055,"Significant"
124,0.999698511088567,21.9188507143563,"Significant"
125,0.983334081269065,25.9617570439992,"Significant"
126,0.997154729890792,22.4317264008408,"Significant"
127,0.994197173732751,24.3150246176022,"Significant"
128,0.99795179314158,20.5144708491607,"Significant"
129,0.992744562051925,17.7107671770868,"Significant"
130,0.992765767160956,20.0956171503003,"Significant"
131,0.995692711065375,22.0780431112727,"Significant"
132,0.994729241467911,24.2983035007271,"Significant"
133,0.990302539224424,17.4162118304158,"Significant"
134,0.996068203375668,25.248584495932,"Significant"
135,0.983441518110006,15.1365098736325,"Significant"
136,0.874772168599178,17.6249000303946,"Significant"
137,0.998824552515144,23.1122458244356,"Significant"
138,0.988913365355942,21.7833162016031,"Significant"
139,0.985193471649169,17.7374160606656,"Significant"
140,0.962179140599893,17.0269866380396,"Significant"
141,0.962736538796086,13.4576283274634,"Significant"
142,0.910480398180575,13.6933506737847,"Significant"
143,0.99617528830776,22.1868430928666,"Significant"
144,0.995234728422089,20.4193754732461,"Significant"
145,0.995059063029165,18.1268520753429,"Significant"
146,0.991403429539636,23.5496426744256,"Significant"
147,0.991560516080345,19.7470515685618,"Significant"
148,0.996372389628012,22.1035694452152,"Significant"
149,0.996391561509719,24.1488883872246,"Significant"
150,0.988459134246706,18.0475121085161,"Significant"
151,0.998036307809704,20.7521980924425,"Significant"
152,0.984705750258879,17.7037350103048,"Significant"
153,0.998482625205815,22.1618695222133,"Significant"
154,0.989732094753728,23.8780484360846,"Significant"
155,0.989987046138986,19.9218221143014,"Significant"
156,0.996623570508579,22.7452318683039,"Significant"
157,0.994912699447033,21.9278085249803,"Significant"
158,0.996693872980552,21.4729439082948,"Significant"
159,0.996495644573172,22.124256114128,"Significant"
160,0.987324870411779,17.8436228743016,"Significant"
161,0.984163353148999,17.7450584576895,"Significant"
162,0.991496132395904,13.7223708990507,"Significant"
163,0.99754732311232,18.3154819375309,"Significant"
164,0.99661246105034,24.787688444762,"Significant"
165,0.989051498967265,18.7599006656657,"Significant"
166,0.989225867264209,20.4682071198578,"Significant"
167,0.992513482659961,17.8864001068811,"Significant"
168,0.990846849793651,18.5786403335995,"Significant"
169,0.997263402967926,20.5764980888399,"Significant"
170,0.982571378384047,26.5723705928463,"Significant"
171,0.998471693075133,23.4053918143228,"Significant"
172,0.995736453990043,21.8258371709109,"Significant"
173,0.99470481688212,22.9358475407442,"Significant"
174,0.996906593521333,20.0111082354511,"Significant"
175,0.978938429585911,23.7790057727303,"Significant"
176,0.978149620347535,28.618499953241,"Significant"
177,0.993090479556639,17.2850025984717,"Significant"
178,0.996237292769419,22.0991368209026,"Significant"
179,0.995760366076256,22.7512034080745,"Significant"
180,0.945568485830553,20.4193569582366,"Significant"
181,0.988393417294963,22.6322726018913,"Significant"
182,0.996169096829499,18.6266720383813,"Significant"
183,0.989818635403895,18.0415950158676,"Significant"
184,0.997851853215798,22.5259841544407,"Significant"
185,0.99327699349883,23.227264532261,"Significant"
186,0.982429689481273,25.4792027163294,"Significant"
187,0.991275409718643,21.0793717039234,"Significant"
188,0.975113908169262,19.6303105324621,"Significant"
189,0.997119074168951,22.1319500735753,"Significant"
190,0.99272501483317,16.7030048080192,"Significant"
191,0.996761757378911,22.1100829501561,"Significant"
192,0.993683723320519,22.2105332225054,"Significant"
193,0.952084566643452,13.9315371616276,"Significant"
194,0.994969446727722,20.4385406137232,"Significant"
195,0.99780380507135,20.5667958369605,"Significant"
196,0.997136293590554,22.1216875208524,"Significant"
197,0.9964918052869,16.6469469834055,"Significant"
198,0.991737702860134,23.5888114494013,"Significant"
199,0.976443273576832,27.1934098055905,"Significant"
200,0.988816234388496,17.6665165002588,"Significant"
201,0.996326819054075,25.6737966933407,"Significant"
202,0.820192605558557,18.0533562982989,"Significant"
203,0.997229344595811,22.1172840793849,"Significant"
204,0.998923297309246,22.7789734095421,"Significant"
205,0.996170176169798,17.8816011540757,"Significant"
206,0.997015806610023,22.107092469077,"Significant"
