"Metric","Value"
"Total ORFs in Italy dataset",2842
"ALL significant ORFs (Italy)",2801
"ALL non-significant ORFs (Italy)",41
"Significant ORFs analyzed",2801
"Non-significant ORFs analyzed",41
"Significant: Mean inter-timepoint correlation",0.067
"Non-significant: Mean inter-timepoint correlation",0.022
"Significant: Consistency score",0.888
"Non-significant: Consistency score",0.936
"Significant: Mean pattern correlation",0.971
"Non-significant: Mean pattern correlation",0.938
"Significant: High variance outliers",141
"Non-significant: High variance outliers",3
"Significant: Low correlation outliers",141
"Non-significant: Low correlation outliers",3
