"","t0.over42","t0.36","t0.30","t0.24","t0.18","t0.12","t0.6","t0"
"virus_comp_18176_cycle_1_7",-18.5322615433989,-1.11539736198892,9.13413551627632,-6.86587351420883,-0.540419950052241,0.115961304241228,0.133019630491507,1.58120973609515
"virus_comp_18176_cycle_1_6",-16.525224226896,-0.648854537118555,9.36365553970052,-6.91568195133882,-0.334031360199086,0.33145763351879,0.569455847943798,1.5443114369754
"virus_comp_2489_cycle_1_3",-14.5157015807718,0.13267584243161,9.18357224852735,-6.99157094596,-0.4210697627467,0.158285225460377,0.084605736891695,1.59240961112227
"virus_comp_2527_cycle_1_12",-11.7793961978923,0.574681374542067,8.6213366779403,-7.57174293790687,-1.43215925935346,-0.638937104998591,2.09694803725386,0.273701595617704
"virus_comp_2440_cycle_1_7",-9.45044288544548,2.45685311587463,9.24133325706199,-7.07286105634648,-0.415360160463514,0.949734041928103,3.11841712199399,2.15636028589201
"edge_187_6",-3.19834398452907,6.54210907030846,10.6290347865425,-7.68040883875141,-1.09167925763188,-2.47613149169266,3.2225084374936,1.88228210008658
"edge_187_4",-2.79184422023927,7.72079577830026,11.4025541158118,-5.42436733833758,-1.2458289300957,-2.89578302522438,3.47325866727957,2.18207343275438
"virus_comp_17955_cycle_1_1",-3.69846647168619,6.66761083048775,11.5003112695632,-7.29373679953083,2.18518622556433,0.93867001375829,1.94247286670955,0.898875983137152
"virus_comp_17778_cycle_1_2",-3.29434232028103,6.31654876833672,10.8807877824163,-6.48987984241835,-1.28007496151279,-2.41970183271125,2.80124064948328,2.27524987751004
"virus_comp_3744_cycle_1_5",-8.6723457326688,2.01949226692472,9.2132359438856,-7.31981054570523,-0.220768142264021,0.164262900874894,0.36134740244942,1.68584428907122
"virus_comp_17889_cycle_1_15",-3.22528143149751,3.99139531779054,12.1410509564354,-6.95886344102211,0.849696769933569,0.853346401428559,1.8001165016607,0.497383837695355
"virus_comp_17889_cycle_1_37",-3.37992632756802,3.11748233086115,12.0484962417302,-7.02773140664551,-0.130045376992325,0.735922899821965,1.87853533294067,0.547491711373529
"virus_comp_17889_cycle_1_36",-3.01859951103659,3.80030688952709,12.3694984086771,-6.72155547176232,1.19460352679787,1.01355323593791,1.73435853160493,0.809532800756608
"virus_comp_17889_cycle_1_2",-3.23592056909232,2.07538486753498,12.2714650867755,-6.9060951998861,-0.0244453825442641,0.942732655224645,1.8080355396964,0.958235827640042
"virus_comp_853_cycle_1_16",-5.74223144170217,1.41829783434353,11.1532459102762,-6.18603540471637,-2.14613352894747,-0.257463966720144,2.20696744773321,1.45469918201933
"virus_comp_17889_cycle_1_17",-3.21915879656563,3.41777954868091,11.7753863747308,-6.98576993624751,-0.218689185266362,0.75842806351208,1.96814036761529,1.56560953716726
"virus_comp_2760_cycle_1_8",-3.07380516725084,3.17010729929746,11.0174640556536,-7.96981606964408,0.158429826188669,0.518401917826775,2.1035810678358,2.24556373838337
