"Timepoint","Valid_ORFs","Mean_Difference","SD_Difference","Range_Min","Range_Max","Analysis"
"t0.over42",200,-3.991,1.876,-18.532,-0.205,"Top200_Intersection"
"t0.36",200,2.11,1.277,-1.806,7.721,"Top200_Intersection"
"t0.30",200,9.68,1.494,7.155,12.369,"Top200_Intersection"
"t0.24",200,-8.051,1.337,-11.53,-4.744,"Top200_Intersection"
"t0.18",200,-1.096,1.279,-4.067,2.372,"Top200_Intersection"
"t0.12",200,-0.204,0.821,-2.896,1.33,"Top200_Intersection"
"t0.6",200,1.972,0.561,0.085,4.076,"Top200_Intersection"
"t0",200,1.416,0.638,0.274,3.674,"Top200_Intersection"
