"Category","Count"
"Total ORFs in limma results","2842"
"Significant ORFs (adj.p < 0.05)","2"
"ORFs with taxonomy annotation","2"
"ORFs without taxonomy annotation","0"
"Unique taxonomies","1"
"Most common taxonomy","root"
"Significant ORFs (adj.p < 0.01)","0"
