"logFC","AveExpr","t","P.Value","adj.P.Val","B","ORF"
-19.9740122430236,1.31438065672994,-5.09063662921953,3.80762446225791e-05,0.10821268721737,-3.58363931329858,"virus_comp_18176_cycle_1_7"
-17.5962291818917,1.43281948168212,-4.40976012097154,0.00020582924644059,0.14783561173787,-3.76257417536025,"virus_comp_18176_cycle_1_6"
-16.0089708765922,1.21343982873427,-3.96273440133477,0.000624184781872976,0.14783561173787,-3.88658217193217,"virus_comp_2489_cycle_1_3"
-5.83901277878635,1.2013552310188,-3.12255382300423,0.00272679529464166,0.14783561173787,-3.30774060512305,"virus_comp_250_cycle_1_14"
-6.32191729310918,1.17854563398113,-3.08827908773964,0.00309102072242354,0.14783561173787,-3.36767763267436,"edge_329_17"
-5.9000729952356,1.28419973397096,-3.07071250606438,0.00334422087911114,0.14783561173787,-3.37992245109684,"edge_957_37"
-5.74313669726714,1.38939007865725,-2.90212465757435,0.00539505159478932,0.14783561173787,-3.53727711795645,"virus_comp_250_cycle_1_205"
-15.1758529125129,1.70458648391606,-2.88999169866545,0.00547708715294381,0.14783561173787,-4.08821365062449,"virus_comp_2506_cycle_1_4"
-6.2179009738839,1.43985348549859,-2.92317610745054,0.00562776865623123,0.14783561173787,-3.51993137961293,"virus_comp_17808_cycle_1_4"
-7.87633816754441,1.19619867453636,-3.02640354688346,0.00585748377959938,0.14783561173787,-3.57807587316912,"virus_comp_1146_cycle_3_4"
-6.70022012062514,1.43457525993151,-2.82838808864774,0.00629808952071738,0.14783561173787,-3.54794976805591,"virus_comp_593_cycle_1_114"
-5.99455544359489,1.28464554410962,-2.87970258707981,0.00631162512491837,0.14783561173787,-3.55968874914972,"virus_comp_17808_cycle_1_1"
-6.41578978756104,1.26457124507451,-2.83796746627734,0.00697470009888932,0.14783561173787,-3.59566889442297,"virus_comp_593_cycle_1_119"
-6.50858439861178,1.34457376717404,-2.82230067600487,0.0072664083569289,0.14783561173787,-3.60152696659554,"virus_comp_593_cycle_1_94"
-6.35837917299532,1.37260994229839,-2.7754214019415,0.00734658343733455,0.14783561173787,-3.61203227975656,"virus_comp_18547_cycle_1_1"
-6.46917491164983,1.55458994575837,-2.79209185534672,0.00755793588027486,0.14783561173787,-3.62116239154118,"virus_comp_18253_cycle_1_2"
-6.44406964463126,1.32470828718542,-2.7956878251348,0.00778805417672006,0.14783561173787,-3.62744987597432,"virus_comp_593_cycle_1_27"
-6.7585790441724,1.35334867989697,-2.77352148426689,0.00783175610248599,0.14783561173787,-3.59200108396929,"virus_comp_1135_cycle_1_3"
-6.1285999803462,1.16337986982898,-2.79571850379741,0.00809133079443337,0.14783561173787,-3.64460301996029,"virus_comp_593_cycle_1_83"
-6.36108682578358,1.30486327497372,-2.77448916100781,0.00822821956050746,0.14783561173787,-3.64412958751949,"virus_comp_593_cycle_1_118"
-4.96333583691964,1.31566840503796,-2.72149143532646,0.00839832295923402,0.14783561173787,-3.60000347126832,"virus_comp_250_cycle_1_155"
-6.90217009156363,1.34920656149986,-2.87301323080354,0.00841059345064512,0.14783561173787,-3.64802441934109,"virus_comp_2334_cycle_1_4"
-7.29241312733678,1.29197367637579,-2.88485838389241,0.0086427405268219,0.14783561173787,-3.69370014146421,"virus_comp_17809_cycle_1_1"
-6.5504589698528,1.64691583856019,-2.74098165809636,0.00864473348188349,0.14783561173787,-3.65454057246872,"virus_comp_18253_cycle_1_1"
-7.29471334468957,1.29541735129148,-2.88328965824409,0.00867379481592264,0.14783561173787,-3.69565219146196,"virus_comp_17809_cycle_1_3"
-6.09885094112644,1.07652907999853,-2.77506119476287,0.00871417035379042,0.14783561173787,-3.66606386785215,"virus_comp_593_cycle_1_112"
-6.24278322774013,1.13484951235803,-2.77433931125834,0.0087300462767785,0.14783561173787,-3.66724111456608,"virus_comp_593_cycle_1_14"
-7.11693497734481,1.43605870008076,-2.8774801393828,0.00878973000848464,0.14783561173787,-3.67156763206433,"virus_comp_7146_cycle_1_2"
-6.28426443842231,1.20378509766014,-2.72411522205082,0.00881660342718096,0.14783561173787,-3.63316015305493,"virus_comp_1135_cycle_1_2"
-6.00903516626033,1.17077336660987,-2.76076664480241,0.00884478081450762,0.14783561173787,-3.67616882154661,"virus_comp_593_cycle_1_64"
-5.8932221888385,1.12778917454167,-2.74596788806048,0.00885685848040456,0.14783561173787,-3.65881573667152,"virus_comp_593_cycle_1_70"
-5.89640787863414,1.14867974548721,-2.75594491371056,0.0089536950085149,0.14783561173787,-3.6718876788157,"virus_comp_593_cycle_1_117"
-6.23542060158389,1.2369010877605,-2.74116447628074,0.00896700557360852,0.14783561173787,-3.66308833933803,"virus_comp_593_cycle_1_68"
-6.11219597740998,1.74551809654809,-2.71428200674099,0.00899834107492398,0.14783561173787,-3.6727785537079,"virus_comp_2957_cycle_1_5"
-6.172974301644,1.28616588380956,-2.73770402763594,0.00904714099406992,0.14783561173787,-3.6731994675563,"virus_comp_593_cycle_1_60"
-5.90589908446063,1.11932215273494,-2.7483495364115,0.00912778943451251,0.14783561173787,-3.67850028890744,"virus_comp_637_cycle_1_2"
-7.07918422755952,1.44540836269123,-2.859066787488,0.00916704334802909,0.14783561173787,-3.68395778525398,"virus_comp_2194_cycle_1_8"
-5.2642403033216,1.34914285877168,-2.70162573572181,0.00935358272210545,0.14783561173787,-3.64665453660323,"virus_comp_250_cycle_1_50"
-6.4511026920215,1.23068034199707,-2.7384280773205,0.00935993357086615,0.14783561173787,-3.68500292747598,"virus_comp_593_cycle_1_63"
-6.44567220586646,1.14089464556558,-2.69235239692852,0.00953259251975951,0.14783561173787,-3.71333720132987,"virus_comp_407_cycle_1_10"
-6.39392229532714,1.29640016382299,-2.71207411992447,0.00966159981734685,0.14783561173787,-3.68225159961113,"virus_comp_593_cycle_1_59"
-5.91272858723836,1.16502302908882,-2.72336337823891,0.00972290915463194,0.14783561173787,-3.69344659279415,"virus_comp_637_cycle_1_1"
-6.57288238957093,1.23703190128144,-2.67561259841047,0.00986147588256726,0.14783561173787,-3.75029313791207,"edge_329_26"
-6.97322427920498,1.41609408235855,-2.81717927894175,0.0100837336508324,0.14783561173787,-3.70869361251385,"virus_comp_18253_cycle_1_6"
-4.8894684367925,1.50794151907812,-2.65057106557661,0.0101206402318678,0.14783561173787,-3.65814821326143,"virus_comp_250_cycle_1_163"
-6.96034840363384,1.41000751773219,-2.81271811956097,0.0101863527887762,0.14783561173787,-3.71106111771421,"virus_comp_18253_cycle_1_7"
-6.91622108861902,1.42544125517242,-2.80564802969259,0.0103510223910024,0.14783561173787,-3.71084450587386,"virus_comp_2332_cycle_1_2"
-6.93043219527823,1.40528623073946,-2.79991017155935,0.0104865210216524,0.14783561173787,-3.71903513587269,"virus_comp_2194_cycle_1_9"
-9.5847879191719,1.30642577095161,-2.68390313193669,0.0107364053806208,0.14783561173787,-4.08516797790286,"virus_comp_2399_cycle_1_9"
-5.79539512280435,1.13311875338843,-2.6392110627179,0.0110050114207366,0.14783561173787,-3.70184018789667,"virus_comp_1135_cycle_1_1"
-6.14923476994538,1.28156335865111,-2.67058203260943,0.0111000263062079,0.14783561173787,-3.73849886474808,"virus_comp_593_cycle_1_113"
-6.86658609449153,1.37815135738253,-2.77412577485076,0.0111164984322281,0.14783561173787,-3.73447298972636,"virus_comp_18253_cycle_1_3"
-6.97785047997545,1.1435791138993,-2.7700561458229,0.0112191559984487,0.14783561173787,-3.7565764779044,"virus_comp_17809_cycle_1_2"
-6.76524902691332,1.36967676480918,-2.64520643791073,0.0112907537193648,0.14783561173787,-3.73430719686105,"virus_comp_593_cycle_1_28"
-6.81857188752236,1.35055071058354,-2.75595247194925,0.0115819308797848,0.14783561173787,-3.74485234872221,"virus_comp_18253_cycle_1_4"
-6.45189090224276,1.51580350419761,-2.63883373073566,0.0117229567823383,0.14783561173787,-3.74634252453448,"virus_comp_17808_cycle_1_3"
-6.47287495992372,1.17732369391734,-2.72942392850279,0.0120002434095565,0.14783561173787,-3.7300872741528,"virus_comp_357_cycle_1_1"
-6.77286671818423,1.33521855807926,-2.73809536503938,0.0120572243873755,0.14783561173787,-3.75528956701981,"virus_comp_18253_cycle_1_5"
-5.72239178741517,1.09850490784011,-2.63266035812391,0.0120955538172909,0.14783561173787,-3.74792308888869,"virus_comp_593_cycle_1_65"
-5.76012457865799,1.03365051766054,-2.64344083453425,0.0122178439485663,0.14783561173787,-3.7516464344204,"virus_comp_372_cycle_1_4"
-6.7432448785656,1.34238968945752,-2.72887999438117,0.0123096774894945,0.14783561173787,-3.75969676398632,"virus_comp_7146_cycle_1_1"
-5.63595752619556,1.07877365424678,-2.62770092469186,0.012349158206891,0.14783561173787,-3.76439118759079,"virus_comp_593_cycle_1_66"
-6.04655383835723,1.74289913324145,-2.55679086203407,0.0124115599114229,0.14783561173787,-3.74446549931551,"virus_comp_6408_cycle_1_1"
-6.42352432774608,1.09310750874323,-2.67211993827902,0.0124557639242293,0.14783561173787,-3.78636555899323,"edge_329_15"
-6.72564681688105,1.33375120145533,-2.72276959852726,0.0124798213239616,0.14783561173787,-3.76295199044262,"virus_comp_2957_cycle_1_1"
-6.41724765923847,0.972624822373551,-2.58784567136328,0.0125596952147078,0.14783561173787,-3.85861884026321,"virus_comp_2260_cycle_1_6"
-6.69961350752568,1.37552331966469,-2.71854594291989,0.0125987274130827,0.14783561173787,-3.76295925711475,"virus_comp_2269_cycle_1_10"
-5.65071637995807,1.07629253286894,-2.61543490515317,0.0127295849600928,0.14783561173787,-3.77074610412029,"virus_comp_645_cycle_1_11"
-6.09654620720183,1.22375036642919,-2.60120346518954,0.0127889734682766,0.14783561173787,-3.77127713285483,"virus_comp_593_cycle_1_61"
-6.2815054917712,1.14524039302388,-2.57527587391236,0.0129096848208604,0.14783561173787,-3.80788040734925,"virus_comp_407_cycle_1_14"
-7.3798730532755,1.2872549721168,-2.58443461926599,0.0130057815351784,0.14783561173787,-3.94422120536742,"edge_284_11"
-5.52415336584752,0.933090323989679,-2.60933341234607,0.0131534532738115,0.14783561173787,-3.77815355433841,"virus_comp_637_cycle_1_4"
-5.40521251970348,1.01319648347813,-2.59877099231968,0.0132636971421226,0.14783561173787,-3.78432192640378,"virus_comp_593_cycle_1_107"
-5.31709435665425,1.28447807047542,-2.569560440066,0.0132879927115688,0.14783561173787,-3.74617859491039,"edge_965_27"
-6.65275722329291,1.39970843263432,-2.69211287045056,0.0133675718942561,0.14783561173787,-3.78175664163794,"virus_comp_250_cycle_1_272"
-5.49782652791266,1.42502019398994,-2.53867621341291,0.0136592548135023,0.14783561173787,-3.79837707267642,"virus_comp_250_cycle_1_257"
-6.14792664308476,1.14115314512664,-2.54901857119057,0.0136866899648681,0.14783561173787,-3.76440750349604,"virus_comp_285_cycle_1_1"
-5.46778894419077,1.06685096214228,-2.57577094044774,0.0137206548715664,0.14783561173787,-3.79356366841054,"virus_comp_593_cycle_1_73"
-5.68126669857042,1.40160271066744,-2.5738353872637,0.013786633809616,0.14783561173787,-3.78782057439346,"virus_comp_17808_cycle_1_2"
-5.97252932492319,1.18708075310452,-2.56552162047638,0.0138009458316016,0.14783561173787,-3.788567729188,"virus_comp_593_cycle_1_115"
-6.09472458082399,1.20369702190107,-2.62090551923038,0.0138499350278134,0.14783561173787,-3.78158370006903,"virus_comp_250_cycle_1_72"
-6.59038314729964,1.2856478309787,-2.67014695797724,0.0140399937397563,0.14783561173787,-3.79360047164497,"virus_comp_7248_cycle_1_2"
-6.27603857820636,1.20149120954623,-2.6430561500561,0.0142921453262129,0.14783561173787,-3.79466301247021,"virus_comp_2266_cycle_1_9"
-6.55673887518215,1.36689238914836,-2.65608442173543,0.0144870982850164,0.14783561173787,-3.80217531476674,"virus_comp_250_cycle_1_268"
-5.07348454005524,1.01507049356024,-2.51681456156418,0.0146378071269226,0.14783561173787,-3.82360607304782,"edge_959_16"
