"","T-48","T-42","T-36","T-30","T-24","T-18","T-12","T-6","T0"
"edge_1494_7",-0.16017782509137,-0.0331424473729358,0.667637816811358,0.794673194529794,-0.203708300498556,0.97711591136306,1.09617302952243,1.99964490145226,1.79268459515434
"edge_1496_1",-0.370043046909227,-0.595822642933425,1.15227266566375,0.926493069639548,-1.82795382182894,-0.0869973606777998,-0.15899244966478,0.845979615203937,0.301158509552288
"edge_1496_11",-0.13300051506905,-0.398899912129321,1.4387263956902,1.17282699862993,-1.56227677872112,0.311374701492962,0.140633889551822,1.22867714118954,0.50712201048569
"edge_1496_14",-0.0817574157722873,-0.232715409984614,1.25081465018982,1.0998566559775,-1.13122812425956,0.574724376489749,0.453277821414253,1.6220849022166,1.02857685360638
"edge_1496_2",-0.0121095390027675,-0.250228654268415,1.43147348591841,1.19335437065277,-1.39932381034576,0.422091140047568,0.251992772372759,1.31399503833085,0.636226495039189
"edge_1496_21",0.205178749476139,-0.010891769219489,1.4564469309733,1.24037641227767,-1.15912184072148,0.541720644659687,0.37841052510454,1.3707208212721,0.736396436062725
"edge_1496_3",0.0487188840508814,-0.206136186491253,1.48462328633847,1.22976821579634,-1.37324300565681,0.431988211518034,0.247492614945592,1.30705393516772,0.603331489016387
"edge_1496_4",0.283239415365155,0.0292879280665401,1.55622202520894,1.30227053791033,-1.18466470420037,0.527242964608548,0.332112013678218,1.33755808734713,0.646111003891493
"edge_1496_5",0.136149334970159,-0.0665439467119517,1.40860728061467,1.20591399893257,-1.20356044240522,0.522983894630339,0.372632370253388,1.37061654384556,0.757723184925852
"edge_1496_6",-0.950088241749157,-1.07780086659696,0.91856227283663,0.790849647988822,-1.65259415378341,0.298752166031444,0.226134259872248,1.65664066789564,1.01965534920532
"edge_1497_10",-0.175492053394915,-0.431787881841077,1.40773722786384,1.15144139941768,-1.58982121193754,0.303358470853007,0.140252628400328,1.23272826545766,0.526275875952797
"edge_1497_2",-0.23508815602053,-0.503975354645561,1.40874079674266,1.13985359811763,-1.66173698592137,0.248723372829438,0.0887460789589483,1.18946216418182,0.462911756131267
