"logFC","AveExpr","t","P.Value","adj.P.Val","B","ORF"
3.9432638663893,1.57725147441532,2.7621239747749,0.00702359472150482,0.999641176735555,-4.58096707690318,"edge_1980_3"
2.98783733368972,1.21626671812594,2.28376114812193,0.0254309866502278,0.999641176735555,-4.58540687408547,"edge_1986_3"
3.11244965321747,1.11147404719535,2.28582166646536,0.0265537511556652,0.999641176735555,-4.58496650172691,"edge_1979_7"
3.32412035393001,1.15166864939564,2.27043651183754,0.0266199471199376,0.999641176735555,-4.5850118615443,"edge_2044_9"
3.31840200954659,1.10866237163252,2.31606492073744,0.0267494360017573,0.999641176735555,-4.58541037937892,"edge_61_49"
2.41569747490615,1.50794151907812,2.24289774729773,0.0283832265527835,0.999641176735555,-4.58585365288069,"virus_comp_250_cycle_1_163"
2.66546423121101,1.42502019398994,2.20762293499881,0.0309902272735531,0.999641176735555,-4.5862513651652,"virus_comp_250_cycle_1_257"
3.40456515252124,1.13709981436721,2.24616992879536,0.0313350807939795,0.999641176735555,-4.58643606350211,"edge_1989_20"
3.19055847995107,1.11267934032022,2.21261844473217,0.0313538955376609,0.999641176735555,-4.5860935580908,"edge_2044_5"
3.24288610819671,1.18765767399123,2.20774469858935,0.0315440640361717,0.999641176735555,-4.58633248007162,"edge_1980_2"
2.75767415592201,1.45062007025122,2.19921505975067,0.0316118751836087,0.999641176735555,-4.58637906216396,"edge_959_24"
3.33897713876705,1.09041984093969,2.24165290701082,0.0316543751688222,0.999641176735555,-4.5862331610941,"edge_2044_2"
3.02258532846619,1.08637020021007,2.20179592458245,0.0332484797597451,0.999641176735555,-4.58630507085063,"edge_1990_2"
2.93590771805254,0.99372363020866,2.16765583186733,0.036546163283126,0.999641176735555,-4.58629648521059,"edge_1987_2"
3.05161585790788,1.12326877216572,2.16217340126006,0.0368282447032982,0.999641176735555,-4.58655148680969,"edge_61_48"
3.06518811481986,1.12044268812907,2.05884641436919,0.0468360822402883,0.999641176735555,-4.58731564179217,"edge_61_26"
2.818517017531,1.30831017308427,2.02247443193568,0.0475304844457009,0.999641176735555,-4.58786127556132,"edge_1990_4"
3.43039114489941,1.29113768688943,2.04640824802043,0.0502691979863326,0.999641176735555,-4.58829658415984,"virus_comp_1673_cycle_1_10"
2.90469624866589,1.11675843650362,2.01404646778789,0.0509708593623453,0.999641176735555,-4.58800017936122,"edge_1989_12"
2.95883690502911,1.02527012016375,2.00218357440478,0.0538481607402692,0.999641176735555,-4.58829305515897,"virus_comp_2928_cycle_1_7"
2.89656637698366,1.12047617033897,1.96656930160046,0.0574811809896146,0.999641176735555,-4.58874832398453,"edge_1987_1"
2.46494701713246,1.13822112322584,1.98054229739676,0.0579825630529892,0.999641176735555,-4.58815993666583,"virus_comp_17870_cycle_1_6"
2.42497170267708,1.18764366059219,1.92095299845737,0.0587069544398579,0.999641176735555,-4.58856757399439,"edge_1980_4"
2.55017190755583,1.00997613513969,1.9736529600582,0.0596496426573853,0.999641176735555,-4.5884493569069,"edge_1986_2"
2.63874819041935,1.11019064809128,1.966420999012,0.0615250619642955,0.999641176735555,-4.5886438990211,"edge_61_10"
2.59060009820613,0.985706269749008,1.88944346714642,0.0650329417498085,0.999641176735555,-4.58855356162748,"virus_comp_716_cycle_1_4"
2.65412355953184,1.04392761978917,1.86587366378873,0.067723099791193,0.999641176735555,-4.58910736183653,"virus_comp_17871_cycle_1_3"
1.92874661046485,1.31566840503796,1.85295537274536,0.0685864567598368,0.999641176735555,-4.58911299098521,"virus_comp_250_cycle_1_155"
2.64321102568867,1.23033956592632,1.84347691860534,0.0715931430813019,0.999641176735555,-4.58963589408136,"edge_1987_4"
2.31884471771068,1.48965984698505,1.82245137351169,0.0729990147476159,0.999641176735555,-4.58962095478583,"virus_comp_280_cycle_1_2"
2.85771086219972,1.09568518882057,1.84047833097892,0.074484940185086,0.999641176735555,-4.58957957327466,"edge_1980_1"
2.72186358596625,1.09482154216952,1.81786330150484,0.0753516290637449,0.999641176735555,-4.58921944444318,"edge_61_6"
2.53720448458644,1.00988060303944,1.81898983379466,0.0772794998310817,0.999641176735555,-4.58931618893884,"edge_61_39"
2.52207822836921,1.16049031203045,1.80942226227451,0.0783375094884961,0.999641176735555,-4.58988647287576,"edge_61_16"
