"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-17.8582364489708,1.75495689433129e-08,1.75495689433129e-08,22653.7986495985,-0.000788310902078546,1,Inf
"CountryUSA","CountryUSA",0.410867860634638,1.5081260605704,1.5081260605704,0.558900527171251,0.735135933247645,1.65584850459999,90.9200189199941
"SexMale","SexMale",0.722646075365393,2.05987659437814,2.05987659437814,0.323701763783676,2.23244404639181,2.98085158965212,48.6606828781029
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21118537502758,0.297844013239383,0.297844013239383,0.58138747507348,-2.08326705846993,1.09999316127255,2.53659422570586
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.369958177188902,0.69076321969289,0.69076321969289,0.423141701903233,-0.87431273146769,1.35175658231065,4.87002466005936
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.50533997998847,0.603300430483029,0.603300430483029,0.293934384976631,-1.71922716707215,1.40369296062383,2.92508776808021
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.180041608946399,0.83523545742086,0.83523545742086,0.325818840587363,-0.552581945911516,1.55431252465971,4.86361139742358
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0859607115127799,0.917630282817579,0.917630282817579,0.340273410062736,-0.252622476428386,1.6016046772819,5.9760455262949
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6712502713232,349233136.948349,349233136.948349,2327.65192636823,0.00845111335096211,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.414264103915595,0.66082640137714,0.66082640137714,3727.50231714902,-0.000111137182131236,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5348480057954,304702974.447017,304702974.447017,2327.65191331545,0.00839251259780096,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7459886505152,376334393.491936,376334393.491936,2327.65198234434,0.00848322206253002,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9813962088027,476222723.275449,476222723.275449,2327.65196839249,0.00858435731807538,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3152156670916,244619785.485012,244619785.485012,2327.65189220217,0.00829815477640758,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4561132778303,103606774.629701,103606774.629701,2327.6518873351,0.00792906936739603,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6536456886238,126233722.690535,126233722.690535,2327.65191186179,0.00801393266474433,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1526222198847,565161573.985691,565161573.985691,2327.65189812808,0.00865791926880976,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.381473846880949,1.46444136200127,1.46444136200127,33781.5306891019,1.12923789745269e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.410238652616595,1.50717743403387,1.50717743403387,33781.5306870656,1.21438740126027e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.625900678920629,1.86992940519378,1.86992940519378,33781.5306879581,1.85278957517381e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.113858426076448,1.12059346683969,1.12059346683969,33781.5306874882,3.37043419168151e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0186494104108,1343641645.13561,1343641645.13561,33701.2496314723,0.00062367566901087,1,Inf
