"phrog_id","estimate","std.error","p.value"
"16490",-3.43535482197756,1.16630708413183,0.00322435555550256
"378",-3.4332598077262,1.20754151107343,0.00446656124837784
"876",-3.83192110366583,1.35201784318949,0.00459371534177673
"5429",-4.65028879387538,1.65532365008555,0.00496504692900525
"6370",-3.63176887949498,1.29345508169525,0.00498805123050703
"3754",-3.53022964293382,1.27071218002224,0.00546692950332464
"6547",-3.35247951791884,1.24821110280238,0.00723504636130159
"1407",-3.18932032050946,1.19703014213798,0.00771347569398328
"706",-2.84527556218264,1.08510001373217,0.00873815576201802
"1642",-2.18237734789111,0.841035022061734,0.00946264404715359
"392",-3.03490845744614,1.17973324550643,0.0100955908702314
"1075",-3.63742440629559,1.42240056844983,0.0105505378132301
"11299",-3.38831854435837,1.34561479736853,0.0118008260005632
"5302",-3.14321316427459,1.25269580912165,0.0121018942770258
"501",-3.59181759302012,1.43268053417153,0.0121739676132144
"5",-2.69586159912118,1.07715669394042,0.0123230074135916
"28748",-6.52819209736152,2.62173858187193,0.0127734454775612
"30133",-3.87046789764495,1.55640829858783,0.0128899762819687
"13742",-2.90827504973571,1.17017072055244,0.0129426836778098
"372",-3.88167195211294,1.56462220152494,0.0131050960893673
