"phrog_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","coefficient"
"1",-0.711557195428616,5.21574517224218,-0.523389124101439,0.601038473470117,0.6591843475077,-5.35307562166115,"Dx.StatusCELIAC"
"10",-3.24266468913171,3.50268317754518,-2.56493933621285,0.010740445826043,0.174733975082344,-2.77431494884353,"Dx.StatusCELIAC"
"100",0.0382919963518276,-0.54649864834138,0.0455087275236823,0.963728067910405,0.96664713971251,-5.93078630766803,"Dx.StatusCELIAC"
"10045",0.219458643707827,-0.402573539298027,0.241010564844667,0.809689657364005,0.841501599000383,-5.88210259051551,"Dx.StatusCELIAC"
"1005",-1.3888493112835,-0.617472327481785,-1.66736367259949,0.0963467681793438,0.242004657668625,-4.65614168857696,"Dx.StatusCELIAC"
"10089",-2.73550560391559,1.6247615836135,-2.26550184895657,0.0240994236559687,0.191875072508501,-3.45453417726531,"Dx.StatusCELIAC"
"1009",-1.1454163595664,-0.893421356408592,-1.52666302735229,0.127758255078491,0.263827920803351,-4.88331221107947,"Dx.StatusCELIAC"
"1015",-0.693814935209432,-0.348287704276537,-0.771142111841634,0.441148900795701,0.523069827944529,-5.66778384387451,"Dx.StatusCELIAC"
"10156",-1.81478071330977,0.813080092970395,-1.88277932226357,0.0605689276684267,0.224680063453207,-4.21335646916968,"Dx.StatusCELIAC"
"10250",-0.589045028327684,0.162427414647372,-0.592409517486726,0.553963272115954,0.621269244112205,-5.70916837573909,"Dx.StatusCELIAC"
"10285",-1.84586740712646,0.270928874086839,-1.94550220988672,0.052524002310545,0.215528030418639,-4.15735987016818,"Dx.StatusCELIAC"
"10292",-1.67668527136586,-0.795579210089957,-2.21712767509303,0.0272637541274991,0.195419553778397,-3.67539850123326,"Dx.StatusCELIAC"
"10300",-0.118537858637797,-0.611098891751776,-0.144956606851957,0.884829520307645,0.902704864152243,-5.93023880718041,"Dx.StatusCELIAC"
"1033",-1.59666942251108,-0.466676613946252,-1.86814237099067,0.0625871199786458,0.225131093033053,-4.30089978449934,"Dx.StatusCELIAC"
"1035",-1.22650092925163,-0.763975457068892,-1.54817905124384,0.122493192448232,0.259681806241443,-4.83729756755843,"Dx.StatusCELIAC"
"10356",-1.520856354457,-0.204770543511818,-1.74247526619755,0.082313660455513,0.234383309255809,-4.5045818383224,"Dx.StatusCELIAC"
"10359",-0.545720643300175,0.698778910867758,-0.517040533200275,0.605458157342345,0.663376738468782,-5.67603918185612,"Dx.StatusCELIAC"
"104",-1.33592057157539,0.140971738534071,-1.36655559477944,0.172651858342317,0.296012676880114,-5.02771262045701,"Dx.StatusCELIAC"
"1040",-1.06027706280463,-0.511255307354312,-1.2684847214775,0.205477542595063,0.326588769417905,-5.18559260772982,"Dx.StatusCELIAC"
"10457",-2.1092693607982,-0.4374627658357,-2.42463930602525,0.0158350961518997,0.188440098377667,-3.18699572000019,"Dx.StatusCELIAC"
"10469",-1.02330512441304,-0.41350709465585,-1.16418566157456,0.245150760338441,0.357431095454078,-5.25997841213737,"Dx.StatusCELIAC"
"10512",-1.42010107368437,-0.710461956306576,-1.80680882534245,0.071660561357015,0.231438615312918,-4.43746702200184,"Dx.StatusCELIAC"
"10528",-0.897898521591485,0.000393572207970207,-1.00389969988485,0.316128396985241,0.417124286283376,-5.44675424748865,"Dx.StatusCELIAC"
"10561",-1.24808534861303,-0.827187476455981,-1.58854140966632,0.113077150648882,0.257238316605839,-4.79799807930522,"Dx.StatusCELIAC"
"1059",-1.71528227759492,-0.819054586801449,-2.21746009758561,0.0272408356961702,0.195419553778397,-3.66879289417361,"Dx.StatusCELIAC"
"10608",-1.20634410298338,-0.784912400304187,-1.57049371474902,0.117214146809783,0.257238316605839,-4.82091680020468,"Dx.StatusCELIAC"
"1067",-2.15778860368135,2.38150957662704,-1.7079725147304,0.0885382371522361,0.239862641633153,-4.3807526577245,"Dx.StatusCELIAC"
"1068",-1.02311008626038,-0.477743034875102,-1.16965287392277,0.242945649668035,0.355616095890891,-5.29245366806163,"Dx.StatusCELIAC"
"107",-1.19581069637742,-0.588497612234298,-1.51381474267365,0.130985587393302,0.266122714796606,-4.88930376595103,"Dx.StatusCELIAC"
"1071",-0.0932740429174732,0.128792589879916,-0.104574800285669,0.916773794430194,0.93016957590132,-5.90303517249695,"Dx.StatusCELIAC"
"10714",-0.685743087033466,-0.0142812618794033,-0.738931959170224,0.460449199057796,0.53905064294332,-5.62801991188385,"Dx.StatusCELIAC"
"10740",-1.19741588494721,-0.313965240573926,-1.46636086138174,0.143458094828756,0.270627172575776,-4.93666963390301,"Dx.StatusCELIAC"
"1075",-0.885480989202214,0.359166879431221,-0.91850785841767,0.358992785797511,0.454443954624558,-5.47092666870139,"Dx.StatusCELIAC"
"10808",-1.17140055559396,-0.867240682109065,-1.50975261384262,0.132019050121432,0.26619449126118,-4.91427457669158,"Dx.StatusCELIAC"
"10822",-0.824156351467453,-0.76744478254463,-1.00881915297666,0.313766223070417,0.416722486965146,-5.47833531413893,"Dx.StatusCELIAC"
