"phrog_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","fixed","cond",NA,"(Intercept)",0.336978340446166,0.308478217536148,1.09238941776068,0.274661972341899,-0.267627855939797,0.941584536832129
"1","fixed","cond",NA,"Dx.StatusCELIAC",0.0713126967803547,0.33439289769882,0.213260201610455,0.831124013994196,-0.584085339395319,0.726710732956028
"1","fixed","cond",NA,"onset_timeline_combinedt0-6",-1.01889337054029,0.510537680491299,-1.99572609324309,0.0459637452556387,-2.01952883705385,-0.0182579040267272
"1","fixed","cond",NA,"onset_timeline_combinedt0-12",0.160873782692107,0.348282794250034,0.4619056276912,0.6441489981084,-0.521747950472934,0.843495515857148
"1","fixed","cond",NA,"onset_timeline_combinedt0-18",0.297292482998078,0.416459872384608,0.713856250533361,0.475316072501987,-0.5189538678819,1.11353883387806
"1","fixed","cond",NA,"onset_timeline_combinedt0-24",0.827378417218736,0.425571853286055,1.94415681119446,0.0518765441278529,-0.00672708805589628,1.66148392249337
"1","fixed","cond",NA,"onset_timeline_combinedt0-30",-0.296897204570965,0.423914864589453,-0.700369884076841,0.483696338837612,-1.12775507167747,0.533960662535537
"1","fixed","cond",NA,"onset_timeline_combinedt0-36",0.0997167992119027,0.397389757637004,0.250929464827801,0.801868643413077,-0.679152813581725,0.878586412005531
"1","fixed","cond",NA,"onset_timeline_combinedt0-over42",0.012106876157081,0.367323614972424,0.0329597000127255,0.973706724898064,-0.707834179859927,0.732047932174089
"1","fixed","cond",NA,"SexMale",-0.167644192155337,0.201567392431671,-0.831702936337616,0.405576642832443,-0.562709021779064,0.227420637468389
"1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.00118156077984188,0.0188606116965857,0.0626470020617504,0.950047600663991,-0.035784558871861,0.0381476804315447
"1","fixed","cond",NA,"HLA.CategoryHigh Risk",0.278314652574705,0.196467305969694,1.41659525080288,0.156601297851339,-0.106754191265507,0.663383496414917
"1","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.448717850342985,0.277121695987152,1.61920866117891,0.105402375091467,-0.0944306931264902,0.99186639381246
"1","fixed","cond",NA,"feeding_first_yearFormula",-0.552697569191367,0.242482424533819,-2.27933043087122,0.0226474303908528,-1.0279543881616,-0.0774407502211303
"1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.222090687352535,0.188115666083583,-1.18060708061314,0.237758849498331,-0.590790617804121,0.146609243099051
"1","fixed","cond",NA,"Delivery.ModeC-Section",-0.443747151069657,0.207057958851738,-2.14310598602683,0.0321045889148593,-0.84957329313144,-0.0379210090078731
"1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.964776937619891,0.66365090180062,1.45374162078625,0.14601795430609,-0.335954928216851,2.26550880345663
"1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-0.17013140156655,0.508971916290889,-0.33426481132078,0.738179741260695,-1.16769802663903,0.827435223505927
"1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-0.939303341088975,0.638631630529742,-1.47080616772744,0.14134354398733,-2.19099833631536,0.31239165413741
"1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-1.4679173063651,0.614966372130611,-2.38698792794044,0.0169870490696272,-2.67322924744435,-0.26260536528584
