"phrog_category","count","mean_logFC","mean_adj_pval"
"No PHROG annotation",782,0.071788810057486,0.00283518074490644
"Unknown function PHROGs",137,0.0679690623232329,0.00336636072241057
"Head and packaging PHROGs",128,0.0743956555267175,0.00345084191227774
"DNA/RNA metabolism PHROGs",112,0.0768855343411207,0.00316405405224708
"Tail PHROGs",82,0.0760384066995429,0.00355492407961184
"Connector PHROGs",29,0.0679876490772424,0.00383207129543793
"Other PHROGs",28,0.0726749892395933,0.0032187768222662
"Lysis PHROGs",24,0.0710178495846162,0.00387461845424004
"Transcription PHROGs",16,0.0675497289775392,0.00406793488503676
"Integration/excision PHROGs",9,0.0673804153166704,0.00415417367255866
