"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_2265_cycle_1_9",-2328.15824585831,-1971.16629821805,-1614.17435057779,-1257.18240293753,-2234.28608344208,-2185.70897992119,-1290.4228157331,-1093.11955053271,-395.616311574131,163.145909405034,262.40762637277,716.715034737325,938.445925343564
"virus_comp_315_cycle_1_1",-1031.16755781838,-817.515350937836,-603.863144057295,-390.210937176754,-462.557624437529,-358.186896802271,-17.1607509730857,164.875349053056,408.932930658095,532.090731848645,761.523480214506,859.97687713643,1172.99098526075
"virus_comp_2103_cycle_1_7",-12885.3430282867,-12043.9133843042,-11202.4837403218,-10361.0540963393,-5363.31145236511,-3188.81706831462,-3255.083496022,-1760.52332813117,-1713.44512141174,-632.508557134518,-65.2001088636233,594.669627017983,1559.5413533485
"virus_comp_12035_cycle_1_1",-273.048645877435,-229.340497578107,-185.63234927878,-141.924200979452,-305.150986851786,-313.067579764413,-165.256433822127,-142.246096859265,-79.2851097573993,-12.3445327928787,-3.94718378031709,31.6468986019924,84.6387144096847
"virus_comp_317_cycle_1_1",76.2824808797847,70.4243024395407,64.5661239992967,58.7079455590527,-54.2179817281778,-92.5974896861618,-27.2321362996216,-42.2300222074308,-48.2074987975865,-8.428992963126,-41.8755199286444,-28.5549417920607,-45.9646029242015
"virus_comp_12035_cycle_1_2",-35.2945356170904,-22.9676492027438,-10.6407627883972,1.68612362594934,-118.977116822359,-140.862776978199,-59.9781834775338,-60.8685465137951,-32.4342855355933,-2.3979597353278,-14.4373196083505,-0.310218023969107,12.4088504765821
"virus_comp_317_cycle_1_3",6.82867008092904,11.9311689962074,17.0336679114857,22.136166826764,-57.6292665285656,-78.5089517456348,-27.7971346165963,-31.0639880540037,-26.4426749898851,1.01265904434828,-10.0413074013799,-2.17752077644175,3.61489260026649
"virus_comp_17813_cycle_1_1",-148.256890576593,-119.102450138742,-89.9480097008919,-60.7935692630414,-46.2082970381413,-23.6335360672937,3.04492722420742,32.0417273678739,76.2040592591518,179.554936640168,176.703926178822,227.000119082664,217.898087912757
"virus_comp_593_cycle_1_63",-21.3877225038057,-18.8945852868991,-16.4014480699926,-13.908310853086,-12.4988953504035,-10.238773283807,-7.0326303123035,-4.63497177940265,-2.11831397918154,0.280293664024306,2.72470202454573,4.89799218724555,7.5899494818871
"virus_comp_888_cycle_1_4",1.0900639525588,1.07647180919786,1.06287966583693,1.04928752247599,1.03569537911506,1.02210323575413,0.956869783801824,0.950483985958073,0.944689912383185,1.09379997786757,0.986161602086365,1.07795626880189,0.996820060792733
