"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_2265_cycle_1_9",-11.1855929460053,-10.9455654933246,-10.6574741902237,-10.2971253743972,-11.1262437714399,-11.0945455154909,-10.3347457053641,-10.0955546695361,-8.63160020204444,7.35883498747968,8.04115330594963,9.48726733246277,9.87566631205458
"virus_comp_315_cycle_1_1",-10.0114614755894,-9.67686566391363,-9.24046494584022,-8.61180289439538,-8.8566048799154,-8.48859091105872,-4.18275195625769,7.37395569125012,8.67924407871994,9.05823728982865,9.57463795260643,9.74983068211397,10.1972056151121
"virus_comp_2103_cycle_1_7",-13.6535552837844,-13.5561363986564,-13.4516597898134,-13.3390224000313,-12.3891772873292,-11.6392579744194,-11.6689219798904,-10.7826078654594,-10.7435260096797,-9.30722029651596,-6.04876168438028,9.21836858822557,10.6078308729223
"virus_comp_12035_cycle_1_1",-8.09828819586893,-7.84762427228506,-7.54405526224057,-7.15910641465402,-8.25809952327933,-8.29493121545446,-7.3772663611475,-7.16235201902916,-6.32706053504411,-3.73817689087333,-2.30660749440805,5.02887403967446,6.42019123333972
"virus_comp_317_cycle_1_1",6.2720695024088,6.1583431361375,6.0348787060483,5.89985102396363,-5.78706625184699,-6.54839793168438,-4.81926639520383,-5.43396167223943,-5.6208062814626,-3.23710369617238,-5.42208226107494,-4.88532747411639,-5.5535019064548
"virus_comp_12035_cycle_1_2",-5.18168045215667,-4.58301650826072,-3.54111369222133,1.42552570478013,-6.90661545731668,-7.14835228365775,-5.93022126840675,-5.95113423580559,-5.06325638327634,-1.76466875717573,-3.94835037317763,-0.389806900256793,3.74511365705003
"virus_comp_317_cycle_1_3",2.96876724613586,3.69278079763009,4.17262095474862,4.53207795509321,-5.87354910314452,-6.3130453944289,-4.84785336210755,-5.0028819710321,-4.77834921074747,1.00910279238324,-3.46483910666028,-1.66790155842346,2.20629707325222
"virus_comp_17813_cycle_1_1",-7.22165372609702,-6.90812177268303,-6.5069701612845,-5.94938480235272,-5.56096853591143,-4.62255183196425,2.01611374611148,5.04621720537123,6.2706047988456,7.49629405602596,7.4733317463025,7.83289076767318,7.77411554232542
"virus_comp_593_cycle_1_63",-4.48463586561527,-4.31430392049504,-4.12113546052866,-3.89804490100465,-3.75476944751901,-3.49041266835095,-3.00587248053815,-2.49440838523018,-1.64076619853043,0.3564747625995,1.897125014862,2.56022391134004,3.10264964679502
"virus_comp_888_cycle_1_4",1.06354708710417,1.05413428543643,1.04465966680671,1.03512241389988,1.02552169308361,1.01585665397117,0.968547757746177,0.96383215346439,0.959540130773507,1.06612362721535,0.98998301110578,1.05516529262205,0.997704333233478
