,orf_id,Intercept._logFC,Intercept._AveExpr,Intercept._t,Intercept._P.Value,Intercept._adj.P.Val,Intercept._B,Dx.Status(CONTROL vs CELIAC)_logFC,Dx.Status(CONTROL vs CELIAC)_AveExpr,Dx.Status(CONTROL vs CELIAC)_t,Dx.Status(CONTROL vs CELIAC)_P.Value,Dx.Status(CONTROL vs CELIAC)_adj.P.Val,Dx.Status(CONTROL vs CELIAC)_B,onset_timeline_numeric_logFC,onset_timeline_numeric_AveExpr,onset_timeline_numeric_t,onset_timeline_numeric_P.Value,onset_timeline_numeric_adj.P.Val,onset_timeline_numeric_B,Country(USA vs Italy)_logFC,Country(USA vs Italy)_AveExpr,Country(USA vs Italy)_t,Country(USA vs Italy)_P.Value,Country(USA vs Italy)_adj.P.Val,Country(USA vs Italy)_B,Sex(Male vs Female)_logFC,Sex(Male vs Female)_AveExpr,Sex(Male vs Female)_t,Sex(Male vs Female)_P.Value,Sex(Male vs Female)_adj.P.Val,Sex(Male vs Female)_B,Age.at.Gluten.Introduction..months._logFC,Age.at.Gluten.Introduction..months._AveExpr,Age.at.Gluten.Introduction..months._t,Age.at.Gluten.Introduction..months._P.Value,Age.at.Gluten.Introduction..months._adj.P.Val,Age.at.Gluten.Introduction..months._B,HLA.Category(High.Risk vs Standard Risk)_logFC,HLA.Category(High.Risk vs Standard Risk)_AveExpr,HLA.Category(High.Risk vs Standard Risk)_t,HLA.Category(High.Risk vs Standard Risk)_P.Value,HLA.Category(High.Risk vs Standard Risk)_adj.P.Val,HLA.Category(High.Risk vs Standard Risk)_B,HLA.Category(Low.No.Risk vs Standard Risk)_logFC,HLA.Category(Low.No.Risk vs Standard Risk)_AveExpr,HLA.Category(Low.No.Risk vs Standard Risk)_t,HLA.Category(Low.No.Risk vs Standard Risk)_P.Value,HLA.Category(Low.No.Risk vs Standard Risk)_adj.P.Val,HLA.Category(Low.No.Risk vs Standard Risk)_B,feeding_first_year(Formula vs Breast_fed)_logFC,feeding_first_year(Formula vs Breast_fed)_AveExpr,feeding_first_year(Formula vs Breast_fed)_t,feeding_first_year(Formula vs Breast_fed)_P.Value,feeding_first_year(Formula vs Breast_fed)_adj.P.Val,feeding_first_year(Formula vs Breast_fed)_B,feeding_first_yearBreastmilk_and_formula_logFC,feeding_first_yearBreastmilk_and_formula_AveExpr,feeding_first_yearBreastmilk_and_formula_t,feeding_first_yearBreastmilk_and_formula_P.Value,feeding_first_yearBreastmilk_and_formula_adj.P.Val,feeding_first_yearBreastmilk_and_formula_B,Delivery.Mode(C.Section vs Vaginal)_logFC,Delivery.Mode(C.Section vs Vaginal)_AveExpr,Delivery.Mode(C.Section vs Vaginal)_t,Delivery.Mode(C.Section vs Vaginal)_P.Value,Delivery.Mode(C.Section vs Vaginal)_adj.P.Val,Delivery.Mode(C.Section vs Vaginal)_B,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_logFC,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_AveExpr,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_t,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_P.Value,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_adj.P.Val,Dx.Status(CONTROL vs CELIAC).onset_timeline_numeric_B
edge_1468_12,edge_1468_12,2.63336695883068,1.2452115689413,2.05662072965661,0.0411333224695874,0.0576150623358787,-3.91459064583446,2.7929471706047,1.2452115689413,3.47929093992877,0.000627530225115085,0.00132072557842693,-0.528416805158677,-0.0198899845682378,1.2452115689413,-1.44237300775768,0.150896210343823,0.753873302947058,-5.66958913508161,3.02322732435423,1.2452115689413,3.19565109040924,0.00164188498572295,0.00304301279805864,-1.33532317993682,-1.89105017092254,1.2452115689413,-2.3481984373424,0.0199258765597038,0.0379296153629896,-3.39612812063552,-0.0584618758215332,1.2452115689413,-0.608733658668459,0.543451335823882,0.744312123999371,-4.91561339437298,-0.350943355597106,1.2452115689413,-0.400380519548893,0.689340470517363,0.961012419931816,-4.60187823129965,0.302352230344604,1.2452115689413,0.242789725709057,0.808438568157282,0.916195733887073,-4.59888462318442,1.34944792346434,1.2452115689413,1.36789226505801,0.173013094346289,0.462100793560008,-4.63671803439095,-0.149492116345199,1.2452115689413,-0.185441642250262,0.853086788811506,0.9998244748413,-4.60428996292149,0.785492876910436,1.2452115689413,0.767800269869408,0.443589476212794,0.596524685162902,-4.59756144743531,0.0822949811815413,1.2452115689413,4.11808999434953,5.76351418733985e-05,0.000217739287601852,1.47684431791909
edge_1468_14,edge_1468_14,2.66430073773277,1.2926048555414,2.27417599347366,0.0240492982089134,0.0415429624773837,-3.49003902712432,2.74949385964741,1.2926048555414,3.73601299529269,0.000245749858688822,0.00069952162424171,0.31184247731958,-0.0208348275056143,1.2926048555414,-1.64955716441819,0.100650869467701,0.725842646785849,-5.35420387614734,3.04457670830214,1.2926048555414,3.51469922469955,0.000547853869699387,0.00177477030898415,-0.37010447289878,-1.92824026030322,1.2926048555414,-2.61575932018023,0.00960288577673452,0.0324270394615954,-2.79234164731644,-0.0635960350157812,1.2926048555414,-0.723564426849074,0.470204246365091,0.738757068561597,-4.87093118409538,-0.311458451929244,1.2926048555414,-0.387768547035904,0.698612213699605,0.961012419931816,-4.60192049349993,0.341489894513854,1.2926048555414,0.299432890178116,0.764930143903012,0.898569539282715,-4.59874611314894,1.40111629653985,1.2926048555414,1.54838995037275,0.123157292668264,0.421379761465669,-4.42901223281965,-0.197443187624608,1.2926048555414,-0.267320494499977,0.789506220931149,0.9998244748413,-4.60389391211765,0.828766575041649,1.2926048555414,0.884929978138522,0.377289268073193,0.554742141846287,-4.59642060480245,0.0816309225698574,1.2926048555414,4.44798854803399,1.45783819512212e-05,9.13815649137525e-05,2.76029503878303
edge_1468_16,edge_1468_16,2.77906603806627,1.32672115338047,2.35913847895227,0.0191505584800831,0.0366379170921689,-3.30640130972272,3.00069957931172,1.32672115338047,4.04737347546284,7.06741105085879e-05,0.000322424492320244,1.43353690404192,-0.0162337268782288,1.32672115338047,-1.30156344662637,0.1943615984249,0.753873302947058,-5.8675122757582,3.15962244281524,1.32672115338047,3.64407150625139,0.000331405445276331,0.00133944203904469,0.0706303517678473,-2.10917180559567,1.32672115338047,-2.85703156485758,0.00466612542153825,0.0318926200262244,-2.18739777914685,-0.0733456742300297,1.32672115338047,-0.838009821566882,0.402891023664156,0.73231375804903,-4.8208000875464,-0.5573209075991,1.32672115338047,-0.694297214379186,0.48819317538844,0.961012419931816,-4.59927791198063,0.272418100396962,1.32672115338047,0.23436180180488,0.814911602793452,0.918971469971274,-4.59873388907746,1.72745046461086,1.32672115338047,1.90344594229401,0.0582248484891772,0.283524367485194,-3.95005117885922,-0.0394957749501098,1.32672115338047,-0.0534173645628044,0.957445515555358,0.9998244748413,-4.60449189068906,0.643849605204286,1.32672115338047,0.68437398537981,0.494424745194942,0.627350054329982,-4.59822677579412,0.0834829969167583,1.32672115338047,4.56852146871017,7.99433301211408e-06,6.34034416197778e-05,3.3121700199148
edge_1468_40,edge_1468_40,2.77918347314792,1.25830138756484,2.22474939687495,0.0278211905173789,0.0448562317044761,-3.59944023286599,2.61259639890326,1.25830138756484,3.33571457348348,0.001109060149206,0.00200410634774491,-1.02140769051543,-0.0186988159205214,1.25830138756484,-1.38186081011689,0.169382491173627,0.753873302947058,-5.74739568997605,3.10627754801243,1.25830138756484,3.35898971954998,0.00102661251279454,0.00232799484518997,-0.908722191772887,-1.8831679912627,1.25830138756484,-2.39366691903243,0.0181083358434367,0.036773117476619,-3.30912646953286,-0.0664524905057036,1.25830138756484,-0.710096137663604,0.478915313889205,0.738757068561597,-4.87733446941167,-0.211905162282726,1.25830138756484,-0.246945674532668,0.80533949565235,0.961012419931816,-4.60261705649715,0.291859894442932,1.25830138756484,0.240404300953676,0.810395227163658,0.916195733887073,-4.59889219220167,1.31361725768301,1.25830138756484,1.3613006932396,0.175771612367325,0.464892215997063,-4.64257366261539,-0.253380359902144,1.25830138756484,-0.321721840278664,0.748179728283237,0.9998244748413,-4.60360640680584,0.810529530529736,1.25830138756484,0.812104272112449,0.418215156791433,0.580606155919466,-4.59714620319951,0.0768219312310005,1.25830138756484,3.93049548871721,0.000137008381229337,0.00040472590776942,0.695572482507768
edge_1468_41,edge_1468_41,2.85109893484718,1.32144637335934,2.11002116579332,0.0369853778790442,0.0534335909020795,-3.82312844744732,2.95906818134406,1.32144637335934,3.49362221966612,0.000673387899357482,0.00139066626001237,-0.570489858439383,-0.0251691246065749,1.32144637335934,-1.70569809412594,0.0907152806430031,0.718576863449542,-5.2537040259585,3.28990733256442,1.32144637335934,3.28718187271894,0.00133606269028772,0.0026872286979439,-1.13553766068723,-2.09737248403355,1.32144637335934,-2.46623206935844,0.0151026044710136,0.0352140364329177,-3.156851122121,-0.0649592434552681,1.32144637335934,-0.640937389799958,0.522815660923086,0.744107179556395,-4.90378334313056,-0.433302181739721,1.32144637335934,-0.465564907242197,0.642391634138382,0.961012419931816,-4.60134612219546,0.00823620176531517,1.32144637335934,0.00630471807427311,0.994980323663473,0.999698524756839,-4.5991688999394,1.36893321476818,1.32144637335934,1.31151873710183,0.192248053699269,0.470870627696692,-4.69479825844614,-0.373614030795922,1.32144637335934,-0.435956949661986,0.663670545023183,0.9998244748413,-4.60270432631041,0.61998400166916,1.32144637335934,0.574419804206937,0.566785528415958,0.683867984990147,-4.59908740941808,0.0852452816208753,1.32144637335934,3.99782924491976,0.000112231709256839,0.000352227874506199,0.894035868444788
edge_1468_43,edge_1468_43,2.81046135784935,1.25750656772863,2.36956399479932,0.018548066331368,0.0359050091386637,-3.28709145900858,2.61780283556974,1.25750656772863,3.51379283121062,0.000521797947296963,0.00116848767528981,-0.374253722332869,-0.0193166712321506,1.25750656772863,-1.49922661283596,0.135041699442526,0.753873302947058,-5.58124971811599,3.01421194162923,1.25750656772863,3.43223390331523,0.000697449818055754,0.00196916145090833,-0.592229204766302,-1.68594748412579,1.25750656772863,-2.24841639179842,0.0253970582898592,0.0425985466457174,-3.59674986163946,-0.0684111179616156,1.25750656772863,-0.76753212834575,0.443469481814252,0.734802474751363,-4.85292455591653,-0.200522858009603,1.25750656772863,-0.246184773233715,0.805735627788202,0.961012419931816,-4.60266070457887,0.485668488165347,1.25750656772863,0.423190555585575,0.672510000664983,0.873650604584424,-4.59845221312914,1.06510948156244,1.25750656772863,1.1626621173191,0.246044636484545,0.506684187514958,-4.84068064098394,-0.342609509975582,1.25750656772863,-0.457439383135556,0.647741561954565,0.9998244748413,-4.60262677411952,0.928384336959109,1.25750656772863,0.978774619844141,0.328611414223189,0.530040586539914,-4.59540144108931,0.0804228588719823,1.25750656772863,4.33066110214185,2.13245429683961e-05,0.000113911473177598,2.38809515624355
edge_1468_44,edge_1468_44,2.63268147564667,1.22435366163768,2.64559356435567,0.00862744842796524,0.0243911372523376,-2.66422942597998,2.76127541189567,1.22435366163768,4.40520961354457,1.51915971521075e-05,0.000152091156285985,2.82421260355658,-0.0128491571428293,1.22435366163768,-1.20869704064021,0.227824694243909,0.753873302947058,-5.98387133196505,2.92941417877519,1.22435366163768,3.97373643745387,9.06061592116759e-05,0.000799865649334085,1.22169770808823,-1.58789204425374,1.22435366163768,-2.52523221327039,0.0121285275967641,0.0330293875064707,-2.99210544234854,-0.0624146097155331,1.22435366163768,-0.837872645011214,0.402834889006904,0.73231375804903,-4.82222172349563,-0.215222479369106,1.22435366163768,-0.315359771453785,0.752729341116842,0.961012419931816,-4.60237586541262,0.325881001205332,1.22435366163768,0.337042893328957,0.736343431107392,0.886162685507396,-4.59869097382619,1.13642122273161,1.22435366163768,1.47627982096955,0.141020843178655,0.43413083992971,-4.51477010894955,-0.121490585116721,1.22435366163768,-0.193662392894103,0.846584197345723,0.9998244748413,-4.60428192597753,0.897413408873276,1.22435366163768,1.12543670595188,0.261392076774648,0.510348161197548,-4.59359485578751,0.0743754291300439,1.22435366163768,4.81554913577553,2.43511149564171e-06,3.27465865663912e-05,4.41609395225498
edge_1468_49,edge_1468_49,2.51591731986438,1.2445682397719,2.18011775034594,0.0305605153485094,0.047239108220358,-3.67847410305448,2.73503903013594,1.2445682397719,3.78053536167929,0.000213356291614876,0.000639239770084467,0.44260482194195,-0.017139315426381,1.2445682397719,-1.37974632170509,0.169394432031533,0.753873302947058,-5.7537469388628,2.92452366857786,1.2445682397719,3.42611483127144,0.000760207511785043,0.00203843052175762,-0.655904777102894,-1.68554821951372,1.2445682397719,-2.32479103637037,0.0212108413402134,0.0387525087045131,-3.44549413812221,-0.0698656186899547,1.2445682397719,-0.809231704924507,0.419461601919106,0.73231375804903,-4.83360692036575,0.174303619186881,1.2445682397719,0.221042698703154,0.825312386248762,0.963142053175271,-4.60275309758417,1.04010158144173,1.2445682397719,0.91727168620642,0.360240691551385,0.873650604584424,-4.5957477177164,0.797434326418566,1.2445682397719,0.896431091526031,0.371232585012723,0.582933448156435,-5.05460210773799,-0.274637523149055,1.2445682397719,-0.380539854581079,0.703998180570833,0.9998244748413,-4.60330612024789,1.18862580691065,1.2445682397719,1.28798386727796,0.199422434907683,0.487481126414157,-4.59134317990363,0.0791141686596539,1.2445682397719,4.40431136497267,1.82723322925734e-05,0.00010536934561733,2.551652463766
edge_1468_50,edge_1468_50,2.83298990566535,1.26354022207908,2.3625008391967,0.0192891189497587,0.0367303638122057,-3.30989183859451,2.47514271148946,1.26354022207908,3.29194091673018,0.00121134936612646,0.00211929561908507,-1.10985662248986,-0.0156986867430302,1.26354022207908,-1.21286499473416,0.226872991807995,0.753873302947058,-5.96362469722061,3.11688265657653,1.26354022207908,3.51872138870557,0.000557122071145202,0.00179577922402256,-0.379846955547418,-1.87835619850315,1.26354022207908,-2.49140363109407,0.0136879787343089,0.0343497432050163,-3.08395941771662,-0.0615606345543375,1.26354022207908,-0.685340138834899,0.494067682749008,0.741510763931593,-4.88641665015569,-0.247900523077858,1.26354022207908,-0.301753461303825,0.763210773861745,0.961012419931816,-4.60238316332854,0.286535600222763,1.26354022207908,0.245102955013696,0.806673894550966,0.916195733887073,-4.59884270000096,1.19332227508463,1.26354022207908,1.29191604725532,0.198149007096899,0.473089545426171,-4.71481216564948,-0.29658736790198,1.26354022207908,-0.39328990059581,0.694600753993067,0.9998244748413,-4.60312900636688,0.878461238501951,1.26354022207908,0.918125848383632,0.359860610748061,0.541899474388193,-4.59607126819223,0.0732097015747325,1.26354022207908,3.91279830874082,0.000131988437330476,0.000393046565523305,0.713314934973047
edge_1468_54,edge_1468_54,2.89763295444332,1.24309959602435,3.04883027105586,0.00250342444422047,0.0158520454073451,-1.63423502080869,2.67795513236048,1.24309959602435,4.46918986139285,1.11661623831598e-05,0.000141132970449445,3.10294231699937,-0.00588332969470968,1.24309959602435,-0.588141741198726,0.556882450463087,0.804564955313809,-6.54466482634052,3.16626001499037,1.24309959602435,4.51707521408747,9.04538699933875e-06,0.000615352356749133,3.29505824333765,-1.69638676784847,1.24309959602435,-2.82105550019456,0.00510787099518082,0.0318926200262244,-2.26732734929935,-0.0799854644075246,1.24309959602435,-1.13333463533177,0.257984385415058,0.73231375804903,-4.65575856767283,-0.811795052947762,1.24309959602435,-1.25095006410398,0.211933574128942,0.961012419931816,-4.59068588274075,0.21204621104574,1.24309959602435,0.22665421938828,0.820847967846953,0.922108474808161,-4.59881871224174,1.45442230832974,1.24309959602435,1.98446564987544,0.0481205812458879,0.253374846394123,-3.82674993378855,-0.0492695493975539,1.24309959602435,-0.0820609392272647,0.934653323943328,0.9998244748413,-4.60447147840457,0.807551718021947,1.24309959602435,1.05930851590491,0.290316842013638,0.51460952596148,-4.59444498910852,0.0653921620971629,1.24309959602435,4.4471409620519,1.22960164956114e-05,8.2917452345041e-05,2.89179338899833
