"orf_name","slope","variance","early_late_diff","peak_timing","monotonicity","pattern_type","cluster"
"virus_comp_475_cycle_1_7",0.567754070227778,5.1187819759931,5.75012094559621,1,0.833333333333333,"increasing",2
"virus_comp_2103_cycle_1_9",0.296580012677087,1.94775945711417,2.99599430744162,1,0.666666666666667,"increasing",1
"virus_comp_593_cycle_1_63",0.337187760515264,2.10648457325947,3.43237307074921,1,0.666666666666667,"increasing",7
"virus_comp_315_cycle_1_1",0.46364113766239,3.99965105640111,4.70023612703603,1,0.666666666666667,"increasing",7
"virus_comp_17813_cycle_1_1",0.404845442533765,2.75241002524393,4.10156653084785,1,0.833333333333333,"increasing",7
"virus_comp_17959_cycle_1_10",0.365316553731352,2.30871202498056,3.70208600862606,1,0.666666666666667,"increasing",7
"virus_comp_392_cycle_1_1",0.323022339717007,1.83361135577567,3.28088222541434,1,0.833333333333333,"increasing",1
"virus_comp_17959_cycle_1_12",0.339675329031883,2.10124610260208,3.4352864825947,1,0.666666666666667,"increasing",7
"virus_comp_1019_cycle_1_5",0.447927076761054,3.15924073307077,4.55091470502741,1,0.833333333333333,"increasing",7
"virus_comp_2572_cycle_1_4",0.325125435379673,1.93802228394431,3.28995740381598,1,0.666666666666667,"increasing",1
"virus_comp_2103_cycle_1_7",0.471794436836802,3.60175605867128,4.73375230497035,0.0769230769230769,0.833333333333333,"increasing",2
"virus_comp_2103_cycle_1_8",0.457952703019763,3.30392339587486,4.61044509849277,0.0769230769230769,0.833333333333333,"increasing",2
"virus_comp_2265_cycle_1_9",0.358016512784678,2.3889936496959,3.61150197027901,1,0.666666666666667,"increasing",7
"virus_comp_1727_cycle_1_2",0.306198114533949,1.98287526895788,3.11818192372263,1,0.666666666666667,"increasing",1
"virus_comp_2089_cycle_1_7",0.369249228117181,2.61916108768936,3.73188448048765,1,0.666666666666667,"increasing",7
"virus_comp_169_cycle_1_2",0.282110608422677,1.53446871282749,2.88487975509828,1,0.666666666666667,"increasing",1
"virus_comp_593_cycle_1_28",0.194020639545649,1.1272646788741,1.99617258470799,1,0.666666666666667,"increasing",9
"virus_comp_8731_cycle_1_5",0.231437828655181,1.07727977843978,2.37154135068341,1,0.666666666666667,"increasing",9
"virus_comp_384_cycle_1_4",0.413148019434856,2.78693035039962,4.19168241944979,1,0.833333333333333,"increasing",7
"virus_comp_593_cycle_1_27",0.248763980844807,1.43429784198294,2.55384459164979,1,0.666666666666667,"increasing",1
"virus_comp_18178_cycle_1_10",0.351538033099729,2.18106297472815,3.57799354891601,1,0.833333333333333,"increasing",7
"virus_comp_2473_cycle_1_6",0.35170259665666,2.09645461652323,3.5611115156679,1,0.833333333333333,"increasing",7
"virus_comp_285_cycle_1_1",0.265944493034499,1.51061229335603,2.722221238135,1,0.666666666666667,"increasing",1
"virus_comp_384_cycle_1_2",0.413421666073289,2.76278182712379,4.19184887435778,1,0.833333333333333,"increasing",7
"virus_comp_7609_cycle_1_2",0.167478564478173,1.11248553613473,1.72572755657143,1,0.666666666666667,"increasing",9
"edge_1476_19",0.157382927471373,0.840365288761902,1.63032425217683,1,0.666666666666667,"increasing",8
"virus_comp_1898_cycle_1_15",0.105092028926986,0.803272778340117,1.07718989657692,1,0.5,"increasing",6
"virus_comp_152_cycle_1_8",0.397135602453972,2.62999824979364,4.03329196740646,1,0.666666666666667,"increasing",7
