"orf_id","total_logFC","total_adj_p","us_logFC","us_adj_p"
"virus_comp_475_cycle_1_7",0.132069110221699,7.28044269307762e-09,0.142715116806814,6.54313619469394e-07
"virus_comp_2103_cycle_1_9",0.10524020701153,1.24216976579399e-07,0.133554591831865,6.10075623311687e-12
"virus_comp_315_cycle_1_1",0.133748197165944,1.24216976579399e-07,0.160455297304718,3.32512073758137e-10
"virus_comp_17813_cycle_1_1",0.1109620245235,1.30406614291249e-07,0.125495627412918,3.5130816400282e-08
"virus_comp_17959_cycle_1_10",0.103369109617093,2.5221005750607e-07,0.0991910349688029,7.73674117477073e-07
"virus_comp_392_cycle_1_1",0.0960443566806934,2.5221005750607e-07,0.101186320938032,4.78802480535225e-06
"virus_comp_17959_cycle_1_12",0.100854878017942,2.5221005750607e-07,0.097984784049621,6.54313619469394e-07
"virus_comp_1019_cycle_1_5",0.104017097026782,3.41546494670282e-07,0.110940422327403,4.11654305256228e-06
"virus_comp_2572_cycle_1_4",0.0975361700187722,4.16517726877234e-07,0.0959598301475733,2.04891159991724e-06
"virus_comp_2103_cycle_1_7",0.115382309114977,4.59930075538412e-07,0.143430661417713,4.34917956902701e-10
"virus_comp_2103_cycle_1_8",0.105656819436838,5.77207828735817e-07,0.127839255359085,7.6359011926762e-11
"virus_comp_2265_cycle_1_9",0.10980513983791,6.8756365516779e-07,0.123056333086695,4.0873492327359e-08
"virus_comp_1727_cycle_1_2",0.102170592721674,6.8756365516779e-07,0.108741301233549,2.2838091430493e-07
"virus_comp_2089_cycle_1_7",0.112777190666494,8.25414719801541e-07,0.134739444824447,7.78640595619888e-10
"virus_comp_169_cycle_1_2",0.0910582723134418,8.25414719801541e-07,0.097539803207315,0.00112941211558754
"virus_comp_384_cycle_1_4",0.109967690628081,9.6619535099231e-07,0.116359179994774,1.51211402381208e-05
"virus_comp_18178_cycle_1_10",0.103469285577426,9.91416116184438e-07,0.105486136358456,0.00121230579747397
"virus_comp_2473_cycle_1_6",0.0993678742620652,1.22633439061164e-06,0.111249385029325,1.0035460462836e-05
"virus_comp_285_cycle_1_1",0.0922045263875548,1.22633439061164e-06,0.0911229727146744,1.0035460462836e-05
"virus_comp_384_cycle_1_2",0.107800421067406,1.22633439061164e-06,0.115057029971684,1.0035460462836e-05
"virus_comp_7609_cycle_1_2",0.0838281891355201,1.51561318968975e-06,0.0954409456336691,6.65870046075644e-12
