"","T0-72","T0-66","T0-60","T0-54","T0-48","T0-42","T0-36","T0-30","T0-24","T0-18","T0-12","T0-6","T0"
"virus_comp_17813_cycle_1_1",229.557321778759,204.738568183975,179.919814589191,155.101060994407,33.9507407149304,-20.0866725736126,-22.197735223178,-69.8937778771067,-45.9892903641079,-223.863004188672,-194.557493732953,-215.230255739733,-209.529251613459
"virus_comp_2342_cycle_1_4",52.264354435533,42.8581035660637,33.4518526965943,24.0456018271249,10.468749076222,4.54032633423595,1.77406533449588,-6.1600704502538,-15.6145656775527,-46.759220864222,-48.0918591655061,-48.3498046742673,-56.1366327853051
"virus_comp_315_cycle_1_1",585.205052823235,372.845050030944,160.485047238653,-51.874955553638,575.168051662454,628.544475872593,85.9776003716631,-12.8345396127315,-448.663569690194,-554.315247255766,-748.725587030057,-1015.07403962618,-1264.73387726325
"virus_comp_17959_cycle_1_11",874.5436098511,719.202059566299,563.860509281497,408.518958996695,117.182715526883,11.1292159909259,0.931622482783023,-133.515650121399,-272.652847463431,-774.705193929494,-808.838012719411,-737.126426842156,-900.700037302888
"virus_comp_17959_cycle_1_10",1031.23785428216,846.470010239277,661.702166196399,476.93432215352,125.350985795554,0.919066744046628,-10.9936389712064,-170.812919261703,-336.01816546101,-869.050798145152,-935.535377862271,-824.069291551356,-1049.93362714508
"virus_comp_392_cycle_1_1",2800.61462752902,2535.97867971214,2271.34273189526,2006.70678407839,254.464828197283,-464.211826963433,-451.253082458416,-1077.45788504504,-650.757568441643,-2392.58586510618,-2131.14951319035,-2134.71765345935,-2274.65290941635
"virus_comp_17959_cycle_1_12",330.771491353429,269.752850855429,208.734210357429,147.715569859429,52.1448594232731,14.9896313373849,7.22357966022557,-43.1381617574551,-102.421063126854,-296.824709010639,-312.365897844662,-291.027902083208,-350.831956117173
"virus_comp_593_cycle_1_28",3.3178311111851,2.44049063563559,1.56315016008607,0.68580968453655,1.12375436206009,0.861816385052925,-3.93836229796391,-5.43570420004681,-5.91223964223928,-7.26284033545714,-6.8073938640668,-4.50283668544569,-7.5769209503769
"virus_comp_2265_cycle_1_9",1795.20035253853,1412.62813831816,1030.0559240978,647.48370987743,2132.69177295596,2511.93380512228,1462.98091553177,1340.77190712172,611.577312197161,-279.694092558432,-456.02929318151,-610.25561747516,-1070.08677462306
"virus_comp_1727_cycle_1_2",-18.232406276393,-26.2282952722194,-34.2241842680457,-42.2200732638721,2.13480867169192,13.8720583293348,-6.58039326504345,-7.41832842636724,-30.6261002336638,-24.9863150123448,-40.6470508383738,-48.2443686547951,-58.1132057803841
"virus_comp_18178_cycle_1_10",242.686049510452,214.196287723705,185.706525936958,157.21676415021,35.7223525465498,-21.2445709523669,-23.569488354947,-74.2658340477721,-54.8500826820238,-254.272984361396,-222.170742575341,-252.09509245711,-242.033278536552
"virus_comp_7609_cycle_1_2",0.898698994549699,0.629254827957171,0.359810661364641,0.090366494772112,-0.229091777286142,-0.470063728530837,-0.596890681880313,-0.417338906021079,-1.21044502389456,-0.962624520858077,-1.38189912870299,-1.57520095368591,-2.02848397231575
"virus_comp_2572_cycle_1_4",95.0917415434582,82.1390546012711,69.186367659084,56.233680716897,18.6826455045676,3.34640930335711,5.55273889331057,-8.17183018712871,-16.5483253043236,-59.5684333654502,-60.4592480646841,-59.554985660005,-71.1115510039477
"virus_comp_285_cycle_1_1",4.14033203956231,3.54705058533033,2.95376913109835,2.36048767686638,1.10276272585321,0.272060295425275,0.672645600421051,0.291880972852028,-0.432985228458025,-1.58670692707709,-2.21370039667291,-2.80662268335179,-3.09497242258368
"virus_comp_391_cycle_1_1",197.571818533152,176.780640467185,155.989462401218,135.198284335251,20.0736446317246,-30.8036725305739,-28.8979893982819,-71.9432872965937,-48.6967334871601,-171.870648171737,-156.827535649638,-168.607204100343,-173.903922382466
"virus_comp_2473_cycle_1_6",746.981049780941,657.732528825382,568.484007869823,479.235486914263,136.001220912926,-28.2115366387838,-48.8893345332177,-200.89545652466,-143.573792458282,-927.582589977907,-766.662117161047,-909.17783979272,-804.862823432723
"virus_comp_593_cycle_1_27",3.33329974693344,2.51695467129885,1.70060959566426,0.884264520029675,1.27561949349507,1.0402071446192,-4.40976797523637,-6.01367873856569,-6.18066905259687,-7.96787593907954,-6.94544193180694,-4.25446765148183,-7.41348340642616
"virus_comp_593_cycle_1_115",0.446683637486955,0.119417204879505,-0.207849227727944,-0.535115660335394,-0.249171913794988,-0.179647439341383,-1.97367645314215,-2.51614051840283,-2.81346247292164,-3.06912577081882,-3.15588998357482,-2.48626336517796,-3.55456643262316
"virus_comp_2375_cycle_1_4",1234.70125114601,1018.6055394007,802.509827655381,586.414115910065,481.236441492419,369.597062334472,-9.64620699485172,-228.641516567454,-370.747436111024,-2361.10609119347,-1821.02140374707,-2074.72620815185,-1818.57631142401
"edge_1476_19",-4.68057462694994,-3.33578159885452,-1.9909885707591,-0.64619554266369,-7.90650407870351,-11.0618028113534,-7.04321794116449,-6.88342914487711,-4.05486500016418,-3.90612494507647,-1.13382024278522,-1.50812162910007,0.895748247509069
"virus_comp_2343_cycle_1_7",119.031486851889,104.65927287889,90.2870589058916,75.9148449328927,-59.8126207767084,-100.683297040721,-61.1726314531601,-90.2261670727121,-76.3541861830324,-160.855835579079,-154.37085678885,-157.074751440647,-161.345910033922
