"","Row.names","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR","query_id","query_length","hit_accession","hit_description","hit_length","e_value","identity","align_length","percent_identity","coverage","query_start","query_end","subject_start","subject_end","strand"
"1","1","contig_3146",1,91,0,93,Inf,0.497297297297297,1,"contig_10196",2201,"OQ091474","Coxsackievirus A4 strain CVA4_180054630902_FRA18, complete genome",7413,0,2163,2201,98.27,100,1,2201,1111,3311,"plus"
"2","10","contig_43881",0,92,1,92,0,1,1,"contig_27255",1300,"MW373943","Human enterovirus isolate NIG-18-415-008 polyprotein gene, partial cds",3864,0,1181,1288,91.69,99.08,1,1288,1175,2462,"plus"
"3","11","contig_3229",0,92,2,91,0,0.497297297297298,1,"contig_292",7418,"HQ728260","Human coxsackievirus A4 strain CVA4/SZ/CHN/09, complete genome",7434,0,6545,7345,89.11,99.02,39,7381,92,7434,"plus"
"4","12","contig_9150",1,91,0,93,Inf,0.497297297297297,1,"contig_29259",1256,"OL839945","Coxsackievirus A6 strain HF281/YunN, complete genome",7413,0,1239,1256,98.65,100,1,1256,4958,3703,"minus"
"5","13","contig_3263",1,91,1,92,1.01093022774509,1,1,"contig_30058",1240,"OR728261","Human parechovirus 1B strain HPeV-1B/USA/WA-UW-6bd44/2021, complete genome",7268,0,1222,1240,98.55,100,1,1240,5530,6769,"plus"
"6","14","contig_3303",0,92,2,91,0,0.497297297297298,1,"contig_3069",8633,"MN609855","Leveillula taurica associated picorna-like virus 1 isolate PM-A_DN31116 putative capsid protein and putative RdRp genes, complete cds",8937,0,8526,8634,98.75,100.01,1,8633,8826,195,"minus"
"7","15","contig_3225",0,92,1,92,0,1,1,"contig_3096",8415,"KY369904","Coxsackievirus B4 strain EPV3715, complete genome",7368,0,7093,7352,96.48,87.37,1064,8415,1,7328,"plus"
"8","16","contig_3292",0,92,1,92,0,1,1,"contig_3146",7980,"JN652232","Saffold virus isolate S14 polyprotein gene, complete cds",7887,0,7195,7854,91.61,98.42,127,7980,1,7854,"plus"
"9","17","contig_3302",0,92,2,91,0,0.497297297297298,1,"contig_3176",7701,"FN999911","Saffold virus gene for viral polyprotein, strain Nijmegen2008",8045,0,6991,7700,90.79,99.99,1,7697,7799,106,"minus"
"10","18","contig_18302",1,91,1,92,1.01093022774509,1,1,"contig_3214",7499,"PP585432","Enterovirus A71 strain EVA71_2300151472_FRA23 polyprotein gene, complete cds",7403,0,7226,7339,98.46,97.87,165,7499,63,7401,"plus"
