"metric","value"
"total_orfs_tested",2154
"significant_orfs",1845
"decreased_in_celiac",1845
"increased_in_celiac",0
"abundance_richness_correlation",0.0881656011337388
"mean_logFC_significant",0.0620370120595074
"median_logFC_significant",0.0604215008420686
