"orf_id","mean_abundance","prevalence","max_abundance","cv","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","direction","celiac_direction","abundance_class","prevalence_class"
"virus_comp_155_cycle_1_13",31.016339869281,0.0457516339869281,4255,9.7240495291136,0.0470291051951575,1.61878110784851,2.99060828594003,0.00308388385273421,0.00564374326150339,-2.12044652244499,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_131",213.447712418301,0.0326797385620915,31061,9.99288387034038,0.0522990305689592,1.64793158345817,2.62431855651582,0.0102641458822455,0.0145167237231496,-3.15332363577501,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_132",43.7614379084967,0.0326797385620915,5701,9.71692431878259,0.0540807700372117,1.57333316484362,2.7466809783357,0.00732459204437628,0.0112213166881839,-2.85866293602375,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_135",55.702614379085,0.0326797385620915,6859,9.10544166793212,0.0511725211976453,1.59620813171487,2.58443366463034,0.0114317816952342,0.0157846524176503,-3.25041419952864,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_136",445.385620915033,0.0294117647058824,47173,8.53831154523553,0.060241581418053,1.65167273416584,2.93729532963123,0.00424309077194939,0.00725366470061825,-2.36337257832482,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_137",233.480392156863,0.0294117647058824,23762,8.80829753604126,0.0606389517299489,1.62328505130322,2.9796272076195,0.00374624010120123,0.00655515936473392,-2.25326716143115,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_138",295.807189542484,0.0294117647058824,43456,10.0773287282524,0.0610485600978533,1.62210651890188,2.9904249249878,0.00362841906954221,0.00639575669050239,-2.22523582011447,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_139",131.660130718954,0.0294117647058824,20301,10.5846071818857,0.061288591691095,1.56507754126809,3.04369505131418,0.00309574076979292,0.00565103865943556,-2.08555141299051,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_14",47.140522875817,0.0326797385620915,5019,8.74435200973992,0.0525656856002215,1.58066187572984,2.67820464390896,0.00885814425732266,0.0129798930137912,-3.02575132779759,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_140",68.6797385620915,0.0326797385620915,7770,9.44939971434109,0.0605101717105416,1.57248156969003,3.65472254332067,0.000341484528151274,0.00108011405820535,-0.119754098144574,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_142",129.150326797386,0.0294117647058824,13396,8.49920423936732,0.0611774305039625,1.60524275315262,3.03217979532739,0.00320433646584051,0.00582965929525079,-2.11382177728609,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_151",304.218954248366,0.0326797385620915,31991,8.43771900198025,0.0508653413708754,1.6735727746677,2.53751622350044,0.0129579385337632,0.0174752469010438,-3.35605338362572,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_152",57.9967320261438,0.0326797385620915,6072,8.30700808117398,0.0528172064725513,1.60398585394909,2.67729108999188,0.00888044458905651,0.0130037237558312,-3.02730272431055,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_153",170.565359477124,0.0326797385620915,16735,8.49855450950144,0.0515484295303435,1.65094006723507,2.58984326662297,0.011266679048945,0.0156067052549374,-3.23444904445095,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_154",122.176470588235,0.0392156862745098,14979,8.49252978629647,0.0483171687808917,1.67914888706963,2.89915303736254,0.00409684377401446,0.00707099478303458,-2.38024716139129,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_155",82.5424836601307,0.0326797385620915,8439,8.76972297130482,0.0526503452397252,1.61145198429499,2.67308737953653,0.00898371831670768,0.0131192740706362,-3.03686155246113,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_156",133.078431372549,0.0326797385620915,16754,9.20614363935256,0.0523958135196912,1.63051464221475,2.63652798905847,0.00992894236670646,0.0141082503935527,-3.12455089513629,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_157",150.506535947712,0.0326797385620915,17992,8.89197733780424,0.0525372599116686,1.63944564921415,2.63885943421695,0.00986607338380393,0.0140665180213326,-3.11831659048503,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_158",217.656862745098,0.0326797385620915,27142,9.57025542454353,0.0515365887788849,1.63731593246174,2.58951490063974,0.0112766391324855,0.0156104631692634,-3.23577984911328,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_162",89.0490196078431,0.0326797385620915,13306,10.1821321164973,0.0524177076091934,1.60396123911673,2.65576505553614,0.00942089106202952,0.0135750703220248,-3.08006372318411,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_163",272.382352941176,0.0359477124183007,38058,9.92843340116602,0.0445921644734674,1.66600471354303,2.36347297081047,0.0198852965334446,0.0251366952658683,-3.7357654047641,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
"virus_comp_155_cycle_1_165",20.6241830065359,0.0326797385620915,3004,10.5355963556115,0.0515277145331434,1.52530836823043,3.16794802947494,0.00180010279101754,0.00369982959146163,-1.63972550961244,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_168",59.3823529411765,0.042483660130719,7163,9.05789196824897,0.0543783600229308,1.65711439492271,3.2911271800465,0.00117268262964964,0.00267047938517742,-1.25050425816553,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","Medium","Rare"
"virus_comp_155_cycle_1_169",101.320261437908,0.0326797385620915,11285,9.35713786167247,0.0537595816783372,1.60735716333979,2.72735382258479,0.00773084758866449,0.0116833304743032,-2.90385284503379,TRUE,"Higher_in_CONTROL","Decreased_in_CELIAC","High","Rare"
