"orf_id","logFC","adj.P.Val","P.Value","t","AveExpr"
"virus_comp_315_cycle_1_1",0.130534985187107,2.40236521343013e-06,1.23212669096294e-09,6.29722361091151,1.99132657140917
"virus_comp_2572_cycle_1_4",0.0896765769803741,2.40236521343013e-06,2.23060836901591e-09,6.24733913183975,1.53036601682735
"virus_comp_17959_cycle_1_11",0.0959945564914306,5.66974810584735e-06,7.89658510563698e-09,6.00393405853505,1.57379885772498
"virus_comp_17959_cycle_1_10",0.0951932917292541,6.18121372932266e-06,1.59202851699468e-08,5.87043339899673,1.58449305882589
"virus_comp_17813_cycle_1_1",0.0987833160458559,6.18121372932266e-06,1.86448038661059e-08,5.79503455714088,1.52257594072337
"virus_comp_392_cycle_1_1",0.0873426962824944,6.18121372932266e-06,1.98468279634525e-08,5.85536338112766,1.50864518956701
"virus_comp_17959_cycle_1_12",0.0929965264365276,6.18121372932266e-06,2.00875097981702e-08,5.81887232833207,1.57366475180501
"virus_comp_7609_cycle_1_2",0.0830009428528111,7.23126292390774e-06,3.02141904898652e-08,5.80516024981859,1.40505291541387
"virus_comp_1727_cycle_1_2",0.0949476414461854,7.23126292390774e-06,2.96865443672587e-08,5.71262389026378,1.68644580639625
"virus_comp_152_cycle_1_8",0.101508042636059,2.00217515916874e-05,9.29514929976203e-08,5.47967357216208,1.80636183272746
"virus_comp_2265_cycle_1_9",0.102058220189904,2.60930855785644e-05,1.33251597662121e-07,5.44227594331717,1.72065746125748
"virus_comp_18178_cycle_1_10",0.0953744858378253,2.7523796841429e-05,1.53335915551136e-07,5.41776853215303,1.57761989532381
"virus_comp_593_cycle_1_28",0.0784663622822164,2.90827112151986e-05,1.91298389750453e-07,5.41994733880912,1.42826897052296
"edge_1631_4",0.075268995767158,2.90827112151986e-05,1.9316239625777e-07,5.42690200073594,1.42001072119874
"virus_comp_2343_cycle_1_7",0.0946758091676317,2.90827112151986e-05,2.47310288703706e-07,5.39805215845921,1.59531959352697
"virus_comp_2269_cycle_1_10",0.0925362110844784,2.90827112151986e-05,2.42356449622641e-07,5.2926701904007,1.79732783469208
"virus_comp_593_cycle_1_96",0.0781369519791393,2.90827112151986e-05,2.52008071292697e-07,5.37502105065714,1.43156573699235
"virus_comp_391_cycle_1_1",0.0848577793234557,2.90827112151986e-05,2.45856683531936e-07,5.29876678163219,1.48917510889565
"virus_comp_645_cycle_1_8",0.0777585923645513,2.90827112151986e-05,2.56902213838212e-07,5.36700215509904,1.42542663931886
"virus_comp_317_cycle_1_4",0.103640138843218,2.90827112151986e-05,2.70034458822643e-07,5.41157677940599,1.57720258046386
