"metric","value"
"total_significant_orfs",1845
"orfs_with_temporal_data",1845
"orfs_analyzed",1845
"mean_temporal_difference",174.785147959921
"median_temporal_difference",0.213497294974285
"max_temporal_difference",61820.1538814644
"min_temporal_difference",-52260.9177182802
