"","T-69","T-63","T-57","T-51","T-45","T-39","T-33","T-27","T-21","T-15","T-9","T-3"
"virus_comp_315_cycle_1_1",NA,NA,NA,NA,NA,NA,NA,-2.49768073219737,-1.2678007851354,-1.45622111989445,NA,-5.9758913814862
"virus_comp_1727_cycle_1_2",NA,NA,NA,NA,NA,NA,NA,-1.38524289701849,-4.88708211452834,-0.614368337416753,NA,-4.58626304623507
"virus_comp_152_cycle_1_8",NA,NA,NA,NA,NA,-1.62651111028964,NA,0.834336683603798,NA,NA,7.89744642186856,NA
"virus_comp_2265_cycle_1_9",NA,NA,NA,NA,NA,NA,NA,-4.64585854268587,NA,-5.69752491405476,-7.74428007886739,NA
"virus_comp_18178_cycle_1_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.82260269575654,-8.83534220409056,-5.41855734726852
"edge_1631_4",NA,NA,NA,NA,NA,NA,-3.20342650381492e-16,NA,NA,-0.372952097911829,NA,-3.87711002796097
"virus_comp_2269_cycle_1_10",NA,NA,NA,NA,NA,NA,NA,1.90446385821398,NA,-3.62305274234518,-6.60487486841754,-11.1644871120208
"virus_comp_317_cycle_1_4",NA,NA,NA,NA,NA,NA,NA,3.1427888715048,-1.38267765283328,NA,NA,-6.07655991339205
"virus_comp_285_cycle_1_1",NA,NA,NA,NA,NA,NA,NA,-0.559427408614019,2.8317891403678,NA,-2.22819804301765,NA
"virus_comp_169_cycle_1_2",NA,NA,NA,NA,NA,1.14014315792652,NA,4.01387507493456,NA,NA,6.763846623488,-0.860333514764121
"virus_comp_593_cycle_1_69",NA,NA,NA,NA,NA,NA,NA,0.674514085699448,NA,0.293358942690592,NA,1.2755528509835
"virus_comp_12035_cycle_1_1",NA,NA,NA,NA,NA,NA,NA,-0.770579230675045,-1.48542682717024,-0.50723965075508,NA,-0.596240914149102
"virus_comp_2375_cycle_1_4",NA,NA,NA,NA,NA,NA,3.22239242133645,-4.88622457861796,NA,-5.19409513604919,NA,-11.2732677630112
"virus_comp_2477_cycle_1_2",NA,NA,NA,NA,NA,NA,NA,1.5552151573271,-5.0835406955427,0.290213095209176,NA,1.96523953854076
"virus_comp_2475_cycle_5_11",NA,NA,NA,NA,NA,NA,NA,1.23574005714923,-4.82597060022495,0.346508904504379,NA,1.8903068537858
"virus_comp_12035_cycle_1_2",NA,NA,NA,NA,NA,0.0233325038306237,NA,-0.928746922087105,-0.678071905112638,1.7134637622247,NA,-0.310362505503281
"virus_comp_2475_cycle_5_12",NA,NA,NA,NA,NA,NA,NA,0.0470682536567789,-3.74416109557041,0.598003415556378,NA,1.4520323823292
"virus_comp_2475_cycle_5_10",NA,NA,NA,NA,NA,NA,0.169925001442313,1.47960950057493,-3.36152426923316,1.09824651696358,NA,2.32346828403854
"virus_comp_2477_cycle_1_3",NA,NA,NA,NA,NA,NA,NA,1.18653971529321,-3.53106949272595,1.10802773125615,NA,2.25996851972973
"virus_comp_2475_cycle_5_4",NA,NA,NA,NA,NA,NA,NA,1.16649409604204,-0.881664619320345,-8.36843331323918,NA,0.238977001542342
"virus_comp_18196_cycle_1_2",NA,NA,NA,NA,NA,-5.06965438389135,NA,5.46060216234523,NA,-5.39039254585427,NA,NA
"virus_comp_18126_cycle_1_3",NA,NA,NA,-4.8569967661782,NA,-0.48723132401699,NA,2.29998554200669,NA,NA,NA,NA
"virus_comp_491_cycle_1_3",NA,NA,NA,1.24511249783653,NA,2.98631611779344,NA,2.6334239896778,NA,0.216773348835288,NA,NA
"virus_comp_3264_cycle_1_8",NA,NA,NA,NA,NA,NA,8.97192771329461,0.452876500495229,NA,NA,NA,0.800691191776594
"virus_comp_2239_cycle_1_8",NA,NA,NA,NA,NA,NA,-3.8037132835042,9.50692841679177,NA,2.78019730432419,-0.516453722790866,1.78226017857473
"virus_comp_2475_cycle_5_7",NA,NA,NA,NA,NA,NA,NA,2.15264701001048,-3.43587100269601,2.21647645298171,NA,-5.23024730304658
"virus_comp_2475_cycle_5_8",NA,NA,NA,NA,NA,NA,NA,3.03350580321572,-2.65640190147418,2.2532834352012,NA,2.84755179712214
"virus_comp_18196_cycle_1_8",NA,NA,NA,NA,NA,-0.0969617298870881,NA,5.83815640614892,NA,-4.2000544650984,NA,NA
"virus_comp_2915_cycle_1_9",NA,NA,NA,NA,NA,-4.52439488653388,NA,5.12101540096137,NA,-5.2833830512256,NA,NA
"virus_comp_2239_cycle_1_5",NA,NA,NA,NA,NA,NA,0.796466605914868,11.1706046827248,NA,NA,NA,5.49969037555847
"edge_1847_24",NA,NA,NA,NA,NA,NA,NA,0.545434136534519,NA,1.76859720321532,NA,0.778253802656838
"edge_2254_7",NA,NA,NA,NA,NA,0.421410629520762,2.69707286704269,-0.456857674973471,NA,NA,NA,NA
"edge_3278_3",NA,NA,NA,NA,NA,NA,NA,0.48286431310242,NA,4.17907651344724,NA,-1.43336414708543
"virus_comp_2476_cycle_1_2",NA,NA,NA,NA,NA,NA,NA,1.96947513298654,-1.33146613150161,0.936971563139516,NA,1.25362622627263
"virus_comp_1933_cycle_1_2",NA,NA,NA,NA,NA,NA,NA,NA,-1.76707691117138,-1.22958792274065,NA,-1.46675031557998
"virus_comp_2477_cycle_1_5",NA,NA,NA,NA,NA,NA,NA,3.02999474029784,-2.60299642355142,2.31745490406868,NA,2.82640320399443
"virus_comp_1935_cycle_1_2",NA,NA,NA,NA,2.18762700317577,-1.74903842646678,NA,NA,0.50714296735427,NA,NA,-0.823387439210949
"edge_1633_14",NA,NA,NA,NA,NA,-1.9857861407803,NA,NA,NA,-1.73918341941602,NA,-3.36575204094037
"virus_comp_3464_cycle_1_7",NA,NA,NA,NA,NA,-0.22914492170376,5.52213566326572,3.57016549879308,NA,-5.29204549249286,-1.39231742277876,NA
"virus_comp_6916_cycle_1_4",NA,NA,NA,NA,NA,-0.948161068480382,NA,NA,NA,-4.85623875989708,0.192645077942396,0.126723684996692
"virus_comp_18116_cycle_1_3",NA,NA,NA,NA,NA,-10.25987823129,5.61649315094411,NA,NA,6.27214382240293,-0.359895945086383,6.91853989968937
"virus_comp_2477_cycle_1_6",NA,NA,NA,NA,NA,NA,-0.0931094043914815,2.08325058996342,-3.01639443825067,2.29584676816064,NA,-5.36182585993145
"virus_comp_2475_cycle_5_1",NA,NA,NA,NA,NA,NA,NA,2.25375659224578,-2.23606735823352,3.17759049855195,NA,0.959499212789231
"edge_1468_72",NA,NA,NA,NA,NA,0.198841832889083,NA,NA,-0.369949609750305,0.856907478378958,NA,NA
"edge_959_21",NA,NA,NA,NA,NA,NA,NA,0.02376816593295,NA,-2.50182126542091,NA,-0.965297303620125
"virus_comp_2475_cycle_5_2",NA,NA,NA,NA,NA,NA,NA,1.56610347346984,-2.33411750389528,1.6224315961531,NA,1.89738823698181
"virus_comp_317_cycle_1_1",NA,NA,NA,NA,NA,NA,NA,-0.0784902110450372,1.3188812193285,3.00400545470236,NA,0.410568198066917
"edge_1633_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35374371810479,0.514573172829758,0.180652759917081
