"orf_id","slope","mean_value","variance","range_val","early_late_diff","peak_time","peak_value","monotonicity","pattern_type","cluster"
"virus_comp_315_cycle_1_1",23.7174461766279,-0.0483970333597828,75.4131953722029,19.469349472754,-13.708526521733,0,-10.2536298987079,0.833333333333333,"increasing",3
"virus_comp_2572_cycle_1_4",19.3199535277313,0.181345535015029,30.1026487342805,12.8502157282654,-10.156347514109,0.72,6.69144845113162,0.833333333333333,"increasing",5
"virus_comp_17959_cycle_1_11",30.9936843997423,-0.857835881992374,75.6812236144145,19.7784841846463,-15.1411962146599,0.72,9.98267886635281,0.916666666666667,"increasing",2
"virus_comp_17959_cycle_1_10",31.640320259872,-0.930790674657891,78.9048019768023,20.1744068525242,-15.3919861003241,0.72,10.1692873838963,0.916666666666667,"increasing",2
"virus_comp_17813_cycle_1_1",25.0997963420256,-1.24705349094522,52.7901910423416,15.9991228820648,-11.1180890317845,0.72,8.23190040742632,0.75,"increasing",5
"virus_comp_392_cycle_1_1",36.393018905789,-2.14866023423283,114.6514095246,22.8636238980132,-15.8916894360418,0.72,11.6167128875686,0.75,"increasing",2
"virus_comp_17959_cycle_1_12",26.2516028059436,-0.25444403285175,55.2568571089281,17.0517150585623,-13.6838586970868,0.72,8.60514560534261,0.916666666666667,"increasing",5
"virus_comp_7609_cycle_1_2",1.91100131206886,-0.601625846360049,0.435440110008047,1.91138423936278,-1.06781084799925,0,-1.60785436286125,0.916666666666667,"increasing",7
"virus_comp_1727_cycle_1_2",1.03185722033112,-3.67904113531678,7.95799059451226,9.62034922361168,-2.23217376341463,0,-5.86281793212563,0.75,"increasing",7
"virus_comp_152_cycle_1_8",-31.3329452049468,2.17107003880844,84.6983960233242,19.986636687728,13.6639917606762,0,10.1328976819218,0.916666666666667,"decreasing",1
"virus_comp_2265_cycle_1_9",23.5535059315165,4.52871552288714,83.085135263488,21.3737832683623,-13.0660099915154,0.42,11.2906290556022,0.75,"increasing",2
"virus_comp_18178_cycle_1_10",25.6159640225068,-1.32832974322057,55.2631504315364,16.291663997516,-11.3349024864415,0.72,8.36806252834115,0.75,"increasing",5
"virus_comp_593_cycle_1_28",2.64715270436987,-0.801742327472893,0.57101623857569,2.42552028899054,-1.24034209720065,0,-1.87109287197965,0.75,"increasing",7
"edge_1631_4",9.68796420257362,-0.0369601970691522,8.17041858095257,7.17375475735579,-5.11826271907707,0,-3.67104443500172,0.916666666666667,"increasing",7
"virus_comp_2343_cycle_1_7",21.9832686960706,-2.45702627547188,44.1606240722386,14.6410021174387,-8.53448036780937,0.18,-7.35529235360629,0.666666666666667,"biphasic",3
"virus_comp_2269_cycle_1_10",40.8937926902418,-2.70172419259492,141.860811079839,25.5718856775197,-17.4074531135882,0.72,13.0084962946346,0.75,"increasing",2
"virus_comp_593_cycle_1_96",2.23190532496259,-0.938880181237321,0.432798376497819,2.19379781654307,-1.07616751169451,0,-1.92527727749226,0.75,"increasing",7
"virus_comp_391_cycle_1_1",23.9735492094486,-1.28164634629002,48.3304020625139,15.3067914954607,-10.5577125493081,0.72,7.8578364309723,0.75,"increasing",5
"virus_comp_645_cycle_1_8",2.12519072924955,-0.945479235719012,0.399329257396276,2.11390096914369,-1.03299488117585,0,-1.90627603212156,0.75,"increasing",7
"virus_comp_317_cycle_1_4",4.63862279856301,-2.92335259127392,14.1572604867347,11.3759603601931,-4.15968663220166,0,-6.26961961465037,0.833333333333333,"increasing",7
"virus_comp_285_cycle_1_1",6.01641023242154,0.271295622824256,2.91489161707269,4.43395914676646,-3.01300869657655,0.72,2.49825098918304,1,"increasing",11
