"metric","group","change_point","slope_before","slope_after","slope_change"
"richness","CELIAC",-57,6.66666666666665,-0.410842778786327,7.07750944545298
"richness","CONTROL",-33,0.688963085234095,-2.3538397237683,3.04280280900239
"shannon","CELIAC",-57,0.0402736039061954,-0.00925379638380495,0.0495274002900004
"shannon","CONTROL",-57,-0.198999153166233,0.0170400705875717,0.216039223753805
"simpson","CELIAC",-57,0.0203049561611743,-0.00335508308452931,0.0236600392457036
"simpson","CONTROL",-57,-0.0457022486037823,0.00508102751770004,0.0507832761214823
"evenness","CELIAC",-21,-0.00453639434599956,0.00485685235607957,0.00939324670207913
"evenness","CONTROL",-57,-0.0436487512016179,0.00436134265489764,0.0480100938565155
