	family	subfamily	genus	species	sample-1_1093_6313	sample-1_10_102032	sample-1_11_101626	sample-1_12_101623	sample-1_13_99291	sample-1_15_98423	sample-1_16_98401	sample-1_17_96846	sample-1_18_96565	sample-1_1971_3823	sample-1_19_96211	sample-1_1_194036	sample-1_2023_3705	sample-1_2087_3578	sample-1_20_95736	sample-1_21_95604	sample-1_22_93708	sample-1_2370_3154	sample-1_23_92914	sample-1_241_22966	sample-1_2468_3000	sample-1_2475_2996	sample-1_2496_2968	sample-1_24_92306	sample-1_2557_2904	sample-1_273_20403	sample-1_2809_2618	sample-1_2895_2535	sample-1_2_180874	sample-1_309_18290	sample-1_30_80291	sample-1_3125_2250	sample-1_3157_2206	sample-1_3406_1938	sample-1_3423_1921	sample-1_347_16656	sample-1_352_16508	sample-1_3596_1751	sample-1_3635_1721	sample-1_3643_1714	sample-1_3684_1680	sample-1_3983_1483	sample-1_3_171347	sample-1_4061_1441	sample-1_41_65330	sample-1_4226_1355	sample-1_4390_1275	sample-1_4409_1266	sample-1_4411_1265	sample-1_4677_1147	sample-1_4798_1110	sample-1_4954_1063	sample-1_4981_1057	sample-1_4_157545	sample-1_516_11797	sample-1_5191_1012	sample-1_5_155540	sample-1_6_155389	sample-1_7_152939	sample-1_9_104613
ERR589851_NODE_110_length_101537_cov_76.3839	Steigviridae	Asinivirinae	Kahnovirus	Kahnovirus oralis	0.167	0.155	0.094	0.105	0.115	0.549	0.066	0.124	0.092	0.0	0.052	0.079	0.25	0.333	0.067	0.084	0.07	0.667	0.527	0.111	0.5	0.0	0.2	0.015	0.5	0.318	1.0	0.2	0.049	0.12	0.095	0.0	1.0	1.0	0.5	0.65	0.1	0.0	0.5	0.333	1.0	0.0	0.066	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.684	1.0	0.009	0.01	0.01	0.093
ERR589852_NODE_269_length_93435_cov_9.78746	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.765	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
ERR589853_NODE_110_length_92253_cov_12.0089	Crevaviridae	Doltivirinae	Kingevirus	Kingevirus communis	0.167	0.095	0.062	0.038	0.077	0.062	0.057	0.169	0.071	0.0	0.243	0.126	0.25	0.167	0.057	0.065	0.06	0.167	0.066	0.185	0.5	0.0	0.2	0.008	0.5	0.227	0.0	0.0	0.027	0.08	0.162	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.039	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
ERR589856_NODE_160_length_99420_cov_996.622	Suoliviridae	Bearivirinae	Afonbuvirus	Afonbuvirus intestinihominis/faecalis	0.167	0.353	0.328	0.352	0.308	0.053	0.349	0.09	0.327	0.0	0.078	0.066	0.5	0.667	0.352	0.374	0.37	0.167	0.088	0.111	0.5	0.0	0.6	0.023	0.5	0.773	0.0	0.0	0.022	0.28	0.076	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.016	0.015	0.306
ERR589874_NODE_149_length_91639_cov_83.8167	Intestiviridae	Crudevirinae	Dabirmavirus	Dabirmavirus hominis	0.167	0.103	0.062	0.057	0.096	0.053	0.085	0.303	0.071	0.0	0.148	0.268	0.25	0.167	0.105	0.084	0.08	0.167	0.077	0.259	0.5	0.0	0.2	0.015	0.5	0.182	0.0	0.0	0.027	0.08	0.305	0.0	1.0	1.0	0.25	0.05	0.75	0.0	0.5	0.333	1.0	0.0	0.048	1.0	0.011	1.0	1.0	0.5	1.0	1.0	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
ERR843936_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.07	0.048	0.077	0.062	0.057	0.315	0.071	0.0	0.122	0.255	0.25	0.167	0.057	0.075	0.06	0.0	0.055	0.222	0.0	0.0	0.2	0.03	0.0	0.136	0.0	0.2	0.027	0.08	0.295	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
ERR843949_ms_1	Suoliviridae	Boorivirinae	Culoivirus	Culoivirus intestinalis	0.167	0.353	0.258	0.295	0.298	0.071	0.321	0.079	0.306	0.0	0.078	0.066	0.5	0.5	0.324	0.336	0.34	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.88	0.076	0.0	1.0	1.0	0.5	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.022	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.037	0.105	1.0	0.027	0.021	0.03	0.306
ERR843949_ms_3	Intestiviridae	Crudevirinae	Diorhovirus	Diorhovirus copri	0.0	0.103	0.055	0.048	0.087	0.053	0.085	0.337	0.082	0.0	0.13	0.281	0.25	0.167	0.086	0.093	0.08	0.0	0.077	0.259	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.027	0.08	0.333	0.0	1.0	0.0	0.25	0.1	0.75	0.167	0.0	0.333	0.5	0.0	0.039	1.0	0.023	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.074
ERR843983_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.303	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
ERR844006_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus hominis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.292	0.071	0.0	0.122	0.248	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
ERR844016_ms_1	Suoliviridae	Loutivirinae	Blohavirus	Blohavirus americanus	0.167	0.793	0.297	0.571	0.654	0.08	0.368	0.09	0.898	0.0	0.078	0.073	0.5	0.833	0.371	0.364	0.38	0.167	0.11	0.111	0.5	0.0	0.8	0.023	0.5	0.455	0.0	0.4	0.027	0.28	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.048	1.0	0.023	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.023	0.158	1.0	0.023	0.026	0.025	0.778
ERR844018_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.303	0.071	0.0	0.122	0.248	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
ERR844018_ms_3	Intestiviridae	Crudevirinae	Dabirmavirus	Dabirmavirus hominis	0.167	0.103	0.062	0.057	0.087	0.053	0.066	0.326	0.071	0.0	0.139	0.288	0.25	0.167	0.067	0.075	0.07	0.167	0.077	0.296	0.5	0.0	0.2	0.015	0.5	0.182	0.0	0.0	0.031	0.08	0.324	0.0	1.0	1.0	0.25	0.05	0.7	0.0	0.5	0.333	1.0	0.0	0.053	1.0	0.011	1.0	1.0	0.5	1.0	1.0	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
ERR844025_ms_1	Suoliviridae	Boorivirinae	Culoivirus	Culoivirus americanus	0.167	0.353	0.266	0.267	0.298	0.062	0.321	0.079	0.296	0.0	0.078	0.066	0.5	0.667	0.324	0.327	0.34	0.167	0.088	0.111	0.5	0.0	0.8	0.015	0.5	0.364	0.333	0.0	0.031	0.84	0.076	0.0	1.0	1.0	0.5	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.028	0.105	1.0	0.023	0.016	0.025	0.296
ERR844029_ms_3	Steigviridae	Asinivirinae	Kahnovirus	Kahnovirus oralis	0.167	0.147	0.086	0.067	0.096	0.54	0.057	0.124	0.082	0.0	0.052	0.079	0.25	0.167	0.057	0.065	0.06	0.667	0.505	0.111	0.5	0.0	0.2	0.015	0.5	0.318	1.0	0.2	0.049	0.12	0.095	0.0	1.0	1.0	0.25	0.65	0.1	0.0	0.5	0.333	1.0	0.0	0.053	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.005	0.632	1.0	0.005	0.005	0.005	0.065
ERR844030_ms_1	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.258	0.305	0.308	0.062	0.302	0.079	0.337	0.0	0.078	0.066	0.5	0.5	0.305	0.318	0.32	0.167	0.099	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.56	0.076	0.0	1.0	1.0	0.75	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.105	1.0	0.018	0.021	0.02	0.315
ERR844035_ms_1	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.353	0.273	0.324	0.317	0.062	0.302	0.079	0.327	0.0	0.078	0.066	0.5	0.667	0.305	0.327	0.32	0.167	0.11	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.56	0.076	0.0	1.0	1.0	1.0	0.2	0.1	0.0	1.0	0.667	1.0	0.0	0.022	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.021	0.02	0.315
ERR844040_ms_1	Intestiviridae	Crudevirinae	Delmidovirus	Delmidovirus intestinihominis	0.0	0.086	0.055	0.048	0.077	0.044	0.057	0.326	0.061	0.0	0.122	0.265	0.25	0.167	0.067	0.084	0.06	0.0	0.055	0.222	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.027	0.08	0.324	0.0	1.0	0.0	0.25	0.05	0.65	0.167	0.0	0.333	0.5	0.0	0.039	1.0	0.0	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.056
ERR844045_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.07	0.057	0.077	0.062	0.066	0.337	0.082	0.0	0.122	0.255	0.25	0.167	0.067	0.084	0.07	0.0	0.055	0.222	0.0	0.0	0.2	0.03	0.0	0.136	0.0	0.2	0.027	0.08	0.295	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
ERR844047_ms_3	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	0.167	0.379	0.406	0.362	0.49	0.071	0.906	0.079	0.337	0.0	0.07	0.07	0.5	0.667	0.886	0.916	0.89	0.167	0.11	0.111	0.5	0.0	0.6	0.023	0.5	0.409	0.0	0.4	0.022	0.28	0.086	0.0	1.0	1.0	0.75	0.15	0.1	0.0	0.5	1.0	1.0	0.0	0.018	1.0	0.023	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.021	0.015	0.352
ERR844065_ms_1	Steigviridae	Asinivirinae	Kolpuevirus	Kolpuevirus hominis	0.167	0.121	0.086	0.057	0.096	0.912	0.066	0.067	0.092	0.0	0.061	0.053	0.25	0.167	0.067	0.084	0.06	0.667	0.451	0.111	0.5	0.0	0.2	0.015	0.5	0.227	1.0	0.2	0.049	0.12	0.057	0.0	1.0	1.0	0.25	0.9	0.1	0.0	0.5	0.333	1.0	0.0	0.061	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.005	0.842	1.0	0.005	0.005	0.005	0.074
ERR844070_ms_2	Suoliviridae	Oafivirinae	Burzaovirus	Burzaovirus coli	0.167	0.259	0.227	0.238	0.24	0.071	0.236	0.079	0.265	0.0	0.078	0.106	0.75	0.5	0.238	0.252	0.25	0.167	0.088	0.111	0.5	0.0	0.6	0.015	0.5	0.318	0.333	0.4	0.031	0.24	0.105	0.0	1.0	1.0	0.5	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.105	1.0	0.014	0.021	0.015	0.231
ERR844077_ms_2	Suoliviridae	Loutivirinae	Buchavirus	Buchavirus intestinalis	0.167	0.5	0.297	0.876	0.548	0.053	0.33	0.079	0.582	0.0	0.078	0.096	0.5	0.833	0.333	0.355	0.35	0.167	0.088	0.111	0.5	0.0	0.8	0.023	0.5	0.318	0.0	0.4	0.036	0.24	0.105	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.023	0.158	1.0	0.023	0.031	0.025	0.556
F10_NODE_1_length_96892_cov_1695.602518	Suoliviridae	Bearivirinae	Afonbuvirus	Afonbuvirus intestinihominis/faecalis	0.167	0.353	0.312	0.362	0.308	0.053	0.368	0.09	0.327	0.0	0.087	0.066	0.5	0.667	0.371	0.393	0.39	0.167	0.088	0.111	0.5	0.0	0.6	0.023	0.5	0.818	0.0	0.2	0.027	0.28	0.076	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.026	0.02	0.315
F2M.1.NODE_1_length_97876_cov_8.385428	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.292	0.071	0.0	0.122	0.252	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
F2T1.2.NODE_1_length_97120_cov_58.884747	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.315	0.071	0.0	0.122	0.252	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
F3T1.2.NODE_1_length_93869_cov_36.327307	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.292	0.071	0.0	0.122	0.242	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.276	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
F4T2.1.NODE_1_length_94988_cov_32.078160	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.303	0.071	0.0	0.122	0.248	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
F4_NODE_1_length_100650_cov_839.811104	Suoliviridae	Loutivirinae	Buchavirus	Buchavirus intestinalis	0.167	0.5	0.305	0.848	0.548	0.053	0.302	0.067	0.582	0.0	0.078	0.066	0.5	0.833	0.305	0.336	0.32	0.167	0.088	0.111	0.5	0.0	0.8	0.023	0.5	0.318	0.0	0.6	0.036	0.24	0.076	0.0	1.0	1.0	0.75	0.1	0.1	0.0	0.5	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.023	0.158	1.0	0.023	0.031	0.025	0.556
F6_NODE_4_length_91062_cov_72.306460	Crevaviridae	Doltivirinae	Kingevirus	Kingevirus communis	0.167	0.095	0.062	0.038	0.067	0.062	0.047	0.146	0.071	0.0	0.243	0.116	0.25	0.167	0.048	0.065	0.05	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.227	0.0	0.0	0.027	0.08	0.152	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
F7_NODE_3_length_95675_cov_221.603744	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.757	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
Fferm_ms_11	Steigviridae	Asinivirinae	Lebriduvirus	Lebriduvirus gastrointestinalis	0.167	0.103	0.102	0.057	0.096	0.575	0.057	0.101	0.071	0.0	0.052	0.073	0.25	0.167	0.057	0.065	0.06	0.667	0.505	0.111	0.5	0.0	0.2	0.015	0.5	0.227	1.0	0.2	0.058	0.12	0.086	0.0	1.0	1.0	0.25	0.7	0.1	0.0	0.5	0.333	1.0	0.0	0.075	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.632	1.0	0.009	0.005	0.01	0.056
G10_NODE_3_length_100255_cov_4594.188553	Suoliviridae	Uncouvirinae	Birpovirus	Birpovirus hominis	0.167	0.526	0.414	0.371	0.356	0.08	0.585	0.079	0.5	0.0	0.07	0.07	0.5	0.667	0.59	0.57	0.61	0.167	0.099	0.111	0.5	0.0	0.8	0.03	0.5	0.5	0.0	0.2	0.022	0.28	0.076	0.0	1.0	1.0	0.5	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.022	1.0	0.023	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.028	0.105	1.0	0.027	0.031	0.03	0.491
G3_WGS_contig_51_2_length_97737_read_count_6388982	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.362	0.273	0.324	0.327	0.062	0.302	0.079	0.337	0.0	0.07	0.066	0.5	0.667	0.305	0.327	0.32	0.167	0.11	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.56	0.076	0.0	1.0	1.0	1.0	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.022	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.021	0.02	0.324
HvCF_A11_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.303	0.071	0.0	0.122	0.252	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
HvCF_B1_ms_5	Suoliviridae	Oafivirinae	Burzaovirus	Burzaovirus coli	0.167	0.259	0.227	0.238	0.24	0.071	0.236	0.079	0.265	0.0	0.078	0.106	0.75	0.5	0.238	0.252	0.25	0.167	0.088	0.111	0.5	0.0	0.6	0.015	0.5	0.318	0.333	0.4	0.031	0.24	0.105	0.0	1.0	1.0	0.5	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.105	1.0	0.014	0.021	0.015	0.231
HvCF_B1_ms_8	Intestiviridae	Crudevirinae	Dabirmavirus	Dabirmavirus hominis	0.167	0.103	0.062	0.057	0.087	0.053	0.066	0.326	0.071	0.0	0.148	0.281	0.25	0.167	0.067	0.075	0.07	0.167	0.077	0.296	0.5	0.0	0.2	0.015	0.5	0.182	0.0	0.0	0.031	0.08	0.314	0.0	1.0	1.0	0.25	0.05	0.65	0.0	0.5	0.333	1.0	0.0	0.057	1.0	0.011	1.0	1.0	0.5	1.0	1.0	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.065
HvCF_B5_ms_2	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus copri	0.167	0.103	0.07	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.678	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
HvCF_C7_ms_2	Suoliviridae	Oafivirinae	Burzaovirus	Burzaovirus intestinihominis	0.167	0.259	0.227	0.238	0.25	0.071	0.236	0.079	0.265	0.0	0.078	0.106	0.75	0.5	0.238	0.252	0.25	0.167	0.088	0.111	0.5	0.0	0.6	0.015	0.5	0.318	0.333	0.4	0.031	0.24	0.105	0.0	1.0	1.0	0.5	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.105	1.0	0.014	0.021	0.015	0.231
HvCF_D10_ms_2	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.315	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
HvCF_D1_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.07	0.048	0.077	0.062	0.057	0.326	0.071	0.0	0.122	0.262	0.25	0.167	0.057	0.075	0.06	0.0	0.055	0.222	0.0	0.0	0.2	0.03	0.0	0.136	0.0	0.2	0.027	0.08	0.305	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.035	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
HvCF_D5_ms_2	Steigviridae	Asinivirinae	Lebriduvirus	Lebriduvirus gastrointestinalis	0.167	0.147	0.07	0.067	0.087	0.566	0.057	0.09	0.082	0.0	0.061	0.066	0.25	0.167	0.057	0.065	0.06	0.667	0.495	0.111	0.5	0.0	0.2	0.008	0.5	0.318	1.0	0.2	0.071	0.12	0.076	0.0	1.0	1.0	0.25	0.7	0.1	0.0	0.5	0.333	1.0	0.0	0.079	1.0	0.011	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.632	1.0	0.009	0.005	0.01	0.065
HvCF_D5_ms_4	Intestiviridae	Churivirinae	Jahgtovirus	Jahgtovirus gastrointestinalis	0.167	0.086	0.078	0.048	0.087	0.044	0.066	0.685	0.061	0.0	0.13	0.606	0.25	0.167	0.067	0.075	0.07	0.167	0.099	0.926	0.5	0.0	0.2	0.023	0.5	0.182	0.0	0.0	0.018	0.08	0.695	0.0	1.0	1.0	0.25	0.05	0.35	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.011	1.0	1.0	0.5	1.0	1.0	0.0	0.5	1.0	0.005	0.105	1.0	0.005	0.005	0.005	0.056
HvCF_D6_ms_5	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.303	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
HvCF_E10_ms_1	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.303	0.071	0.0	0.122	0.255	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.295	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.035	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
