	family	subfamily	genus	species	sample-1_1093_6313	sample-1_10_102032	sample-1_11_101626	sample-1_12_101623	sample-1_13_99291	sample-1_15_98423	sample-1_16_98401	sample-1_17_96846	sample-1_18_96565	sample-1_1971_3823	sample-1_19_96211	sample-1_1_194036	sample-1_2023_3705	sample-1_2087_3578	sample-1_20_95736	sample-1_21_95604	sample-1_22_93708	sample-1_2370_3154	sample-1_23_92914	sample-1_241_22966	sample-1_2468_3000	sample-1_2475_2996	sample-1_2496_2968	sample-1_24_92306	sample-1_2557_2904	sample-1_273_20403	sample-1_2809_2618	sample-1_2895_2535	sample-1_2_180874	sample-1_309_18290	sample-1_30_80291	sample-1_3125_2250	sample-1_3157_2206	sample-1_3406_1938	sample-1_3423_1921	sample-1_347_16656	sample-1_352_16508	sample-1_3596_1751	sample-1_3635_1721	sample-1_3643_1714	sample-1_3684_1680	sample-1_3983_1483	sample-1_3_171347	sample-1_4061_1441	sample-1_41_65330	sample-1_4226_1355	sample-1_4390_1275	sample-1_4409_1266	sample-1_4411_1265	sample-1_4677_1147	sample-1_4798_1110	sample-1_4954_1063	sample-1_4981_1057	sample-1_4_157545	sample-1_516_11797	sample-1_5191_1012	sample-1_5_155540	sample-1_6_155389	sample-1_7_152939	sample-1_9_104613
3300007105_____Ga0102630_100105	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.791	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
3300007210_____Ga0103359_100138	Suoliviridae	Boorivirinae	Canhaevirus	Canhaevirus hiberniae	0.167	0.328	0.281	0.305	0.298	0.071	0.283	0.09	0.296	0.0	0.061	0.07	0.5	0.833	0.286	0.308	0.3	0.167	0.132	0.111	0.5	0.0	0.8	0.023	0.5	0.364	0.333	0.2	0.022	0.56	0.086	0.0	1.0	1.0	1.0	0.2	0.1	0.0	0.5	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.023	0.158	1.0	0.023	0.021	0.02	0.278
3300007222_____Ga0104061_100253	Intestiviridae	Crudevirinae	Endlipuvirus	Endlipuvirus intestinihominis	0.0	0.103	0.055	0.057	0.087	0.071	0.085	0.281	0.082	0.0	0.122	0.255	0.25	0.167	0.086	0.093	0.08	0.0	0.055	0.222	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.031	0.08	0.295	0.0	1.0	0.0	0.25	0.15	0.95	0.167	0.0	0.333	0.5	0.0	0.039	1.0	0.034	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.074
3300007296_____Ga0104830_100137	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.053	0.066	0.135	0.071	0.0	0.748	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.027	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.031	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
3300007298_____Ga0104838_100088	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.292	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
3300007298_____Ga0104838_100096	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.73	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
3300007312_____Ga0104941_100072	Suoliviridae	Uncouvirinae	Birpovirus	Birpovirus hominis	0.167	0.586	0.438	0.381	0.404	0.088	0.594	0.101	0.551	0.0	0.07	0.076	0.5	0.667	0.6	0.589	0.62	0.167	0.121	0.111	0.5	0.0	0.8	0.038	0.5	0.455	0.0	0.4	0.022	0.28	0.086	0.0	1.0	1.0	0.5	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.022	1.0	0.023	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.028	0.105	1.0	0.027	0.031	0.03	0.574
3300007362_____Ga0104788_100129	Intestiviridae	Crudevirinae	Delmidovirus	Delmidovirus intestinihominis	0.0	0.086	0.055	0.048	0.096	0.044	0.066	0.303	0.061	0.0	0.122	0.258	0.25	0.167	0.076	0.093	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.027	0.08	0.305	0.0	1.0	0.0	0.25	0.05	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.0	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.056
3300007524_____Ga0105481_1000141	Intestiviridae	Crudevirinae	Delmidovirus	Delmidovirus intestinihominis	0.0	0.086	0.055	0.048	0.087	0.044	0.057	0.315	0.061	0.0	0.122	0.262	0.25	0.167	0.067	0.084	0.06	0.0	0.044	0.222	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.027	0.08	0.314	0.0	1.0	0.0	0.25	0.05	0.65	0.167	0.0	0.333	0.5	0.0	0.035	1.0	0.0	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.056
3300007705_____Ga0105636_100113	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.103	0.055	0.057	0.067	0.053	0.066	0.303	0.082	0.0	0.122	0.248	0.25	0.167	0.067	0.084	0.07	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.286	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.009	0.053	1.0	0.009	0.021	0.01	0.083
3300007714_____Ga0105661_1000061	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	0.167	0.405	0.422	0.352	0.51	0.071	0.887	0.09	0.378	0.0	0.07	0.076	0.5	0.667	0.848	0.888	0.89	0.167	0.121	0.111	0.5	0.0	0.6	0.023	0.5	0.409	0.0	0.4	0.027	0.28	0.086	0.0	1.0	1.0	0.75	0.15	0.1	0.0	0.5	1.0	1.0	0.0	0.018	1.0	0.023	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.021	0.015	0.38
3300007714_____Ga0105661_1000069	Intestiviridae	Crudevirinae	Carjivirus	Carjivirus communis	0.0	0.095	0.055	0.048	0.067	0.053	0.057	0.303	0.071	0.0	0.122	0.248	0.25	0.167	0.057	0.075	0.06	0.0	0.033	0.222	0.0	0.0	0.2	0.023	0.0	0.136	0.0	0.2	0.027	0.08	0.295	0.0	1.0	0.0	0.25	0.1	0.65	0.167	0.0	0.333	0.5	0.0	0.031	1.0	0.011	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.005	0.053	1.0	0.005	0.016	0.005	0.065
3300007796_____Ga0105889_100147	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.739	0.116	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.152	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.039	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
3300007806_____Ga0105890_100137	Intestiviridae	Crudevirinae	Endlipuvirus	Endlipuvirus intestinihominis	0.0	0.103	0.055	0.057	0.087	0.071	0.085	0.303	0.082	0.0	0.139	0.262	0.25	0.167	0.086	0.093	0.08	0.0	0.077	0.222	0.0	0.0	0.2	0.015	0.0	0.136	0.0	0.2	0.031	0.08	0.305	0.0	1.0	0.0	0.25	0.15	0.95	0.167	0.0	0.333	0.5	0.0	0.048	1.0	0.034	1.0	0.0	0.5	1.0	1.0	0.0	0.5	0.0	0.0	0.053	1.0	0.0	0.01	0.0	0.074
3300007853_____Ga0114093_100213	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus copri	0.167	0.103	0.062	0.057	0.077	0.053	0.066	0.135	0.071	0.0	0.67	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.027	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.031	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
3300007921_____Ga0111562_100099	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.73	0.113	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
3300007991_____Ga0105643_100224	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	0.167	0.405	0.43	0.362	0.519	0.071	0.849	0.09	0.357	0.0	0.07	0.076	0.5	0.667	0.867	0.86	0.86	0.167	0.121	0.111	0.5	0.0	0.6	0.023	0.5	0.364	0.0	0.4	0.022	0.28	0.086	0.0	1.0	1.0	0.75	0.2	0.1	0.0	0.5	1.0	1.0	0.0	0.018	1.0	0.045	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.158	1.0	0.014	0.021	0.015	0.398
3300008101_____Ga0114024_100210	Suoliviridae	Boorivirinae	Canhaevirus	Canhaevirus hiberniae	0.167	0.328	0.273	0.314	0.288	0.062	0.283	0.067	0.296	0.0	0.07	0.063	0.5	0.833	0.286	0.308	0.3	0.167	0.11	0.111	0.5	0.0	0.8	0.015	0.5	0.364	0.333	0.2	0.022	0.56	0.076	0.0	1.0	1.0	1.0	0.15	0.1	0.0	0.5	0.667	1.0	0.0	0.018	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.023	0.158	1.0	0.023	0.021	0.02	0.278
3300008103_____Ga0114180_100162	Suoliviridae	Oafivirinae	Burzaovirus	Burzaovirus intestinihominis	0.167	0.259	0.227	0.238	0.25	0.071	0.236	0.079	0.265	0.0	0.078	0.106	0.75	0.5	0.238	0.252	0.25	0.167	0.088	0.111	0.5	0.0	0.6	0.015	0.5	0.318	0.333	0.4	0.031	0.24	0.105	0.0	1.0	1.0	0.5	0.15	0.1	0.0	1.0	0.667	1.0	0.0	0.026	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.014	0.105	1.0	0.014	0.021	0.015	0.231
3300008103_____Ga0114180_100183	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	0.167	0.353	0.273	0.333	0.317	0.062	0.292	0.079	0.327	0.0	0.07	0.066	0.5	0.667	0.295	0.318	0.31	0.167	0.11	0.111	0.5	0.0	0.6	0.015	0.5	0.364	0.333	0.2	0.031	0.6	0.076	0.0	1.0	1.0	1.0	0.2	0.1	0.0	1.0	0.667	1.0	0.0	0.022	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.019	0.158	1.0	0.018	0.021	0.02	0.315
3300008132_____Ga0111230_1000069	Crevaviridae	Coarsevirinae	Junduvirus	Junduvirus communis	0.167	0.103	0.062	0.057	0.077	0.062	0.066	0.135	0.071	0.0	0.739	0.109	0.25	0.167	0.067	0.084	0.07	0.167	0.044	0.185	0.5	0.0	0.2	0.008	0.5	0.182	0.0	0.2	0.031	0.08	0.143	0.0	1.0	1.0	0.25	0.05	0.1	0.0	0.5	0.333	1.0	0.0	0.035	1.0	0.0	1.0	1.0	0.5	1.0	0.5	0.0	0.5	1.0	0.009	0.105	1.0	0.009	0.016	0.01	0.065
