"","orf","total_PA"
"1","virus_comp_2813_cycle_1_6",181
"2","virus_comp_18378_cycle_1_1",96
"3","virus_comp_2455_cycle_1_11",82
"4","virus_comp_14463_cycle_1_1",48
"5","virus_comp_5117_cycle_1_1",48
"6","virus_comp_16559_cycle_1_3",47
"7","virus_comp_8074_cycle_1_1",47
"8","virus_comp_5117_cycle_1_4",46
"9","virus_comp_103_cycle_1_4",45
"10","virus_comp_15228_cycle_1_1",45
"11","virus_comp_7129_cycle_1_3",45
"12","virus_comp_4028_cycle_1_2",44
"13","virus_comp_5552_cycle_1_3",44
"14","virus_comp_8200_cycle_1_1",44
"15","virus_comp_16559_cycle_1_1",43
"16","virus_comp_16559_cycle_1_2",43
"17","virus_comp_4028_cycle_1_1",43
"18","virus_comp_7129_cycle_1_1",43
"19","virus_comp_2265_cycle_1_3",42
"20","virus_comp_2552_cycle_1_1",41
"21","virus_comp_5117_cycle_1_2",40
"22","virus_comp_103_cycle_1_3",39
"23","virus_comp_36_cycle_2_16",39
"24","virus_comp_36_cycle_2_17",39
"25","virus_comp_99_cycle_1_1",39
"26","virus_comp_36_cycle_2_10",38
"27","virus_comp_36_cycle_2_20",38
"28","virus_comp_5117_cycle_1_3",38
"29","virus_comp_17783_cycle_1_5",37
"30","virus_comp_36_cycle_2_19",37
"31","virus_comp_36_cycle_2_3",37
"32","virus_comp_8200_cycle_1_2",37
"33","virus_comp_104_cycle_1_1",36
"34","virus_comp_36_cycle_2_9",36
"35","virus_comp_12_cycle_1_13",35
"36","virus_comp_15228_cycle_1_2",35
"37","virus_comp_2265_cycle_1_11",35
"38","virus_comp_36_cycle_2_18",35
"39","virus_comp_36_cycle_2_6",35
"40","virus_comp_6408_cycle_1_1",35
"41","virus_comp_2254_cycle_1_3",34
"42","virus_comp_2334_cycle_1_9",33
"43","virus_comp_2551_cycle_1_1",33
"44","virus_comp_36_cycle_2_8",33
"45","virus_comp_2223_cycle_1_8",32
"46","virus_comp_36_cycle_2_106",32
"47","virus_comp_36_cycle_2_2",32
"48","virus_comp_36_cycle_2_12",31
"49","virus_comp_36_cycle_2_14",31
"50","virus_comp_36_cycle_2_7",31
"51","virus_comp_36_cycle_2_94",31
"52","virus_comp_2223_cycle_1_7",30
"53","virus_comp_2332_cycle_1_4",30
"54","virus_comp_2334_cycle_1_10",30
"55","virus_comp_2506_cycle_1_4",30
"56","virus_comp_36_cycle_2_11",30
"57","virus_comp_36_cycle_2_15",30
"58","virus_comp_36_cycle_2_96",30
"59","virus_comp_2375_cycle_1_11",29
"60","virus_comp_36_cycle_2_95",29
"61","virus_comp_18003_cycle_1_1",28
"62","virus_comp_36_cycle_2_76",28
"63","virus_comp_36_cycle_2_86",28
"64","virus_comp_99_cycle_1_2",28
"65","virus_comp_1044_cycle_1_5",27
"66","virus_comp_12_cycle_1_8",27
"67","virus_comp_2239_cycle_1_4",27
"68","virus_comp_2265_cycle_1_1",27
"69","virus_comp_36_cycle_2_100",27
"70","virus_comp_36_cycle_2_4",27
"71","virus_comp_36_cycle_2_5",27
"72","virus_comp_1044_cycle_1_1",26
"73","virus_comp_2171_cycle_1_5",26
"74","virus_comp_36_cycle_2_67",26
"75","virus_comp_36_cycle_2_97",26
"76","edge_4_51",26
"77","edge_4_58",26
"78","virus_comp_1044_cycle_1_2",25
"79","virus_comp_1044_cycle_1_6",25
"80","virus_comp_12_cycle_1_7",25
"81","virus_comp_13180_cycle_1_1",25
"82","virus_comp_2176_cycle_1_12",25
"83","virus_comp_2283_cycle_1_11",25
"84","virus_comp_2334_cycle_1_8",25
"85","virus_comp_36_cycle_2_52",25
"86","virus_comp_36_cycle_2_92",25
"87","virus_comp_42_cycle_1_1",25
"88","virus_comp_42_cycle_1_4",25
"89","virus_comp_5098_cycle_1_1",25
"90","virus_comp_6161_cycle_1_4",25
"91","virus_comp_6408_cycle_1_4",25
"92","virus_comp_1045_cycle_1_4",24
"93","virus_comp_2239_cycle_1_2",24
"94","virus_comp_2239_cycle_1_3",24
"95","virus_comp_2273_cycle_1_5",24
"96","virus_comp_36_cycle_2_13",24
"97","virus_comp_36_cycle_2_53",24
"98","virus_comp_36_cycle_2_61",24
"99","virus_comp_36_cycle_2_93",24
"100","edge_4_46",24
"101","virus_comp_1045_cycle_1_2",23
"102","virus_comp_1102_cycle_1_1",23
"103","virus_comp_12_cycle_1_14",23
"104","virus_comp_17937_cycle_1_1",23
"105","virus_comp_18153_cycle_1_1",23
"106","virus_comp_2375_cycle_1_10",23
"107","virus_comp_36_cycle_2_54",23
"108","virus_comp_36_cycle_2_69",23
"109","virus_comp_36_cycle_2_75",23
"110","virus_comp_36_cycle_2_83",23
"111","virus_comp_36_cycle_2_87",23
"112","virus_comp_36_cycle_2_99",23
"113","virus_comp_104_cycle_1_3",22
"114","virus_comp_1044_cycle_1_3",22
"115","virus_comp_1044_cycle_1_4",22
"116","virus_comp_15228_cycle_1_3",22
"117","virus_comp_17783_cycle_1_1",22
"118","virus_comp_17783_cycle_1_6",22
"119","virus_comp_2273_cycle_1_10",22
"120","virus_comp_2283_cycle_1_10",22
"121","virus_comp_2332_cycle_1_2",22
"122","virus_comp_2590_cycle_1_6",22
"123","virus_comp_2591_cycle_1_1",22
"124","virus_comp_2591_cycle_1_7",22
"125","virus_comp_2650_cycle_1_9",22
"126","virus_comp_36_cycle_2_48",22
"127","virus_comp_36_cycle_2_63",22
"128","virus_comp_42_cycle_1_2",22
"129","virus_comp_42_cycle_1_3",22
"130","edge_2658_5",22
"131","edge_2658_6",22
"132","virus_comp_103_cycle_1_1",21
"133","virus_comp_17776_cycle_1_4",21
"134","virus_comp_17937_cycle_1_2",21
"135","virus_comp_18153_cycle_1_2",21
"136","virus_comp_2375_cycle_1_12",21
"137","virus_comp_2387_cycle_1_1",21
"138","virus_comp_2551_cycle_1_3",21
"139","virus_comp_2554_cycle_1_1",21
"140","virus_comp_2590_cycle_1_9",21
"141","virus_comp_36_cycle_2_101",21
"142","virus_comp_36_cycle_2_39",21
"143","virus_comp_36_cycle_2_40",21
"144","virus_comp_36_cycle_2_50",21
"145","virus_comp_36_cycle_2_62",21
"146","virus_comp_36_cycle_2_77",21
"147","virus_comp_36_cycle_2_88",21
"148","virus_comp_36_cycle_2_98",21
"149","virus_comp_54_cycle_1_2",21
"150","virus_comp_5552_cycle_1_1",21
"151","edge_2658_4",21
"152","edge_329_26",21
"153","edge_4_54",21
"154","virus_comp_14666_cycle_1_1",20
"155","virus_comp_17776_cycle_1_1",20
"156","virus_comp_17776_cycle_1_2",20
"157","virus_comp_17776_cycle_1_3",20
"158","virus_comp_17776_cycle_1_5",20
"159","virus_comp_18116_cycle_1_3",20
"160","virus_comp_2223_cycle_1_6",20
"161","virus_comp_2254_cycle_1_2",20
"162","virus_comp_2590_cycle_1_1",20
"163","virus_comp_3264_cycle_1_8",20
"164","virus_comp_36_cycle_2_55",20
"165","virus_comp_36_cycle_2_66",20
"166","virus_comp_36_cycle_2_78",20
"167","virus_comp_36_cycle_2_84",20
"168","virus_comp_36_cycle_2_90",20
"169","virus_comp_36_cycle_2_91",20
"170","virus_comp_4094_cycle_1_4",20
"171","virus_comp_54_cycle_1_1",20
"172","virus_comp_5420_cycle_1_2",20
"173","virus_comp_7998_cycle_1_4",20
"174","edge_1476_23",20
"175","edge_2658_2",20
"176","edge_4_37",20
"177","edge_4_52",20
"178","edge_4_53",20
"179","edge_4_60",20
"180","virus_comp_1045_cycle_1_7",19
"181","virus_comp_17783_cycle_1_3",19
"182","virus_comp_18116_cycle_1_4",19
"183","virus_comp_2375_cycle_1_4",19
"184","virus_comp_2527_cycle_1_12",19
"185","virus_comp_2552_cycle_1_3",19
"186","virus_comp_2591_cycle_1_2",19
"187","virus_comp_2640_cycle_1_5",19
"188","virus_comp_2640_cycle_1_6",19
"189","virus_comp_2650_cycle_1_8",19
"190","virus_comp_34_cycle_1_5",19
"191","virus_comp_36_cycle_2_21",19
"192","virus_comp_36_cycle_2_35",19
"193","virus_comp_36_cycle_2_58",19
"194","virus_comp_36_cycle_2_70",19
"195","virus_comp_3620_cycle_1_2",19
"196","virus_comp_733_cycle_1_28",19
"197","virus_comp_95_cycle_1_1",19
"198","edge_2654_3",19
"199","edge_329_25",19
"200","edge_3739_12",19
"201","edge_4_40",19
"202","edge_4_41",19
"203","edge_4_49",19
"204","edge_4_50",19
"205","virus_comp_12_cycle_1_10",18
"206","virus_comp_18153_cycle_1_11",18
"207","virus_comp_2176_cycle_1_10",18
"208","virus_comp_2269_cycle_1_5",18
"209","virus_comp_2345_cycle_1_7",18
"210","virus_comp_2590_cycle_1_2",18
"211","virus_comp_2591_cycle_1_6",18
"212","virus_comp_36_cycle_2_33",18
"213","virus_comp_36_cycle_2_64",18
"214","virus_comp_36_cycle_2_68",18
"215","virus_comp_36_cycle_2_74",18
"216","virus_comp_36_cycle_2_79",18
"217","virus_comp_36_cycle_2_85",18
"218","virus_comp_490_cycle_1_6",18
"219","virus_comp_733_cycle_1_31",18
"220","virus_comp_9222_cycle_1_1",18
"221","edge_2044_9",18
"222","edge_2658_3",18
"223","edge_329_22",18
"224","edge_3739_9",18
"225","edge_4_48",18
"226","edge_4_61",18
"227","edge_4_63",18
"228","virus_comp_12_cycle_1_11",17
"229","virus_comp_12035_cycle_1_2",17
"230","virus_comp_12691_cycle_1_3",17
"231","virus_comp_17783_cycle_1_2",17
"232","virus_comp_2171_cycle_1_4",17
"233","virus_comp_2191_cycle_1_9",17
"234","virus_comp_2223_cycle_1_5",17
"235","virus_comp_2263_cycle_1_6",17
"236","virus_comp_2265_cycle_1_2",17
"237","virus_comp_2266_cycle_1_8",17
"238","virus_comp_2365_cycle_1_4",17
"239","virus_comp_34_cycle_1_8",17
"240","virus_comp_34_cycle_1_9",17
"241","virus_comp_36_cycle_2_107",17
"242","virus_comp_36_cycle_2_37",17
"243","virus_comp_36_cycle_2_41",17
"244","virus_comp_36_cycle_2_51",17
"245","virus_comp_36_cycle_2_80",17
"246","virus_comp_36_cycle_2_82",17
"247","virus_comp_36_cycle_2_89",17
"248","virus_comp_4826_cycle_1_4",17
"249","virus_comp_5552_cycle_1_2",17
"250","virus_comp_5629_cycle_1_2",17
"251","virus_comp_5629_cycle_1_3",17
"252","virus_comp_733_cycle_1_41",17
"253","virus_comp_7421_cycle_1_1",17
"254","edge_1476_20",17
"255","edge_2658_1",17
"256","edge_329_17",17
"257","edge_3739_6",17
"258","edge_4_27",17
"259","edge_4_36",17
"260","edge_4_47",17
"261","edge_4_55",17
