"contig_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_187","edge_187","t0-6",-85.6873643176904,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_187","edge_187","t0-12",69.9725669764973,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_187","edge_187","t0-18",70.8949698751125,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_187","edge_187","t0-24",-35.3456739976152,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_187","edge_187","t0-30",-72.5344264048889,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_187","edge_187","t0-36",-89.472974531253,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_187","edge_187","t0-over42",-2.72635075645524,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-6",-56.4424485593015,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-12",119.462376912372,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-18",-15.1343445101083,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-24",-90.2033862999432,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-30",-24.4682121505811,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-36",-98.6295414461503,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1980","edge_1980","t0-over42",-101.09809194099,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-6",-30.6334212021382,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-12",59.19264653641,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-18",114.621955760315,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-24",-19.8801414137137,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-30",-35.8809430928669,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-36",-63.3947847359123,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_209","edge_209","t0-over42",22.9191919404268,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_2658","edge_2658","t0-6",-8.8186797082294,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_2658","edge_2658","t0-12",79.4600866969034,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_2658","edge_2658","t0-18",-9.63161507858455,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_2658","edge_2658","t0-24",-42.7363234243288,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_2658","edge_2658","t0-30",28.4075459921489,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_2658","edge_2658","t0-36",-42.5970849396788,NA,NA,NA,NA,"abundance_nbinom",NA,7
