"contig_id","contrast","onset_timeline_combined","estimate","SE","df","z.ratio","p.value","odds_ratio","conf.low.OR","conf.high.OR","p.adj"
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-36",2.52712410145479,4.20441843117443,Inf,0.601063890957419,0.547797432601034,12.5174553906239,NA,NA,0.993851253830438
"virus_comp_12691_cycle_1","CELIAC - CONTROL","t0-over42",-2.62509844470232,4.97025503989579,Inf,-0.528161718791267,0.597387096676554,0.0724326260749427,NA,NA,0.817799639760223
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0",-0.528876968850463,3.51955180954345,Inf,-0.150268272061342,0.880552963954074,0.589266362707051,NA,NA,0.912567719445071
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-6",28.3367126118231,6518.06862736771,Inf,0.00434740936799045,0.996531280112243,2025246650575.57,NA,NA,0.999741286164189
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-12",9.67513355494244,8.02796130594351,Inf,1.20517939564301,0.228134054764822,15916.8496728036,NA,NA,0.456268109529644
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-18",1.82210642563538,5.01828604133756,Inf,0.363093377026734,0.716535131878523,6.18487271271669,NA,NA,0.999741175255752
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-24",-10.9586750937899,5.89316556664623,Inf,-1.85955662875198,0.0629482803448036,1.74063566492354e-05,NA,NA,0.314741401724018
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-30",-10.7746280545465,5.84016954481209,Inf,-1.84491699630839,0.065049613860766,2.09237003267229e-05,NA,NA,0.216832046202554
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-36",-12.9109892325562,5.89838952748833,Inf,-2.18890074526054,0.0286040549049802,2.47074895520384e-06,NA,NA,0.286040549049802
"virus_comp_13180_cycle_1","CELIAC - CONTROL","t0-over42",22.2996242046594,1384.68512880592,Inf,0.0161044729525546,0.987151045078438,4837308000.32535,NA,NA,0.999742122283943
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0",-4.32499053971781,NA,Inf,NA,NA,0.0132336752902514,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-6",-0.107891734679773,NA,Inf,NA,NA,0.897724783630513,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-12",-50.4176462425816,NA,Inf,NA,NA,1.27026533429099e-22,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-18",-19.1267185816004,NA,Inf,NA,NA,4.93596035787419e-09,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-24",11.3726397712317,NA,Inf,NA,NA,86910.990066997,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-30",-28.4425881544783,NA,Inf,NA,NA,4.44161502397739e-13,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-36",7.88607073774797,NA,Inf,NA,NA,2659.97163383737,NA,NA,NA
"virus_comp_138_cycle_1","CELIAC - CONTROL","t0-over42",72.6097498404318,NA,Inf,NA,NA,3.41990221177122e+31,NA,NA,NA
"virus_comp_14463_cycle_1","CELIAC - CONTROL","t0",-32.2346181526942,NA,Inf,NA,NA,1.00157438727083e-14,NA,NA,NA
