"contig_id","contrast","onset_timeline_combined","estimate","SE","df","z.ratio","p.value","odds_ratio","conf.low.OR","conf.high.OR","p.adj"
"edge_48666","CELIAC - CONTROL","t0-30",25.299628668484,NA,Inf,NA,NA,97160362155.207,NA,NA,NA
"edge_48666","CELIAC - CONTROL","t0-36",-35.8054653680172,NA,Inf,NA,NA,2.81763003895362e-16,NA,NA,NA
"edge_48666","CELIAC - CONTROL","t0-over42",20.4921910264472,NA,Inf,NA,NA,793680088.210597,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0",3.82536821825051,NA,Inf,NA,NA,45.8496799473944,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-6",-16.8440005443442,NA,Inf,NA,NA,4.83886505086713e-08,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-12",-3.07023184371431,NA,Inf,NA,NA,0.0464103936519738,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-18",-10.8301360202335,NA,Inf,NA,NA,1.97939144160008e-05,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-24",-3.29468330842484,NA,Inf,NA,NA,0.037079786043813,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-30",-2.10551325216379,NA,Inf,NA,NA,0.121783152759136,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-36",-7.87862574099302,NA,Inf,NA,NA,0.000378753204294485,NA,NA,NA
"edge_48806","CELIAC - CONTROL","t0-over42",-30.8546898112189,NA,Inf,NA,NA,3.98087438821296e-14,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0",26.6193580585752,NA,Inf,NA,NA,363613765911.325,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-6",-88.5407418305541,NA,Inf,NA,NA,3.52569223678334e-39,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-12",-21.238029864939,NA,Inf,NA,NA,5.97641604669566e-10,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-18",-59.198764568458,NA,Inf,NA,NA,1.95120640281009e-26,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-24",-10.8848217595988,NA,Inf,NA,NA,1.87405345015669e-05,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-30",-44.4895605841491,NA,Inf,NA,NA,4.76902211111788e-20,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-36",-52.9402876686297,NA,Inf,NA,NA,1.01935438420557e-23,NA,NA,NA
"edge_61","CELIAC - CONTROL","t0-over42",-47.920828857323,NA,Inf,NA,NA,1.54258270914622e-21,NA,NA,NA
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0",0.546021666380021,2.98233220066843,Inf,0.183085461189616,0.854730963248673,1.72637125716102,NA,NA,0.912567719445071
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-6",0.792153001521637,4.87735441998166,Inf,0.162414484023619,0.870979465668053,2.20814545261044,NA,NA,0.999741286164189
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-12",8.3588895606044,3.11418952662084,Inf,2.68413000851445,0.00727188224049302,4267.95283110465,NA,NA,0.0363594112024651
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-18",7.2164978902457,4.43470511858757,Inf,1.6272779581214,0.103678077075473,1361.71183610467,NA,NA,0.345593590251575
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-24",3.92852165563527,3.55655922746625,Inf,1.10458491040905,0.269339492493348,50.8317752268885,NA,NA,0.663754008703197
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-30",4.85043100860548,3.97334586293598,Inf,1.22074220969564,0.22218364072954,127.79545892009,NA,NA,0.352795490045377
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-36",28.6025960272171,1477.40008544961,Inf,0.0193600882448254,0.98455384940275,2642102261086.78,NA,NA,0.993851253830438
"virus_comp_103_cycle_1","CELIAC - CONTROL","t0-over42",7.61117310777094,4.18357977213451,Inf,1.8192967559664,0.0688661680534599,2020.64714473922,NA,NA,0.507244455562958
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0",-48.8444610886419,NA,Inf,NA,NA,6.1251972330532e-22,NA,NA,NA
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-6",-60.1820750747286,NA,Inf,NA,NA,7.2988911263085e-27,NA,NA,NA
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-12",67.386817219283,NA,Inf,NA,NA,1.84383846773589e+29,NA,NA,NA
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-18",-66.1026809285447,NA,Inf,NA,NA,1.95871132211022e-29,NA,NA,NA
"virus_comp_1044_cycle_1","CELIAC - CONTROL","t0-24",-7.02951797517631,NA,Inf,NA,NA,0.000885358442503887,NA,NA,NA
