query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage
contig_4647	4239	KP862744	Mamastrovirus 1 isolate kor85, complete genome	6776	0.0	4046	4225	95.76	99.67
contig_4647	4239	MH933753	Human astrovirus isolate CMRHP3 nonstructural protein and capsid protein genes, complete cds	6790	0.0	4034	4242	95.1	100.07
contig_4647	4239	MH933757	Human astrovirus isolate CMRHP35D nonstructural protein and capsid protein genes, complete cds	6782	0.0	4033	4241	95.1	100.05
contig_4647	4239	MH933752	Human astrovirus isolate CMRHP2 nonstructural protein and capsid protein genes, complete cds	6739	0.0	4007	4211	95.16	99.34
contig_49047	5827	ON807352	Mamastrovirus 1 isolate G22-010 putative serine protease gene, partial cds; putative RNA-dependent RNA polymerase gene, complete cds; and capsid precursor protein gene, partial cds	6448	0.0	5507	5575	98.78	95.68
contig_49047	5827	KF039911	Human astrovirus 2 isolate Rus-Nsc06-1029, complete genome	6778	0.0	5622	5827	96.48	100.0
contig_49047	5827	KC285152	Mamastrovirus 1 isolate HAstV-2/RUS/Novosibirsk/Nsc11-N2411/2011, complete genome	6773	0.0	5604	5826	96.19	99.98
contig_49047	5827	MW485042	Human astrovirus 2 strain KLF/HAstV2/005/2019, complete genome	6727	0.0	5337	5780	92.34	99.19
contig_49047	5827	MK059950	Human astrovirus 2 strain Oxford, complete genome	6800	0.0	5079	5835	87.04	100.14
contig_49065	5962	MT432184	Astrovirus VA1 isolate ITA/2018/205.18-5, complete genome	6586	0.0	5838	5921	98.6	99.31
contig_49065	5962	KM358468	Human astrovirus UK1, complete genome	6586	0.0	5824	5921	98.36	99.31
contig_49065	5962	KJ920197	Astrovirus VA1/HMO-C isolate HMO-CLondon2, partial genome	6566	0.0	5821	5927	98.21	99.41
contig_49065	5962	KJ920196	Astrovirus VA1/HMO-C isolate HMO-CLondon1, partial genome	6563	0.0	5821	5927	98.21	99.41
contig_49065	5962	OP594725	Human astrovirus strain MLB2, complete genome	6554	0.0	5770	5917	97.52	99.25
contig_8153	2544	KF039910	Human astrovirus 2 isolate Rus-Nsc05-430, complete genome	6792	0.0	2443	2541	96.14	99.88
contig_8153	2544	PQ510853	Human astrovirus 2 isolate 24T2-6, complete genome	6793	0.0	2405	2541	94.65	99.88
contig_8153	2544	AB000289	Human astrovirus 1 gene for outer capsid protein, complete cds, isolate: OxfordAS 8811	2401	0.0	2198	2419	90.86	95.09
contig_8153	2544	L13745	Human astrovirus serotype 2, complete sequence of genomic RNA	6828	0.0	2163	2552	84.76	100.31
contig_8153	2544	MK059950	Human astrovirus 2 strain Oxford, complete genome	6800	0.0	2165	2555	84.74	100.43
