"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10",3.80960117523034,-1.10696704938826,0.304056249747864,-3.64066533842407,0.00027193441345927,0.00848435369992923
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",6.74451963226804,-1.84288875200994,0.351611712748422,-5.24126098532027,1.59482958529447e-07,1.24396707652968e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;Adeno-associated virus",1.35268475746191,0.883919084964926,0.204911660498908,4.31365927547903,1.60574358988419e-05,0.00083498666673978
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;unclassified Dependoparvovirus species",1.19314394478925,0.639427080572328,0.200513420067472,3.18894905067782,0.00142791042060992,0.0267645015745329
"Viruses;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Lymphocryptovirus;Human gammaherpesvirus 4",8.17439172206707,-2.05669524541163,0.35615443833264,-5.77472866838381,7.70771887442286e-09,1.20240414440997e-06
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Picobirnavirus sp.",7.86436193318244,-1.12956161073105,0.337539204307567,-3.34646048908081,0.000818503433745343,0.0212810892773789
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Human astrovirus MLB2",1.92378203845744,0.764573705780656,0.241475033744361,3.16626399808303,0.0015441058600692,0.0267645015745329
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus B",2.53050808422115,-0.920444782820445,0.29510913491366,-3.1189979364405,0.00181467232211731,0.0283088882250301
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;unclassified Alphatorquevirus species",4.38165733614055,0.900843843538589,0.278143729159634,3.23877099893765,0.00120045916575525,0.0267530899796885
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",4.21910429626507,1.1721710936982,0.294372624516268,3.98192969072577,6.83580033339734e-05,0.00266596213002496
