"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",520524821.392793,0,Inf,0.998758777246904,"Dx Status: Case"
"2","Country: USA",0.377337574332108,0.0256876740107996,5.54287807229952,0.477162241770408,"Country: USA"
"3","Sex:Male",8.59536941985647e-17,0,Inf,0.999996311426735,"Sex:Male"
"4","Delivery Mode: Vaginal",584764435.693771,0,Inf,0.999021418615997,"Delivery Mode: Vaginal"
"5","month18",456632156.276191,0,Inf,0.999226909753908,"month18"
"6","month24",1.32425763073733e-10,0,Inf,0.999998100186941,"month24"
"7","month30",2.6289134821683e-06,0,Inf,0.999998886713124,"month30"
"8","month36",1495863564.8932,0,Inf,0.999180903642679,"month36"
"9","month48",1.35285904447532e-11,0,Inf,0.999998277935155,"month48"
"10","month60",0.000482153321438557,0,Inf,0.999996709324714,"month60"
"11","month72",4.81377367800634e-06,0,Inf,0.999999633505861,"month72"
"12","month84",0.0021969276270435,0,Inf,0.999996760641053,"month84"
"13","month54",7676011152.50637,0,Inf,0.999999622614792,"month54"
