"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",3567882617.15848,0,Inf,0.999535441301537,"Dx Status: Case"
"2","Country: USA",0,0,Inf,0.999386185780274,"Country: USA"
"3","Sex:Male",0,0,Inf,0.999055988066036,"Sex:Male"
"4","Delivery Mode: Vaginal",0,0,Inf,0.999555931906476,"Delivery Mode: Vaginal"
"5","month18",0,0,Inf,0.999713384723201,"month18"
"6","month24",8134090595.52448,0,Inf,0.999596240127316,"month24"
"7","month30",0.000128119312061374,0,Inf,0.999998448154884,"month30"
"8","month36",0,0,Inf,0.99899404668435,"month36"
"9","month48",0,0,Inf,0.999448499545632,"month48"
"10","month60",0.000325356432052153,0,Inf,0.999999028044993,"month60"
"11","month72",Inf,0,Inf,0.999844811717777,"month72"
"12","month84",Inf,0,Inf,0.999467639268775,"month84"
"13","month54",Inf,0,Inf,0.998268434238832,"month54"
