"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.26038483156631,0.521718795133563,2.41583175327936,0.0156993136230345
"2","CountryUSA",0.411311721399646,0.553749814038386,0.742775367092283,0.457617691346227
"3","SexMale",0.702139886130118,0.322509907526428,2.1771110584334,0.0294722821661592
"4","Delivery.ModeVaginal",-1.23892061795474,0.58172733995328,-2.12972733592724,0.0331941307948469
"5","HLA.CategoryLow/No Risk",-0.322332127035168,0.423885478319994,-0.76042266961511,0.447001976887954
"6","HLA.CategoryStandard Risk",-0.494517882213546,0.296815219903521,-1.66607993476307,0.0956974944552774
"7","feeding_first_yearBreastmilk_and_formula",-0.235628318574234,0.32681385212882,-0.720986326128419,0.470917927754787
"8","feeding_first_yearFormula",-0.102511325813932,0.341474375224013,-0.30020210373526,0.764023000492316
"9","Age.at.Gluten.Introduction..months.11",19.788601853519,2299.4626532037,0.00860575048955406,0.993133689302318
"10","Age.at.Gluten.Introduction..months.15",-0.379760114417012,3729.49979443792,-0.000101826018326473,0.99991875459223
"11","Age.at.Gluten.Introduction..months.36",19.6272586768066,2299.46263409305,0.00853558496050445,0.993189671238484
"12","Age.at.Gluten.Introduction..months.4",19.8662853285274,2299.46271127454,0.00863953358805108,0.993106735291646
"13","Age.at.Gluten.Introduction..months.5",20.1459694776255,2299.46269924634,0.00876116385111551,0.993009692055645
"14","Age.at.Gluten.Introduction..months.6",19.3951203058281,2299.4626168456,0.00843463171079262,0.993270217378163
"15","Age.at.Gluten.Introduction..months.7",18.4888553601681,2299.46261114407,0.00804051140930236,0.993584669210634
"16","Age.at.Gluten.Introduction..months.8",18.6799017659186,2299.46263560795,0.00812359438968655,0.993518380748341
"17","Age.at.Gluten.Introduction..months.9",20.2719050579204,2299.4626230636,0.00881593153747894,0.992965995451835
"18","Age.at.Solid.Introduction..months.4",0.337202035017032,35327.6760192706,9.54498209372998e-06,0.999992384206154
"19","Age.at.Solid.Introduction..months.5",0.380206742826596,35327.6760171342,1.07622913729789e-05,0.999991412933875
"20","Age.at.Solid.Introduction..months.6",0.6151371364227,35327.6760180076,1.74123295319269e-05,0.9999861069711
"21","Age.at.Solid.Introduction..months.7",0.0508958969175864,35327.6760177331,1.44068058402819e-06,0.999998850503205
"22","Age.at.Solid.Introduction..months.8",20.5138383989902,35252.744359791,0.000581907558447793,0.999535704969503
