"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj","IRR","conf.lowR","conf.highR"
"virus_comp_103_cycle_1","fixed","cond",NA,"(Intercept)",-25.7966671104577,7.38125072779585,-3.49489105055248,0.000474255303354011,-40.2636526977976,-11.3296815231178,0.000609756818598014,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",1.7233174878857,4.65802752255153,0.369967218858706,0.71140691566522,-7.40624869531162,10.852883671083,0.991420977238997,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",0.400716302040124,2.66596689764088,0.150308056110794,0.880521577341665,-4.82448280131197,5.62591540539222,0.999384005560083,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-5.79610371121457,2.85072618024853,-2.03320254024161,0.0420320645347816,-11.3834243542871,-0.208783068142023,0.210160322673908,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-4.51664642342628,3.55407075424409,-1.27083750880107,0.203786461718526,-11.4824971002518,2.44920425339923,0.46793514081268,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",-29.7390450119272,3331.81274495037,-0.0089257852371803,0.992878348329577,-6559.97202834619,6500.49393832234,0.999316412648825,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-36.613289076932,143280.383048126,-0.000255535951942801,0.999796111811434,-280861.003754507,280787.777176353,0.999796111811434,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-32.8968216360884,9583.92547054088,-0.00343249973481188,0.997261266834619,-18817.0455744123,18751.2519311401,0.998839151360373,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-8.5958768971263,2.99541898229133,-2.86967430865078,0.00410894788071077,-14.4667902210249,-2.72496357322767,0.0205447394035539,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"SexMale",1.35022576575348,4.48187824262398,0.301263375009262,0.763213666807333,-7.43409417288318,10.1345457043901,0.936810934113137,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.235280028361592,0.576535210052791,0.408093077853906,0.683205341825047,-0.894708219161114,1.3652682758843,0.683205341825047,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",2.184217441756,4.39367812719127,0.497127322149175,0.619099268565661,-6.42723344720028,10.7956683307123,0.873088314857079,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.916156878324157,6.6381810998647,0.138013239551845,0.890229954032553,-12.0944390002651,13.9267527569135,0.998315143421351,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",-4.81606496342418,7.1342089239995,-0.675066431994011,0.49963355936085,-18.7988575126475,9.16672758579909,0.99977070954529,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.432748186679633,4.50978069086449,-0.0959577009046705,0.923554167265693,-9.27175591894819,8.40625954558893,0.961861429707133,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Delivery.ModeC-Section",11.0008985815072,12.0288500255833,0.914542833114574,0.360431681696623,-12.5752142440697,34.5770114070842,0.514902402423747,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-2.26570559740362,3.85093862741775,-0.588351520658455,0.556296370701598,-9.81340661381652,5.28199541900928,0.999907599123285,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",6.98926111280142,3.12856053065688,2.23401818322305,0.0254818766697611,0.857395149260428,13.1211270763424,0.0849395888992038,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",6.06498691602946,3.96827414879936,1.52836893032314,0.126420964397472,-1.71268749639862,13.8426613284575,0.252841928794944,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",27.2121988931147,3331.81309990718,0.00816738456724142,0.99348344240084,-6503.0214801437,6557.44587792993,0.999705726514605,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",34.7808305011077,143280.383059375,0.00024274663257073,0.999806316211587,-280789.609656977,280859.17131798,0.999806316211587,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",30.5735366902618,9583.92562730738,0.00319008492753209,0.9974546848058,-18753.5755233426,18814.7225967232,0.999020352805592,NA,NA,NA
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",5.11079307658859,3.46692937474423,1.47415552039206,0.14043972270253,-1.68426363485407,11.9058497880313,0.468132409008434,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"(Intercept)",-23.7648211976016,5.70724639869424,-4.16397322586926,3.12756806273081e-05,-34.9508185899382,-12.5788238052649,0.000140740562822886,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",-2.83459001994595,3.8786225598185,-0.730823888179157,0.464886730451557,-10.4365505468148,4.76737050692285,0.991420977238997,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",0.957771132180912,2.69068789724184,0.355957721132466,0.721872227761094,-4.31588024005091,6.23142250441273,0.999384005560083,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-2.69105734117502,2.72447360847332,-0.98773478032807,0.323282556143244,-8.03092749061261,2.64881280826257,0.53880426023874,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-4.37735567699076,3.67783027367095,-1.19020056698309,0.23396757040634,-11.5857705546369,2.8310592006554,0.46793514081268,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",-27.2576310157514,3791.37887686443,-0.00718937144005352,0.994263760941037,-7458.22368141596,7403.70841938445,0.999316412648825,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-29.202323082811,13912.6823210547,-0.00209897145704376,0.998325264310584,-27297.558600697,27239.1539545314,0.999796111811434,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-4.8549082102625,2.8829139126912,-1.68402815945706,0.0921762267725678,-10.5053156496667,0.795499229141694,0.305737237520664,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-6.3539850670544,3.16095550560879,-2.01014694948407,0.04441563824919,-12.5493440147812,-0.158626119327574,0.1480521274973,NA,NA,NA
"virus_comp_15228_cycle_1","fixed","cond",NA,"SexMale",-0.698296389210459,3.47487878139306,-0.200955611156748,0.840733283128186,-7.50893365138328,6.11234087296236,0.936810934113137,NA,NA,NA
