"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"27","contig_3214",2,45,0,63,Inf,0.180316930775647,1
"8","contig_13618",1,46,0,63,Inf,0.427272727272728,1
"10","contig_3096",1,46,0,63,Inf,0.427272727272728,1
"13","contig_10454",1,46,0,63,Inf,0.427272727272728,1
"15","contig_3224",1,46,0,63,Inf,0.427272727272728,1
"16","contig_3287",1,46,0,63,Inf,0.427272727272728,1
"20","contig_3241",1,46,0,63,Inf,0.427272727272728,1
"21","contig_3295",1,46,0,63,Inf,0.427272727272728,1
"23","contig_3233",1,46,0,63,Inf,0.427272727272728,1
"4","contig_24559",0,47,2,61,0,0.506088407005839,1
"17","contig_3302",0,47,2,61,0,0.506088407005839,1
"1","contig_3176",0,47,1,62,0,1,1
"2","contig_49004",0,47,1,62,0,1,1
"3","contig_3235",0,47,1,62,0,1,1
"5","contig_10196",0,47,1,62,0,1,1
"6","contig_3299",0,47,1,62,0,1,1
"7","contig_3260",0,47,1,62,0,1,1
"9","contig_3516",0,47,1,62,0,1,1
"11","contig_44945",0,47,1,62,0,1,1
"12","contig_42204",0,47,1,62,0,1,1
"14","contig_49003",0,47,1,62,0,1,1
"18","contig_3280",0,47,1,62,0,1,1
"19","contig_3276",0,47,1,62,0,1,1
"22","contig_30058",0,47,1,62,0,1,1
"24","contig_9184",0,47,1,62,0,1,1
"25","contig_17084",0,47,1,62,0,1,1
"26","contig_29259",0,47,1,62,0,1,1
"28","contig_15445",0,47,1,62,0,1,1
"29","contig_37308",0,47,1,62,0,1,1
