Contig,US,Italy,filtered
contig_3146,YES,NO,NO
contig_3249,NO,NO,YES
contig_3176,YES,YES,NO
contig_292,YES,NO,NO
contig_49004,NO,YES,NO
contig_3235,NO,YES,NO
contig_24559,NO,YES,NO
contig_10196,NO,YES,NO
contig_3299,NO,YES,NO
contig_8104,NO,NO,YES
contig_33655,YES,NO,NO
contig_9975,YES,NO,NO
contig_4215,YES,NO,NO
contig_3279,YES,NO,NO
contig_49016,YES,NO,NO
contig_27255,YES,NO,NO
contig_43881,YES,NO,NO
contig_3229,YES,NO,NO
contig_9150,YES,NO,NO
contig_3260,NO,YES,NO
contig_3301,NO,NO,YES
contig_3290,NO,NO,YES
contig_13618,NO,YES,NO
contig_3516,NO,YES,NO
contig_3096,NO,YES,NO
contig_3263,YES,NO,NO
contig_3303,YES,NO,NO
contig_3225,YES,NO,NO
contig_44945,NO,YES,NO
contig_42204,NO,YES,NO
contig_10454,NO,YES,NO
contig_49003,NO,YES,NO
contig_3224,NO,YES,NO
contig_3287,NO,YES,NO
contig_3292,YES,NO,NO
contig_3302,YES,YES,NO
contig_3280,NO,YES,NO
contig_18302,YES,NO,NO
contig_3276,NO,YES,NO
contig_3241,NO,YES,NO
contig_3295,NO,YES,NO
contig_49002,YES,NO,NO
contig_30058,YES,YES,NO
contig_3233,NO,YES,NO
contig_3069,YES,NO,NO
contig_9184,NO,YES,NO
contig_11106,YES,NO,NO
contig_17084,NO,YES,NO
contig_29259,NO,YES,NO
contig_3214,NO,YES,NO
contig_10594,YES,NO,NO
contig_15445,NO,YES,NO
contig_37308,NO,YES,NO
contig_48979,YES,NO,NO
contig_4110,NO,NO,YES
