Monaco_MBA4038_NODE_3_length_106353_cov_62.035654	Monaco_MBA4038_NODE_3_length_106353_cov_62.035654,HvCF_D5_ms_2,OKTS01000039,Long_crAss_ms_29,Fferm_ms_11,MZ130485_1_104564,OMBQ01000121
OLNZ01000083	OLNZ01000083,SRS011586_NODE_119_length_103914_cov_1098.85,OHLF01000025,OLQG01000039,MZ130497_1_104085,HvCF_C7_ms_2,SRS147652_NODE_155_length_104176_cov_11.0954,OBKN01000015,3300008103_____Ga0114180_100162
HvCF_E4_ms_4	HvCF_E4_ms_4,MZ130498_1_104752,OGWT01000016,OJRV01000117,ERR589512_NODE_245_length_104299_cov_30.5927,OHAU01000141,SRS011302_NODE_90_length_100096_cov_55.6308,3300008725_____Ga0115670_1000139,ERR589814_NODE_185_length_102005_cov_6.51113,3300007098_____Ga0102540_100090
sample-1_9_104613	sample-1_9_104613,sample-1_10_102032,sample-1_2087_3578,sample-1_2468_3000
3300006463_____Ga0100176_1000099	3300006463_____Ga0100176_1000099,OLNE01000081,OFMT01000069,OCHF01000043,ERR844070_ms_2,MT774402_1_103832,HvCF_B1_ms_5
MT774395_1_103665	MT774395_1_103665
3300014788_____Ga0134381_1000049	3300014788_____Ga0134381_1000049,3300007312_____Ga0104941_100072,OLZJ01000019,OEIM01000003,OIWL01000154,OCLC01000020,MZ130494_1_100255,G10_NODE_3_length_100255_cov_4594.188553,OKRV01000012
OLRA01000126	OLRA01000126,MT774380_1_99882,ERR844025_ms_1,C12_NODE_4_length_93683_cov_7.991701,MN037_S1_78,SRS050299_NODE_72_length_100548_cov_36.2955,sample-1_309_18290
MH675552_1_102679	MH675552_1_102679
ERR589777_NODE_213_length_102559_cov_114.718	ERR589777_NODE_213_length_102559_cov_114.718,OAUB01000058,F10_NODE_1_length_96892_cov_1695.602518,MZ130492_1_96892,ERR589856_NODE_160_length_99420_cov_996.622,OHJU01000015,ERR589773_NODE_168_length_99796_cov_16.6781,ERR589531_NODE_142_length_100626_cov_28.4295,30T1_lib200751_4,OCHV01000088,OIHW01000011,ERR589530_NODE_125_length_100283_cov_10.4903,QWCH01000269,OHAB01000087,ERR589835_NODE_174_length_96977_cov_65.8124,OOCN01000077,OHCF01000051,OIXA01000142,ERR589590_NODE_72_length_96711_cov_28.1345,MT774401_1_97422,OGPX01000023,sample-1_273_20403
MT774387_1_102434	MT774387_1_102434
