qname	tname	num_alns	pid	qcov	tcov
sample-1_16_98401	sample-1_20_95736	5	99.76	95.61	98.45
sample-1_16_98401	sample-1_22_93708	5	99.78	93.55	98.26
sample-1_16_98401	sample-1_21_95604	12	98.97	94.2	96.95
sample-1_16_98401	MZ130500_1_98182	14	97.85	96.04	96.24
sample-1_16_98401	Sib2_ms_1	14	97.85	96.04	96.24
sample-1_16_98401	OLZQ01000035	13	98.44	98.78	96.42
sample-1_16_98401	OGYG01000098	12	97.82	97.75	96.46
sample-1_16_98401	ERR589503_NODE_236_length_100385_cov_32.3335	15	97.69	96.45	94.61
sample-1_16_98401	ERR589530_NODE_123_length_101106_cov_84.032	10	97.83	96.74	94.19
sample-1_16_98401	OGXF01000053	12	97.4	96.98	96.7
sample-1_16_98401	ERR589818_NODE_123_length_100672_cov_68.5318	13	97.75	97.68	95.51
sample-1_16_98401	OLRO01000069	14	98.46	96.14	96.22
sample-1_16_98401	ERR589750_NODE_144_length_100756_cov_12.0751	18	97.58	95.64	93.46
sample-1_16_98401	OLYB01000074	15	98.34	97.59	95.02
sample-1_16_98401	OGZD01000102	10	98.77	98.81	96.75
sample-1_16_98401	OOAG01000060	15	97.75	96.63	95.43
sample-1_16_98401	Zuo_N1_NODE_2_length_100997_cov_2297.472945	13	97.69	97.3	94.8
sample-1_16_98401	3300008360_____Ga0114875_1000146	7	99.34	99.79	97.33
sample-1_16_98401	3300008716_____Ga0113874_100156	14	98.31	95.45	96.27
sample-1_16_98401	3300007714_____Ga0105661_1000061	16	98.26	96.66	93.92
sample-1_16_98401	OIRC01000027	15	97.67	95.49	94.47
sample-1_16_98401	OLQO01000079	13	98.52	95.49	93.26
sample-1_16_98401	OLSC01000138	15	96.73	95.79	96.97
sample-1_16_98401	ERR589848_NODE_158_length_99263_cov_37.5295	16	97.72	97.41	96.58
sample-1_16_98401	ERR844047_ms_3	16	95.68	95.2	97.07
sample-1_16_98401	3300007991_____Ga0105643_100224	18	95.37	88.87	89.56
sample-1_16_98401	sample-1_13_99291	26	84.02	34.76	34.39
sample-1_16_98401	MT774407_1_98095	33	81.14	69.22	69.45
sample-1_16_98401	MN037_S1_79	35	80.79	70.7	69.32
sample-1_16_98401	3300014538_____Ga0134452_100100	29	81.89	45.52	45.39
sample-1_16_98401	OCLC01000020	27	80.36	35.29	34.24
sample-1_16_98401	OIWL01000154	29	80.6	34.79	34.45
sample-1_16_98401	MT774405_1_99848	24	80.81	31.29	30.86
sample-1_16_98401	3300007312_____Ga0104941_100072	30	79.58	38.22	36.82
sample-1_16_98401	MT774404_1_98308	29	81.63	43.73	43.64
sample-1_16_98401	OLWW01000036	29	81.42	47.89	46.95
sample-1_16_98401	OLNI01000077	31	81.72	50.92	50.83
sample-1_16_98401	OKRV01000012	27	80.66	35.45	34.71
sample-1_16_98401	MZ130494_1_100255	30	80.14	38.03	37.3
sample-1_16_98401	G10_NODE_3_length_100255_cov_4594.188553	30	80.14	38.03	37.3
sample-1_16_98401	OEIM01000003	30	80.1	35.6	34.59
sample-1_16_98401	3300014788_____Ga0134381_1000049	27	80.5	33.08	31.44
sample-1_16_98401	OLZJ01000019	30	80.47	33.29	32.8
sample-1_16_98401	MT774400_1_96055	24	80.44	27.04	27.7
sample-1_16_98401	MT774398_1_100198	11	77.05	12.08	11.84
sample-1_16_98401	SRS011302_NODE_90_length_100096_cov_55.6308	10	75.75	14.25	14.0
sample-1_16_98401	3300007098_____Ga0102540_100090	11	75.92	15.87	15.65
sample-1_16_98401	OHAU01000141	10	76.63	11.75	11.42
sample-1_16_98401	MT774403_1_98557	6	76.14	11.6	11.54
