"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",2.23463582991446,2.40708959737398e-05,207453.735739013,0.890417319751013,"Dx Status: Case"
"2","Country: USA",0.312753037174351,1.00564673469505e-08,9726523.13055457,0.894948082900193,"Country: USA"
"3","Sex:Male",5.80496908204741e-06,0,Inf,0.995894926530641,"Sex:Male"
"4","Delivery Mode: Vaginal",1.39612027431949,1.6006562258787e-07,12177204.5043334,0.967355863165375,"Delivery Mode: Vaginal"
"5","month18",35.6741687524373,0.11055582754444,11511.3453939442,0.225218687006924,"month18"
"6","month24",2.04684973169444e-23,0,Inf,0.999995520894999,"month24"
"7","month30",0.0152987346799345,1.17917278368126e-21,198487690732097376,0.852322605997556,"month30"
"8","month36",3.53381824169959e-58,0,Inf,0.999990304483122,"month36"
"9","month48",0.0489544004256397,5.44193646116365e-17,44038245174980.1,0.863654845823115,"month48"
"10","month60",2.06480343116578e-60,0,Inf,0.99999346415213,"month60"
"11","month72",11.7656367134133,9.37160706638945e-29,1.47712346763331e+30,0.942512915151273,"month72"
"12","month84",20.6831943433574,1.30923946866101e-21,3.26750406235923e+23,0.907526668065664,"month84"
"13","month54",703266.498388165,0,Inf,0.995418368776119,"month54"
