"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",1.68204098923227,0.431378333827749,6.55865551788978,0.453868580569342,"Dx Status: Case"
"2","Country: USA",0.639249190098351,0.119299753863317,3.42531743619171,0.601359553946751,"Country: USA"
"3","Sex:Male",0.575128793904919,0.106927562296155,3.09343187551953,0.519312115794682,"Sex:Male"
"4","Delivery Mode: Vaginal",0.40315434689649,0.0708892926598407,2.29277823664351,0.305676457619217,"Delivery Mode: Vaginal"
"5","month18",0.979212993863399,0.17441796686169,5.49747313653345,0.980961661935452,"month18"
"6","month24",4.31587518409545,0.841740560309716,22.1288832723437,0.0795358092439755,"month24"
"7","month30",1.96617545844881,0.319199138555414,12.1110788421982,0.466079583075429,"month30"
"8","month36",4.45919963656587,0.714823271763976,27.8173111931291,0.109479490844091,"month36"
"9","month48",1.04867625369533e-14,0,Inf,0.964541937736306,"month48"
"10","month60",3.67365606652833e-34,0,Inf,0.900949338582525,"month60"
"11","month72",5.1505145666336e-09,0,Inf,0.985807904934368,"month72"
"12","month84",0.000417379598582421,3.56984450269237e-102,4.87992485895229e+94,0.946150744905099,"month84"
"13","month54",0.000740621144517913,9.04657987797173e-230,6.06328233548962e+222,0.978333253396421,"month54"
