"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",1.72769061313348,0.349781372309885,8.53365871086204,0.50224563994928,"Dx Status: Case"
"2","Country: USA",1.1935354239541,0.137188545701448,10.3837153528354,0.87265331243605,"Country: USA"
"3","Sex:Male",4.78444751125139e-34,0,Inf,0.999992101411835,"Sex:Male"
"4","Delivery Mode: Vaginal",0.275709736252202,0.0309501214490102,2.45607626417537,0.248225588758468,"Delivery Mode: Vaginal"
"5","month18",0.486145694734331,0.0421573559232558,5.60608300337809,0.563167299735145,"month18"
"6","month24",1.60182492443746,0.207567492259681,12.3614881146179,0.651343550679353,"month24"
"7","month30",1.44726608922144,0.189498144948687,11.0532962397996,0.721551190108284,"month30"
"8","month36",5.05745178929419e-35,0,Inf,0.999994248442558,"month36"
"9","month48",3.62708143970188e-16,0,Inf,0.999997552458833,"month48"
"10","month60",1.03900385089463e-13,0,Inf,0.999994377463744,"month60"
"11","month72",3.56237222267213e-43,0,Inf,0.999997675841413,"month72"
"12","month84",3.95730529636598e-47,0,Inf,0.999997459330476,"month84"
"13","month54",2.1274449808824e-22,0,Inf,0.999999171912379,"month54"
